Date;Heures;Consommation;Tmin;Tmax;Tmoy
01/01/2016;00:00;8114;2.96;10.56;6.76
01/01/2016;00:30;8012;2.96;10.56;6.76
01/01/2016;01:00;7789;2.96;10.56;6.76
01/01/2016;01:30;7749;2.96;10.56;6.76
01/01/2016;02:00;7724;2.96;10.56;6.76
01/01/2016;02:30;7775;2.96;10.56;6.76
01/01/2016;03:00;7580;2.96;10.56;6.76
01/01/2016;03:30;7475;2.96;10.56;6.76
01/01/2016;04:00;7312;2.96;10.56;6.76
01/01/2016;04:30;7196;2.96;10.56;6.76
01/01/2016;05:00;7109;2.96;10.56;6.76
01/01/2016;05:30;7123;2.96;10.56;6.76
01/01/2016;06:00;7084;2.96;10.56;6.76
01/01/2016;06:30;7013;2.96;10.56;6.76
01/01/2016;07:00;6964;2.96;10.56;6.76
01/01/2016;07:30;6904;2.96;10.56;6.76
01/01/2016;08:00;6952;2.96;10.56;6.76
01/01/2016;08:30;6839;2.96;10.56;6.76
01/01/2016;09:00;6902;2.96;10.56;6.76
01/01/2016;09:30;7121;2.96;10.56;6.76
01/01/2016;10:00;7229;2.96;10.56;6.76
01/01/2016;10:30;7300;2.96;10.56;6.76
01/01/2016;11:00;7402;2.96;10.56;6.76
01/01/2016;11:30;7591;2.96;10.56;6.76
01/01/2016;12:00;7646;2.96;10.56;6.76
01/01/2016;12:30;7789;2.96;10.56;6.76
01/01/2016;13:00;7909;2.96;10.56;6.76
01/01/2016;13:30;7767;2.96;10.56;6.76
01/01/2016;14:00;7635;2.96;10.56;6.76
01/01/2016;14:30;7501;2.96;10.56;6.76
01/01/2016;15:00;7272;2.96;10.56;6.76
01/01/2016;15:30;7332;2.96;10.56;6.76
01/01/2016;16:00;7352;2.96;10.56;6.76
01/01/2016;16:30;7364;2.96;10.56;6.76
01/01/2016;17:00;7380;2.96;10.56;6.76
01/01/2016;17:30;7785;2.96;10.56;6.76
01/01/2016;18:00;7952;2.96;10.56;6.76
01/01/2016;18:30;8113;2.96;10.56;6.76
01/01/2016;19:00;8217;2.96;10.56;6.76
01/01/2016;19:30;8283;2.96;10.56;6.76
01/01/2016;20:00;8173;2.96;10.56;6.76
01/01/2016;20:30;8116;2.96;10.56;6.76
01/01/2016;21:00;8005;2.96;10.56;6.76
01/01/2016;21:30;7868;2.96;10.56;6.76
01/01/2016;22:00;7625;2.96;10.56;6.76
01/01/2016;22:30;7813;2.96;10.56;6.76
01/01/2016;23:00;8051;2.96;10.56;6.76
01/01/2016;23:30;8141;2.96;10.56;6.76
02/01/2016;00:00;7858;5.45;8.95;7.2
02/01/2016;00:30;7593;5.45;8.95;7.2
02/01/2016;01:00;7304;5.45;8.95;7.2
02/01/2016;01:30;7292;5.45;8.95;7.2
02/01/2016;02:00;7266;5.45;8.95;7.2
02/01/2016;02:30;7284;5.45;8.95;7.2
02/01/2016;03:00;7166;5.45;8.95;7.2
02/01/2016;03:30;7107;5.45;8.95;7.2
02/01/2016;04:00;6949;5.45;8.95;7.2
02/01/2016;04:30;6946;5.45;8.95;7.2
02/01/2016;05:00;6926;5.45;8.95;7.2
02/01/2016;05:30;7050;5.45;8.95;7.2
02/01/2016;06:00;7076;5.45;8.95;7.2
02/01/2016;06:30;7072;5.45;8.95;7.2
02/01/2016;07:00;7117;5.45;8.95;7.2
02/01/2016;07:30;7143;5.45;8.95;7.2
02/01/2016;08:00;7263;5.45;8.95;7.2
02/01/2016;08:30;7272;5.45;8.95;7.2
02/01/2016;09:00;7440;5.45;8.95;7.2
02/01/2016;09:30;7673;5.45;8.95;7.2
02/01/2016;10:00;7859;5.45;8.95;7.2
02/01/2016;10:30;8001;5.45;8.95;7.2
02/01/2016;11:00;8082;5.45;8.95;7.2
02/01/2016;11:30;8251;5.45;8.95;7.2
02/01/2016;12:00;8320;5.45;8.95;7.2
02/01/2016;12:30;8382;5.45;8.95;7.2
02/01/2016;13:00;8554;5.45;8.95;7.2
02/01/2016;13:30;8452;5.45;8.95;7.2
02/01/2016;14:00;8296;5.45;8.95;7.2
02/01/2016;14:30;8106;5.45;8.95;7.2
02/01/2016;15:00;7931;5.45;8.95;7.2
02/01/2016;15:30;7873;5.45;8.95;7.2
02/01/2016;16:00;7886;5.45;8.95;7.2
02/01/2016;16:30;7896;5.45;8.95;7.2
02/01/2016;17:00;7847;5.45;8.95;7.2
02/01/2016;17:30;8156;5.45;8.95;7.2
02/01/2016;18:00;8402;5.45;8.95;7.2
02/01/2016;18:30;8508;5.45;8.95;7.2
02/01/2016;19:00;8653;5.45;8.95;7.2
02/01/2016;19:30;8662;5.45;8.95;7.2
02/01/2016;20:00;8550;5.45;8.95;7.2
02/01/2016;20:30;8395;5.45;8.95;7.2
02/01/2016;21:00;8303;5.45;8.95;7.2
02/01/2016;21:30;8124;5.45;8.95;7.2
02/01/2016;22:00;7906;5.45;8.95;7.2
02/01/2016;22:30;8100;5.45;8.95;7.2
02/01/2016;23:00;8414;5.45;8.95;7.2
02/01/2016;23:30;8579;5.45;8.95;7.2
03/01/2016;00:00;8242;2.24;7.93;5.08
03/01/2016;00:30;8036;2.24;7.93;5.08
03/01/2016;01:00;7735;2.24;7.93;5.08
03/01/2016;01:30;7711;2.24;7.93;5.08
03/01/2016;02:00;7663;2.24;7.93;5.08
03/01/2016;02:30;7738;2.24;7.93;5.08
03/01/2016;03:00;7577;2.24;7.93;5.08
03/01/2016;03:30;7476;2.24;7.93;5.08
03/01/2016;04:00;7286;2.24;7.93;5.08
03/01/2016;04:30;7216;2.24;7.93;5.08
03/01/2016;05:00;7147;2.24;7.93;5.08
03/01/2016;05:30;7250;2.24;7.93;5.08
03/01/2016;06:00;7259;2.24;7.93;5.08
03/01/2016;06:30;7211;2.24;7.93;5.08
03/01/2016;07:00;7247;2.24;7.93;5.08
03/01/2016;07:30;7262;2.24;7.93;5.08
03/01/2016;08:00;7439;2.24;7.93;5.08
03/01/2016;08:30;7423;2.24;7.93;5.08
03/01/2016;09:00;7599;2.24;7.93;5.08
03/01/2016;09:30;7808;2.24;7.93;5.08
03/01/2016;10:00;7923;2.24;7.93;5.08
03/01/2016;10:30;8042;2.24;7.93;5.08
03/01/2016;11:00;8099;2.24;7.93;5.08
03/01/2016;11:30;8275;2.24;7.93;5.08
03/01/2016;12:00;8328;2.24;7.93;5.08
03/01/2016;12:30;8345;2.24;7.93;5.08
03/01/2016;13:00;8464;2.24;7.93;5.08
03/01/2016;13:30;8325;2.24;7.93;5.08
03/01/2016;14:00;8127;2.24;7.93;5.08
