Date;Heures;Consommation;Gaz;Tmin;Tmax;Tmoy
01/01/2016;00:00;8114;2226;2.96;10.56;6.76
01/01/2016;00:30;8012;2227;2.96;10.56;6.76
01/01/2016;01:00;7789;2205;2.96;10.56;6.76
01/01/2016;01:30;7749;2212;2.96;10.56;6.76
01/01/2016;02:00;7724;2209;2.96;10.56;6.76
01/01/2016;02:30;7775;2231;2.96;10.56;6.76
01/01/2016;03:00;7580;2240;2.96;10.56;6.76
01/01/2016;03:30;7475;2195;2.96;10.56;6.76
01/01/2016;04:00;7312;2219;2.96;10.56;6.76
01/01/2016;04:30;7196;2221;2.96;10.56;6.76
01/01/2016;05:00;7109;2234;2.96;10.56;6.76
01/01/2016;05:30;7123;2200;2.96;10.56;6.76
01/01/2016;06:00;7084;2191;2.96;10.56;6.76
01/01/2016;06:30;7013;2207;2.96;10.56;6.76
01/01/2016;07:00;6964;2220;2.96;10.56;6.76
01/01/2016;07:30;6904;2221;2.96;10.56;6.76
01/01/2016;08:00;6952;2210;2.96;10.56;6.76
01/01/2016;08:30;6839;2218;2.96;10.56;6.76
01/01/2016;09:00;6902;2200;2.96;10.56;6.76
01/01/2016;09:30;7121;2217;2.96;10.56;6.76
01/01/2016;10:00;7229;2190;2.96;10.56;6.76
01/01/2016;10:30;7300;2207;2.96;10.56;6.76
01/01/2016;11:00;7402;2229;2.96;10.56;6.76
01/01/2016;11:30;7591;2232;2.96;10.56;6.76
01/01/2016;12:00;7646;2231;2.96;10.56;6.76
01/01/2016;12:30;7789;2230;2.96;10.56;6.76
01/01/2016;13:00;7909;2229;2.96;10.56;6.76
01/01/2016;13:30;7767;2222;2.96;10.56;6.76
01/01/2016;14:00;7635;2229;2.96;10.56;6.76
01/01/2016;14:30;7501;2234;2.96;10.56;6.76
01/01/2016;15:00;7272;2207;2.96;10.56;6.76
01/01/2016;15:30;7332;2208;2.96;10.56;6.76
01/01/2016;16:00;7352;2231;2.96;10.56;6.76
01/01/2016;16:30;7364;2232;2.96;10.56;6.76
01/01/2016;17:00;7380;2231;2.96;10.56;6.76
01/01/2016;17:30;7785;2244;2.96;10.56;6.76
01/01/2016;18:00;7952;2252;2.96;10.56;6.76
01/01/2016;18:30;8113;2252;2.96;10.56;6.76
01/01/2016;19:00;8217;2254;2.96;10.56;6.76
01/01/2016;19:30;8283;2262;2.96;10.56;6.76
01/01/2016;20:00;8173;2233;2.96;10.56;6.76
01/01/2016;20:30;8116;2245;2.96;10.56;6.76
01/01/2016;21:00;8005;2255;2.96;10.56;6.76
01/01/2016;21:30;7868;2255;2.96;10.56;6.76
01/01/2016;22:00;7625;2242;2.96;10.56;6.76
01/01/2016;22:30;7813;2241;2.96;10.56;6.76
01/01/2016;23:00;8051;2252;2.96;10.56;6.76
01/01/2016;23:30;8141;2251;2.96;10.56;6.76
02/01/2016;00:00;7858;2243;5.45;8.95;7.2
02/01/2016;00:30;7593;2231;5.45;8.95;7.2
02/01/2016;01:00;7304;2233;5.45;8.95;7.2
02/01/2016;01:30;7292;2239;5.45;8.95;7.2
02/01/2016;02:00;7266;2232;5.45;8.95;7.2
02/01/2016;02:30;7284;2221;5.45;8.95;7.2
02/01/2016;03:00;7166;2229;5.45;8.95;7.2
02/01/2016;03:30;7107;2233;5.45;8.95;7.2
02/01/2016;04:00;6949;2227;5.45;8.95;7.2
02/01/2016;04:30;6946;2226;5.45;8.95;7.2
02/01/2016;05:00;6926;2242;5.45;8.95;7.2
02/01/2016;05:30;7050;2253;5.45;8.95;7.2
02/01/2016;06:00;7076;2231;5.45;8.95;7.2
02/01/2016;06:30;7072;2234;5.45;8.95;7.2
02/01/2016;07:00;7117;2216;5.45;8.95;7.2
02/01/2016;07:30;7143;2254;5.45;8.95;7.2
02/01/2016;08:00;7263;2243;5.45;8.95;7.2
02/01/2016;08:30;7272;2198;5.45;8.95;7.2
02/01/2016;09:00;7440;2242;5.45;8.95;7.2
02/01/2016;09:30;7673;2256;5.45;8.95;7.2
02/01/2016;10:00;7859;2219;5.45;8.95;7.2
02/01/2016;10:30;8001;2247;5.45;8.95;7.2
02/01/2016;11:00;8082;2249;5.45;8.95;7.2
02/01/2016;11:30;8251;2175;5.45;8.95;7.2
02/01/2016;12:00;8320;2186;5.45;8.95;7.2
02/01/2016;12:30;8382;2190;5.45;8.95;7.2
02/01/2016;13:00;8554;2205;5.45;8.95;7.2
02/01/2016;13:30;8452;2202;5.45;8.95;7.2
02/01/2016;14:00;8296;2228;5.45;8.95;7.2
02/01/2016;14:30;8106;2246;5.45;8.95;7.2
02/01/2016;15:00;7931;2254;5.45;8.95;7.2
02/01/2016;15:30;7873;2255;5.45;8.95;7.2
02/01/2016;16:00;7886;2241;5.45;8.95;7.2
02/01/2016;16:30;7896;2287;5.45;8.95;7.2
02/01/2016;17:00;7847;2296;5.45;8.95;7.2
