Date;Heures;Electricité;Gaz;TMin (°C);TMax (°C);TMoy (°C);Taux de Co2
01/01/2016;00:00;2456;2226;2.22;9.52;5.87;31
01/01/2016;00:30;2330;2227;2.22;9.52;5.87;31
01/01/2016;01:00;2243;2205;2.22;9.52;5.87;32
01/01/2016;01:30;2332;2212;2.22;9.52;5.87;32
01/01/2016;02:00;2407;2209;2.22;9.52;5.87;32
01/01/2016;02:30;2411;2231;2.22;9.52;5.87;33
01/01/2016;03:00;2273;2240;2.22;9.52;5.87;34
01/01/2016;03:30;2359;2195;2.22;9.52;5.87;35
01/01/2016;04:00;2242;2219;2.22;9.52;5.87;36
01/01/2016;04:30;2178;2221;2.22;9.52;5.87;35
01/01/2016;05:00;2204;2234;2.22;9.52;5.87;36
01/01/2016;05:30;2114;2200;2.22;9.52;5.87;35
01/01/2016;06:00;2161;2191;2.22;9.52;5.87;35
01/01/2016;06:30;2213;2207;2.22;9.52;5.87;35
01/01/2016;07:00;2194;2220;2.22;9.52;5.87;35
01/01/2016;07:30;2210;2221;2.22;9.52;5.87;35
01/01/2016;08:00;2226;2210;2.22;9.52;5.87;35
01/01/2016;08:30;2158;2218;2.22;9.52;5.87;37
01/01/2016;09:00;2179;2200;2.22;9.52;5.87;36
01/01/2016;09:30;2191;2217;2.22;9.52;5.87;34
01/01/2016;10:00;2241;2190;2.22;9.52;5.87;33
01/01/2016;10:30;2269;2207;2.22;9.52;5.87;32
01/01/2016;11:00;2309;2229;2.22;9.52;5.87;32
01/01/2016;11:30;2330;2232;2.22;9.52;5.87;32
01/01/2016;12:00;2363;2231;2.22;9.52;5.87;31
01/01/2016;12:30;2485;2230;2.22;9.52;5.87;31
01/01/2016;13:00;2458;2229;2.22;9.52;5.87;30
01/01/2016;13:30;2331;2222;2.22;9.52;5.87;30
01/01/2016;14:00;2245;2229;2.22;9.52;5.87;31
01/01/2016;14:30;2270;2234;2.22;9.52;5.87;31
01/01/2016;15:00;2217;2207;2.22;9.52;5.87;32
01/01/2016;15:30;2195;2208;2.22;9.52;5.87;32
01/01/2016;16:00;2175;2231;2.22;9.52;5.87;32
01/01/2016;16:30;2140;2232;2.22;9.52;5.87;32
01/01/2016;17:00;2253;2231;2.22;9.52;5.87;32
01/01/2016;17:30;2376;2244;2.22;9.52;5.87;31
01/01/2016;18:00;2465;2252;2.22;9.52;5.87;30
01/01/2016;18:30;2516;2252;2.22;9.52;5.87;29
01/01/2016;19:00;2590;2254;2.22;9.52;5.87;28
01/01/2016;19:30;2598;2262;2.22;9.52;5.87;28
01/01/2016;20:00;2616;2233;2.22;9.52;5.87;28
01/01/2016;20:30;2599;2245;2.22;9.52;5.87;29
01/01/2016;21:00;2620;2255;2.22;9.52;5.87;30
01/01/2016;21:30;2658;2255;2.22;9.52;5.87;30
01/01/2016;22:00;2544;2242;2.22;9.52;5.87;30
01/01/2016;22:30;2510;2241;2.22;9.52;5.87;30
01/01/2016;23:00;2512;2252;2.22;9.52;5.87;29
01/01/2016;23:30;2417;2251;2.22;9.52;5.87;31
02/01/2016;00:00;2351;2243;4.95;9.4;7.18;30
02/01/2016;00:30;2208;2231;4.95;9.4;7.18;31
02/01/2016;01:00;2187;2233;4.95;9.4;7.18;33
02/01/2016;01:30;2213;2239;4.95;9.4;7.18;34
02/01/2016;02:00;2276;2232;4.95;9.4;7.18;34
02/01/2016;02:30;2342;2221;4.95;9.4;7.18;34
