Date;TMin (°C);TMax (°C);TMoy (°C)
01/01/2016;2.22;9.52;5.87
02/01/2016;4.95;9.4;7.18
03/01/2016;3.88;7.6;5.74
04/01/2016;4.83;9.43;7.13
05/01/2016;4.28;9.02;6.65
06/01/2016;3.97;7.42;5.69
07/01/2016;4.57;12.2;8.38
08/01/2016;3.5;8.02;5.76
09/01/2016;5.4;10.78;8.09
10/01/2016;5.4;9.12;7.26
11/01/2016;5.13;10.32;7.72
12/01/2016;4.12;9.03;6.58
13/01/2016;2.5;7.15;4.82
14/01/2016;-1.3;5.37;2.03
15/01/2016;-0.53;3.92;1.69
16/01/2016;-0.82;3.0;1.09
17/01/2016;-1.85;3.3;0.72
18/01/2016;-5.6;0.08;-2.76
19/01/2016;-1.3;2.68;0.69
20/01/2016;0.57;2.02;1.29
21/01/2016;-3.42;4.45;0.52
22/01/2016;-4.37;6.23;0.93
23/01/2016;2.4;10.55;6.48
24/01/2016;-1.85;9.27;3.71
25/01/2016;-0.63;13.2;6.28
26/01/2016;1.22;13.12;7.17
27/01/2016;2.55;10.93;6.74
28/01/2016;6.33;10.75;8.54
29/01/2016;3.8;9.93;6.87
30/01/2016;2.13;9.82;5.98
31/01/2016;6.3;12.87;9.58
01/02/2016;10.15;11.85;11.0
02/02/2016;9.05;11.95;10.5
03/02/2016;3.8;7.73;5.77
04/02/2016;2.53;7.4;4.97
05/02/2016;6.03;11.13;8.58
06/02/2016;1.85;14.87;8.36
07/02/2016;5.18;9.8;7.49
08/02/2016;4.98;12.22;8.6
09/02/2016;6.02;12.43;9.22
10/02/2016;2.52;7.75;5.13
11/02/2016;-1.23;6.37;2.57
12/02/2016;0.15;7.18;3.67
13/02/2016;4.45;10.48;7.47
14/02/2016;3.98;8.07;6.03
15/02/2016;1.73;3.8;2.77
16/02/2016;-0.42;5.3;2.44
17/02/2016;-0.22;2.72;1.25
18/02/2016;-2.07;5.48;1.71
19/02/2016;1.08;7.8;4.44
20/02/2016;1.15;10.57;5.86
21/02/2016;8.95;14.43;11.69
22/02/2016;4.88;12.48;8.68
23/02/2016;3.88;9.62;6.75
24/02/2016;-0.93;7.23;3.15
25/02/2016;1.57;7.3;4.43
26/02/2016;-0.87;6.88;3.01
27/02/2016;-1.88;10.37;4.24
28/02/2016;0.48;7.05;3.77
29/02/2016;1.22;6.02;3.62
01/03/2016;-3.07;7.72;2.32
02/03/2016;2.28;9.65;5.97
03/03/2016;1.0;7.37;4.18
04/03/2016;0.28;8.58;4.43
05/03/2016;2.43;7.53;4.98
06/03/2016;0.82;6.47;3.64
07/03/2016;-0.67;4.52;1.92
08/03/2016;0.13;5.35;2.74
09/03/2016;-2.83;6.85;2.01
10/03/2016;0.23;10.15;5.19
11/03/2016;0.73;11.33;6.03
12/03/2016;-0.88;11.18;5.15
13/03/2016;-0.03;9.58;4.78
14/03/2016;1.33;11.67;6.5
15/03/2016;-2.4;11.93;4.77
16/03/2016;2.38;6.52;4.45
17/03/2016;-0.68;13.98;6.65
18/03/2016;-1.67;15.22;6.78
19/03/2016;-0.63;13.62;6.49
20/03/2016;0.83;11.98;6.41
21/03/2016;-0.13;11.88;5.88
22/03/2016;0.55;13.03;6.79
23/03/2016;2.45;11.23;6.84
24/03/2016;0.23;11.95;6.09
25/03/2016;4.62;9.6;7.11
26/03/2016;6.28;17.35;11.82
27/03/2016;6.18;12.47;9.32
28/03/2016;4.1;16.0;10.05
29/03/2016;5.65;14.87;10.26
30/03/2016;9.1;17.63;13.37
31/03/2016;7.23;16.4;11.82
01/04/2016;5.1;8.27;6.68
02/04/2016;5.77;12.7;9.23
03/04/2016;9.57;17.88;13.72
04/04/2016;9.58;15.0;12.29
05/04/2016;9.47;13.88;11.68
06/04/2016;6.02;15.98;11.0
07/04/2016;6.67;11.92;9.29
08/04/2016;1.33;12.23;6.78
09/04/2016;2.13;14.43;8.28
10/04/2016;2.67;19.4;11.03
11/04/2016;8.43;17.2;12.82
12/04/2016;6.3;19.03;12.67
13/04/2016;8.5;16.77;12.63
14/04/2016;6.63;17.42;12.02
15/04/2016;9.82;15.88;12.85
16/04/2016;9.78;16.15;12.97
17/04/2016;6.82;10.85;8.83
18/04/2016;3.98;12.28;8.13
19/04/2016;-0.15;17.38;8.62
20/04/2016;3.75;20.73;12.24
21/04/2016;8.12;22.13;15.12
22/04/2016;11.13;19.68;15.41
23/04/2016;7.52;12.33;9.92
24/04/2016;2.13;9.83;5.98
25/04/2016;0.9;9.27;5.08
26/04/2016;4.97;10.22;7.59
27/04/2016;-0.27;11.65;5.69
28/04/2016;0.67;12.75;6.71
29/04/2016;0.97;15.27;8.12
30/04/2016;3.63;13.1;8.37
01/05/2016;4.12;10.45;7.28
02/05/2016;4.02;18.67;11.34
03/05/2016;5.6;15.37;10.48
04/05/2016;1.92;18.37;10.14
05/05/2016;3.23;21.17;12.2
06/05/2016;6.6;24.02;15.31
07/05/2016;9.08;24.05;16.57
08/05/2016;9.42;24.48;16.95
09/05/2016;13.27;20.0;16.63
10/05/2016;13.78;22.38;18.08
11/05/2016;11.8;17.48;14.64
12/05/2016;11.87;14.13;13.0
13/05/2016;12.27;20.03;16.15
14/05/2016;10.03;14.3;12.17
15/05/2016;4.23;13.25;8.74
16/05/2016;3.7;15.73;9.72
17/05/2016;5.8;18.82;12.31
18/05/2016;7.3;20.05;13.68
19/05/2016;8.87;15.45;12.16
20/05/2016;5.68;18.52;12.1
21/05/2016;8.22;25.62;16.92
22/05/2016;11.53;18.88;15.21
23/05/2016;8.78;13.05;10.92
24/05/2016;8.23;15.67;11.95
25/05/2016;5.9;20.45;13.18
26/05/2016;9.3;24.02;16.66
27/05/2016;13.45;26.02;19.73
28/05/2016;14.47;25.1;19.78
29/05/2016;13.25;19.37;16.31
30/05/2016;13.08;15.08;14.08
31/05/2016;12.07;15.23;13.65
01/06/2016;11.23;19.55;15.39
02/06/2016;12.75;15.17;13.96
03/06/2016;12.33;16.82;14.58
04/06/2016;12.63;18.93;15.78
05/06/2016;14.27;22.07;18.17
06/06/2016;12.03;26.27;19.15
07/06/2016;13.37;26.85;20.11
08/06/2016;15.18;23.5;19.34
