Périmètre;Nature;Date;Heures;Consommation
Bourgogne-Franche-Comté;Données définitives;01/01/2018;00:00;2410
Bourgogne-Franche-Comté;Données définitives;01/01/2018;00:30;2290
Bourgogne-Franche-Comté;Données définitives;01/01/2018;01:00;2248
Bourgogne-Franche-Comté;Données définitives;01/01/2018;01:30;2286
Bourgogne-Franche-Comté;Données définitives;01/01/2018;02:00;2351
Bourgogne-Franche-Comté;Données définitives;01/01/2018;02:30;2382
Bourgogne-Franche-Comté;Données définitives;01/01/2018;03:00;2269
Bourgogne-Franche-Comté;Données définitives;01/01/2018;03:30;2281
Bourgogne-Franche-Comté;Données définitives;01/01/2018;04:00;2208
Bourgogne-Franche-Comté;Données définitives;01/01/2018;04:30;2188
Bourgogne-Franche-Comté;Données définitives;01/01/2018;05:00;2160
Bourgogne-Franche-Comté;Données définitives;01/01/2018;05:30;2139
Bourgogne-Franche-Comté;Données définitives;01/01/2018;06:00;2165
Bourgogne-Franche-Comté;Données définitives;01/01/2018;06:30;2133
Bourgogne-Franche-Comté;Données définitives;01/01/2018;07:00;2123
Bourgogne-Franche-Comté;Données définitives;01/01/2018;07:30;2163
Bourgogne-Franche-Comté;Données définitives;01/01/2018;08:00;2192
Bourgogne-Franche-Comté;Données définitives;01/01/2018;08:30;2165
Bourgogne-Franche-Comté;Données définitives;01/01/2018;09:00;2153
Bourgogne-Franche-Comté;Données définitives;01/01/2018;09:30;2202
Bourgogne-Franche-Comté;Données définitives;01/01/2018;10:00;2230
Bourgogne-Franche-Comté;Données définitives;01/01/2018;10:30;2269
Bourgogne-Franche-Comté;Données définitives;01/01/2018;11:00;2305
Bourgogne-Franche-Comté;Données définitives;01/01/2018;11:30;2417
Bourgogne-Franche-Comté;Données définitives;01/01/2018;12:00;2478
Bourgogne-Franche-Comté;Données définitives;01/01/2018;12:30;2626
Bourgogne-Franche-Comté;Données définitives;01/01/2018;13:00;2692
Bourgogne-Franche-Comté;Données définitives;01/01/2018;13:30;2537
Bourgogne-Franche-Comté;Données définitives;01/01/2018;14:00;2498
Bourgogne-Franche-Comté;Données définitives;01/01/2018;14:30;2415
Bourgogne-Franche-Comté;Données définitives;01/01/2018;15:00;2378
Bourgogne-Franche-Comté;Données définitives;01/01/2018;15:30;2377
Bourgogne-Franche-Comté;Données définitives;01/01/2018;16:00;2335
Bourgogne-Franche-Comté;Données définitives;01/01/2018;16:30;2341
Bourgogne-Franche-Comté;Données définitives;01/01/2018;17:00;2445
Bourgogne-Franche-Comté;Données définitives;01/01/2018;17:30;2530
Bourgogne-Franche-Comté;Données définitives;01/01/2018;18:00;2588
Bourgogne-Franche-Comté;Données définitives;01/01/2018;18:30;2637
Bourgogne-Franche-Comté;Données définitives;01/01/2018;19:00;2692
Bourgogne-Franche-Comté;Données définitives;01/01/2018;19:30;2744
Bourgogne-Franche-Comté;Données définitives;01/01/2018;20:00;2681
Bourgogne-Franche-Comté;Données définitives;01/01/2018;20:30;2698
Bourgogne-Franche-Comté;Données définitives;01/01/2018;21:00;2636
Bourgogne-Franche-Comté;Données définitives;01/01/2018;21:30;2696
Bourgogne-Franche-Comté;Données définitives;01/01/2018;22:00;2664
Bourgogne-Franche-Comté;Données définitives;01/01/2018;22:30;2624
Bourgogne-Franche-Comté;Données définitives;01/01/2018;23:00;2577
Bourgogne-Franche-Comté;Données définitives;01/01/2018;23:30;2407
Bourgogne-Franche-Comté;Données définitives;02/01/2018;00:00;2365
Bourgogne-Franche-Comté;Données définitives;02/01/2018;00:30;2293
Bourgogne-Franche-Comté;Données définitives;02/01/2018;01:00;2241
Bourgogne-Franche-Comté;Données définitives;02/01/2018;01:30;2230
Bourgogne-Franche-Comté;Données définitives;02/01/2018;02:00;2330
Bourgogne-Franche-Comté;Données définitives;02/01/2018;02:30;2383
Bourgogne-Franche-Comté;Données définitives;02/01/2018;03:00;2272
Bourgogne-Franche-Comté;Données définitives;02/01/2018;03:30;2312
