Date;Heures;Consommation;Tmin;Tmax ;Tmoy;;
01/01/2016;00:00:00;3344;3.0;12.27;7.64;;
01/01/2016;00:30:00;3252;3.0;12.27;7.64;;
01/01/2016;01:00:00;3036;3.0;12.27;7.64;;
01/01/2016;01:30:00;2889;3.0;12.27;7.64;;
01/01/2016;02:00:00;2996;3.0;12.27;7.64;;
01/01/2016;02:30:00;2844;3.0;12.27;7.64;;
01/01/2016;03:00:00;2682;3.0;12.27;7.64;;
01/01/2016;03:30:00;2566;3.0;12.27;7.64;;
01/01/2016;04:00:00;2489;3.0;12.27;7.64;;
01/01/2016;04:30:00;2389;3.0;12.27;7.64;;
01/01/2016;05:00:00;2346;3.0;12.27;7.64;;
01/01/2016;05:30:00;2364;3.0;12.27;7.64;;
01/01/2016;06:00:00;2335;3.0;12.27;7.64;;
01/01/2016;06:30:00;2394;3.0;12.27;7.64;;
01/01/2016;07:00:00;2388;3.0;12.27;7.64;;
01/01/2016;07:30:00;2413;3.0;12.27;7.64;;
01/01/2016;08:00:00;2382;3.0;12.27;7.64;;
01/01/2016;08:30:00;2404;3.0;12.27;7.64;;
01/01/2016;09:00:00;2374;3.0;12.27;7.64;;
01/01/2016;09:30:00;2343;3.0;12.27;7.64;;
01/01/2016;10:00:00;2365;3.0;12.27;7.64;;
01/01/2016;10:30:00;2407;3.0;12.27;7.64;;
01/01/2016;11:00:00;2458;3.0;12.27;7.64;;
01/01/2016;11:30:00;2521;3.0;12.27;7.64;;
01/01/2016;12:00:00;2571;3.0;12.27;7.64;;
01/01/2016;12:30:00;2684;3.0;12.27;7.64;;
01/01/2016;13:00:00;2788;3.0;12.27;7.64;;
01/01/2016;13:30:00;2655;3.0;12.27;7.64;;
01/01/2016;14:00:00;2556;3.0;12.27;7.64;;
01/01/2016;14:30:00;2499;3.0;12.27;7.64;;
01/01/2016;15:00:00;2415;3.0;12.27;7.64;;
01/01/2016;15:30:00;2350;3.0;12.27;7.64;;
01/01/2016;16:00:00;2360;3.0;12.27;7.64;;
01/01/2016;16:30:00;2386;3.0;12.27;7.64;;
01/01/2016;17:00:00;2433;3.0;12.27;7.64;;
01/01/2016;17:30:00;2542;3.0;12.27;7.64;;
01/01/2016;18:00:00;2737;3.0;12.27;7.64;;
01/01/2016;18:30:00;2808;3.0;12.27;7.64;;
01/01/2016;19:00:00;2857;3.0;12.27;7.64;;
01/01/2016;19:30:00;2858;3.0;12.27;7.64;;
01/01/2016;20:00:00;2802;3.0;12.27;7.64;;
01/01/2016;20:30:00;2773;3.0;12.27;7.64;;
01/01/2016;21:00:00;2699;3.0;12.27;7.64;;
01/01/2016;21:30:00;2623;3.0;12.27;7.64;;
01/01/2016;22:00:00;2703;3.0;12.27;7.64;;
01/01/2016;22:30:00;2703;3.0;12.27;7.64;;
01/01/2016;23:00:00;2931;3.0;12.27;7.64;;
01/01/2016;23:30:00;2791;3.0;12.27;7.64;;
02/01/2016;00:00:00;3011;7.32;10.95;9.14;;
02/01/2016;00:30:00;2868;7.32;10.95;9.14;;
02/01/2016;01:00:00;2643;7.32;10.95;9.14;;
02/01/2016;01:30:00;2493;7.32;10.95;9.14;;
02/01/2016;02:00:00;2624;7.32;10.95;9.14;;
02/01/2016;02:30:00;2464;7.32;10.95;9.14;;
02/01/2016;03:00:00;2324;7.32;10.95;9.14;;
02/01/2016;03:30:00;2255;7.32;10.95;9.14;;
02/01/2016;04:00:00;2199;7.32;10.95;9.14;;
02/01/2016;04:30:00;2184;7.32;10.95;9.14;;
02/01/2016;05:00:00;2189;7.32;10.95;9.14;;
02/01/2016;05:30:00;2242;7.32;10.95;9.14;;
02/01/2016;06:00:00;2275;7.32;10.95;9.14;;
02/01/2016;06:30:00;2416;7.32;10.95;9.14;;
02/01/2016;07:00:00;2457;7.32;10.95;9.14;;
02/01/2016;07:30:00;2562;7.32;10.95;9.14;;
02/01/2016;08:00:00;2598;7.32;10.95;9.14;;
02/01/2016;08:30:00;2679;7.32;10.95;9.14;;
02/01/2016;09:00:00;2708;7.32;10.95;9.14;;
02/01/2016;09:30:00;2747;7.32;10.95;9.14;;
02/01/2016;10:00:00;2790;7.32;10.95;9.14;;
02/01/2016;10:30:00;2836;7.32;10.95;9.14;;
02/01/2016;11:00:00;2868;7.32;10.95;9.14;;
02/01/2016;11:30:00;2968;7.32;10.95;9.14;;
02/01/2016;12:00:00;2999;7.32;10.95;9.14;;
02/01/2016;12:30:00;3075;7.32;10.95;9.14;;
02/01/2016;13:00:00;3146;7.32;10.95;9.14;;
02/01/2016;13:30:00;2994;7.32;10.95;9.14;;
02/01/2016;14:00:00;2874;7.32;10.95;9.14;;
02/01/2016;14:30:00;2838;7.32;10.95;9.14;;
02/01/2016;15:00:00;2675;7.32;10.95;9.14;;
02/01/2016;15:30:00;2636;7.32;10.95;9.14;;
02/01/2016;16:00:00;2598;7.32;10.95;9.14;;
02/01/2016;16:30:00;2599;7.32;10.95;9.14;;
02/01/2016;17:00:00;2616;7.32;10.95;9.14;;
02/01/2016;17:30:00;2705;7.32;10.95;9.14;;
02/01/2016;18:00:00;2975;7.32;10.95;9.14;;
02/01/2016;18:30:00;3026;7.32;10.95;9.14;;
02/01/2016;19:00:00;3140;7.32;10.95;9.14;;
02/01/2016;19:30:00;3115;7.32;10.95;9.14;;
