Date;TMin (°C);TMax (°C);TMoy (°C)
01/01/2016;3.0;12.27;7.64
02/01/2016;7.32;10.95;9.14
03/01/2016;6.4;11.9;9.15
04/01/2016;6.48;11.2;8.84
05/01/2016;6.82;10.23;8.52
06/01/2016;5.6;12.7;9.15
07/01/2016;5.68;10.88;8.28
08/01/2016;4.07;11.5;7.79
09/01/2016;6.42;11.78;9.1
10/01/2016;5.48;10.7;8.09
11/01/2016;5.68;9.6;7.64
12/01/2016;5.15;9.43;7.29
13/01/2016;1.38;8.95;5.16
14/01/2016;3.28;8.9;6.09
15/01/2016;0.92;7.28;4.1
16/01/2016;0.52;8.85;4.69
17/01/2016;0.53;7.82;4.18
18/01/2016;2.92;5.18;4.05
19/01/2016;2.92;4.35;3.64
20/01/2016;2.58;5.95;4.26
21/01/2016;1.85;9.5;5.68
22/01/2016;4.35;13.58;8.96
23/01/2016;3.47;12.32;7.9
24/01/2016;9.8;15.53;12.66
25/01/2016;7.62;14.77;11.2
26/01/2016;5.5;12.58;9.04
27/01/2016;10.52;12.25;11.39
28/01/2016;4.2;10.9;7.55
29/01/2016;4.32;11.88;8.1
30/01/2016;8.2;11.8;10.0
31/01/2016;7.98;13.15;10.56
01/02/2016;10.7;12.62;11.66
02/02/2016;7.0;12.6;9.8
03/02/2016;3.28;10.12;6.7
04/02/2016;3.28;11.88;7.58
05/02/2016;9.25;11.3;10.28
06/02/2016;9.33;12.65;10.99
07/02/2016;4.77;11.97;8.38
08/02/2016;7.43;11.15;9.29
09/02/2016;3.18;9.75;6.46
10/02/2016;1.6;8.77;5.19
11/02/2016;-0.15;9.8;4.82
12/02/2016;4.23;11.15;7.69
13/02/2016;5.12;11.0;8.06
14/02/2016;3.8;9.8;6.8
15/02/2016;2.38;7.8;5.09
16/02/2016;-1.6;8.75;3.58
17/02/2016;0.57;6.7;3.64
18/02/2016;2.2;9.57;5.89
19/02/2016;-0.1;10.82;5.36
20/02/2016;8.72;12.48;10.6
21/02/2016;10.18;12.55;11.36
22/02/2016;9.8;12.58;11.19
23/02/2016;5.65;9.85;7.75
24/02/2016;4.95;6.58;5.76
25/02/2016;0.75;9.23;4.99
26/02/2016;1.5;8.43;4.96
27/02/2016;1.88;7.78;4.82
28/02/2016;3.6;8.45;6.02
29/02/2016;2.78;9.6;6.19
01/03/2016;4.2;11.35;7.78
02/03/2016;5.05;9.98;7.51
03/03/2016;5.88;10.42;8.15
04/03/2016;3.38;8.85;6.11
05/03/2016;2.48;8.35;5.41
06/03/2016;1.05;8.8;4.93
07/03/2016;1.38;8.67;5.03
08/03/2016;1.08;10.6;5.84
09/03/2016;5.55;8.65;7.1
10/03/2016;5.62;10.0;7.81
11/03/2016;2.68;10.35;6.51
12/03/2016;-0.62;10.95;5.16
13/03/2016;1.27;11.42;6.35
14/03/2016;2.3;11.12;6.71
15/03/2016;1.4;12.08;6.74
16/03/2016;4.55;11.12;7.84
17/03/2016;2.4;11.75;7.07
18/03/2016;1.38;11.9;6.64
19/03/2016;2.8;9.57;6.19
20/03/2016;4.75;9.28;7.01
21/03/2016;2.8;11.22;7.01
22/03/2016;0.55;11.88;6.21
23/03/2016;1.2;12.88;7.04
24/03/2016;3.55;11.48;7.51
25/03/2016;8.25;14.45;11.35
26/03/2016;6.9;13.65;10.27
27/03/2016;6.05;12.48;9.26
28/03/2016;6.48;12.35;9.41
29/03/2016;5.07;13.18;9.12
30/03/2016;6.42;10.12;8.27
31/03/2016;4.8;12.15;8.48
01/04/2016;0.8;13.12;6.96
02/04/2016;3.78;13.52;8.65
03/04/2016;6.38;14.15;10.26
04/04/2016;7.95;14.08;11.01
05/04/2016;4.88;15.08;9.98
06/04/2016;5.48;13.7;9.59
07/04/2016;3.82;11.3;7.56
08/04/2016;4.42;13.08;8.75
09/04/2016;5.15;11.2;8.18
10/04/2016;4.12;14.5;9.31
11/04/2016;5.18;15.62;10.4
12/04/2016;4.27;17.02;10.65
13/04/2016;4.3;15.75;10.02
14/04/2016;6.48;13.12;9.8
15/04/2016;9.23;14.35;11.79
16/04/2016;6.4;12.3;9.35
17/04/2016;0.92;11.75;6.34
18/04/2016;0.52;13.2;6.86
19/04/2016;3.45;16.65;10.05
20/04/2016;7.88;16.6;12.24
21/04/2016;10.25;18.02;14.14
22/04/2016;10.4;16.62;13.51
23/04/2016;8.65;11.42;10.04
24/04/2016;1.72;12.25;6.99
25/04/2016;1.35;11.92;6.64
26/04/2016;5.62;10.58;8.1
27/04/2016;0.85;10.82;5.84
28/04/2016;-0.05;12.38;6.16
29/04/2016;5.38;12.92;9.15
30/04/2016;3.87;12.95;8.41
01/05/2016;1.4;14.28;7.84
02/05/2016;8.75;16.3;12.52
03/05/2016;4.25;14.65;9.45
04/05/2016;3.85;18.82;11.34
05/05/2016;6.4;21.28;13.84
06/05/2016;9.57;20.7;15.14
07/05/2016;12.3;19.18;15.74
08/05/2016;12.25;21.05;16.65
09/05/2016;13.85;19.45;16.65
10/05/2016;10.38;20.75;15.56
11/05/2016;10.45;18.08;14.26
12/05/2016;10.73;16.12;13.42
13/05/2016;11.82;16.92;14.38
14/05/2016;9.33;16.55;12.94
15/05/2016;3.95;16.4;10.18
16/05/2016;9.07;16.38;12.72
17/05/2016;7.62;16.2;11.91
18/05/2016;10.1;15.45;12.78
19/05/2016;7.75;16.25;12.0
20/05/2016;12.27;18.27;15.28
21/05/2016;12.8;18.35;15.58
22/05/2016;9.45;15.32;12.39
23/05/2016;7.25;16.48;11.86
24/05/2016;5.8;18.67;12.24
25/05/2016;10.0;18.73;14.36
26/05/2016;8.98;20.3;14.64
27/05/2016;9.42;19.8;14.61
28/05/2016;10.5;21.0;15.75
29/05/2016;11.27;17.82;14.55
30/05/2016;10.88;19.33;15.1
31/05/2016;11.38;20.55;15.96
01/06/2016;12.75;16.05;14.4
02/06/2016;12.68;16.6;14.64
03/06/2016;11.77;16.23;14.0
04/06/2016;11.77;17.68;14.72
05/06/2016;10.92;20.83;15.88
06/06/2016;12.22;23.02;17.62
07/06/2016;14.03;22.25;18.14
08/06/2016;11.48;22.72;17.1
09/06/2016;12.05;25.0;18.52
10/06/2016;15.72;19.9;17.81
11/06/2016;14.45;19.08;16.76
12/06/2016;14.55;20.1;17.32
13/06/2016;12.6;18.32;15.46
14/06/2016;11.95;17.38;14.66
15/06/2016;9.38;18.65;14.01
16/06/2016;9.5;19.4;14.45
17/06/2016;11.15;18.02;14.59
18/06/2016;11.53;18.45;14.99
19/06/2016;10.3;18.7;14.5
20/06/2016;14.65;17.88;16.26
21/06/2016;15.4;20.7;18.05
22/06/2016;16.2;25.58;20.89
23/06/2016;16.68;19.82;18.25
24/06/2016;10.3;20.1;15.2
25/06/2016;11.82;19.68;15.75
26/06/2016;9.58;19.65;14.61
27/06/2016;14.78;20.2;17.49
28/06/2016;12.52;20.03;16.27
29/06/2016;10.3;17.48;13.89
30/06/2016;15.05;18.8;16.92
01/07/2016;14.82;18.98;16.9
02/07/2016;10.85;18.48;14.66
03/07/2016;12.38;19.95;16.16
04/07/2016;13.5;19.92;16.71
05/07/2016;13.88;20.4;17.14
06/07/2016;8.15;20.7;14.42
07/07/2016;8.93;25.25;17.09
08/07/2016;11.58;22.78;17.18
09/07/2016;15.85;21.92;18.89
10/07/2016;15.32;21.28;18.3
11/07/2016;14.68;21.08;17.88
12/07/2016;12.35;19.67;16.01
13/07/2016;9.7;19.15;14.42
14/07/2016;9.6;19.8;14.7
15/07/2016;8.48;21.5;14.99
16/07/2016;10.78;25.9;18.34
17/07/2016;12.4;27.6;20.0
18/07/2016;16.05;31.35;23.7
19/07/2016;19.02;33.5;26.26
20/07/2016;17.98;24.95;21.46
21/07/2016;13.2;22.72;17.96
22/07/2016;13.58;24.62;19.1
23/07/2016;13.65;22.9;18.27
24/07/2016;13.32;23.55;18.44
25/07/2016;15.25;22.9;19.08
26/07/2016;12.2;20.65;16.42
27/07/2016;14.35;22.4;18.38
28/07/2016;15.88;21.48;18.68
29/07/2016;15.73;21.35;18.54
30/07/2016;15.38;20.58;17.98
31/07/2016;13.15;22.48;17.81
01/08/2016;9.35;21.65;15.5
02/08/2016;16.35;22.52;19.44
03/08/2016;18.1;21.8;19.95
04/08/2016;13.52;21.25;17.39
05/08/2016;10.45;22.12;16.29
06/08/2016;13.9;24.1;19.0
07/08/2016;14.0;25.33;19.66
08/08/2016;12.8;21.82;17.31
09/08/2016;9.98;20.88;15.42
10/08/2016;8.83;20.28;14.55
11/08/2016;12.05;23.22;17.64
12/08/2016;10.85;23.05;16.95
13/08/2016;11.05;25.17;18.11
14/08/2016;13.4;26.0;19.7
15/08/2016;13.85;29.08;21.46
16/08/2016;13.92;29.65;21.79
17/08/2016;14.05;25.85;19.95
18/08/2016;15.62;21.8;18.71
19/08/2016;14.12;22.55;18.34
20/08/2016;14.08;21.28;17.68
21/08/2016;12.12;22.3;17.21
22/08/2016;13.18;26.02;19.6
23/08/2016;15.35;31.7;23.52
24/08/2016;15.0;24.9;19.95
25/08/2016;15.3;28.43;21.86
26/08/2016;15.05;24.8;19.92
27/08/2016;14.58;27.92;21.25
28/08/2016;15.98;22.1;19.04
29/08/2016;14.85;23.45;19.15
30/08/2016;10.75;24.35;17.55
31/08/2016;11.37;24.78;18.08
01/09/2016;12.38;23.6;17.99
02/09/2016;10.65;23.48;17.06
03/09/2016;12.8;24.78;18.79
04/09/2016;17.6;22.55;20.08
05/09/2016;18.38;25.2;21.79
06/09/2016;16.92;26.68;21.8
07/09/2016;16.27;29.87;23.08
08/09/2016;14.0;23.2;18.6
09/09/2016;13.92;24.02;18.98
10/09/2016;16.0;22.42;19.21
11/09/2016;10.12;22.58;16.35
12/09/2016;16.38;26.78;21.58
13/09/2016;15.45;25.82;20.64
14/09/2016;15.68;22.48;19.08
15/09/2016;13.88;20.15;17.01
16/09/2016;14.58;18.8;16.69
17/09/2016;11.38;19.65;15.51
18/09/2016;11.45;19.85;15.65
19/09/2016;11.27;18.92;15.1
20/09/2016;12.27;21.02;16.65
21/09/2016;10.82;21.5;16.16
22/09/2016;10.82;21.42;16.12
23/09/2016;9.98;21.95;15.96
24/09/2016;11.62;23.1;17.36
25/09/2016;12.58;19.52;16.05
26/09/2016;10.12;19.77;14.95
27/09/2016;14.73;19.75;17.24
28/09/2016;12.05;20.9;16.48
29/09/2016;13.38;19.6;16.49
30/09/2016;10.28;18.73;14.5
01/10/2016;9.72;17.52;13.62
02/10/2016;6.07;18.35;12.21
03/10/2016;5.98;19.62;12.8
04/10/2016;10.38;19.6;14.99
05/10/2016;9.43;19.47;14.45
06/10/2016;6.43;16.12;11.28
07/10/2016;4.35;14.75;9.55
08/10/2016;8.38;17.55;12.96
09/10/2016;7.0;16.85;11.92
10/10/2016;4.4;16.8;10.6
11/10/2016;7.0;15.48;11.24
12/10/2016;4.82;15.27;10.05
13/10/2016;5.68;14.72;10.2
14/10/2016;5.2;14.18;9.69
15/10/2016;6.8;15.62;11.21
16/10/2016;10.92;18.12;14.52
17/10/2016;10.8;17.9;14.35
18/10/2016;7.5;15.32;11.41
19/10/2016;5.18;14.2;9.69
20/10/2016;6.72;15.05;10.89
21/10/2016;6.2;15.7;10.95
22/10/2016;4.47;15.05;9.76
23/10/2016;5.95;11.4;8.68
24/10/2016;9.07;17.38;13.22
25/10/2016;7.93;17.0;12.46
26/10/2016;6.68;15.75;11.21
27/10/2016;8.7;12.27;10.49
28/10/2016;7.02;15.23;11.13
29/10/2016;6.62;14.68;10.65
30/10/2016;7.38;17.52;12.45
31/10/2016;6.2;20.05;13.12
01/11/2016;5.08;18.35;11.71
02/11/2016;7.52;13.85;10.69
03/11/2016;0.92;12.25;6.59
04/11/2016;6.37;12.7;9.54
05/11/2016;3.78;12.42;8.1
06/11/2016;2.72;9.7;6.21
07/11/2016;2.92;10.6;6.76
08/11/2016;2.62;11.18;6.9
09/11/2016;7.72;12.58;10.15
10/11/2016;9.22;13.2;11.21
