Périmètre;Nature;Date;Heures;Consommation
Bretagne;Données définitives;01/01/2020;00:00;3595
Bretagne;Données définitives;01/01/2020;00:30;3501
Bretagne;Données définitives;01/01/2020;01:00;3282
Bretagne;Données définitives;01/01/2020;01:30;3165
Bretagne;Données définitives;01/01/2020;02:00;3249
Bretagne;Données définitives;01/01/2020;02:30;3111
Bretagne;Données définitives;01/01/2020;03:00;2937
Bretagne;Données définitives;01/01/2020;03:30;2818
Bretagne;Données définitives;01/01/2020;04:00;2732
Bretagne;Données définitives;01/01/2020;04:30;2665
Bretagne;Données définitives;01/01/2020;05:00;2622
Bretagne;Données définitives;01/01/2020;05:30;2625
Bretagne;Données définitives;01/01/2020;06:00;2612
Bretagne;Données définitives;01/01/2020;06:30;2682
Bretagne;Données définitives;01/01/2020;07:00;2679
Bretagne;Données définitives;01/01/2020;07:30;2703
Bretagne;Données définitives;01/01/2020;08:00;2679
Bretagne;Données définitives;01/01/2020;08:30;2705
Bretagne;Données définitives;01/01/2020;09:00;2678
Bretagne;Données définitives;01/01/2020;09:30;2671
Bretagne;Données définitives;01/01/2020;10:00;2697
Bretagne;Données définitives;01/01/2020;10:30;2741
Bretagne;Données définitives;01/01/2020;11:00;2760
Bretagne;Données définitives;01/01/2020;11:30;2807
Bretagne;Données définitives;01/01/2020;12:00;2851
Bretagne;Données définitives;01/01/2020;12:30;2961
Bretagne;Données définitives;01/01/2020;13:00;3059
Bretagne;Données définitives;01/01/2020;13:30;2936
Bretagne;Données définitives;01/01/2020;14:00;2848
Bretagne;Données définitives;01/01/2020;14:30;2771
Bretagne;Données définitives;01/01/2020;15:00;2664
Bretagne;Données définitives;01/01/2020;15:30;2616
Bretagne;Données définitives;01/01/2020;16:00;2641
Bretagne;Données définitives;01/01/2020;16:30;2590
Bretagne;Données définitives;01/01/2020;17:00;2649
Bretagne;Données définitives;01/01/2020;17:30;2718
Bretagne;Données définitives;01/01/2020;18:00;2898
Bretagne;Données définitives;01/01/2020;18:30;2962
Bretagne;Données définitives;01/01/2020;19:00;3046
Bretagne;Données définitives;01/01/2020;19:30;3038
Bretagne;Données définitives;01/01/2020;20:00;2994
Bretagne;Données définitives;01/01/2020;20:30;2934
Bretagne;Données définitives;01/01/2020;21:00;2852
Bretagne;Données définitives;01/01/2020;21:30;2781
Bretagne;Données définitives;01/01/2020;22:00;2878
Bretagne;Données définitives;01/01/2020;22:30;2871
Bretagne;Données définitives;01/01/2020;23:00;3070
Bretagne;Données définitives;01/01/2020;23:30;2930
Bretagne;Données définitives;02/01/2020;00:00;3182
Bretagne;Données définitives;02/01/2020;00:30;3043
Bretagne;Données définitives;02/01/2020;01:00;2804
Bretagne;Données définitives;02/01/2020;01:30;2708
Bretagne;Données définitives;02/01/2020;02:00;2819
Bretagne;Données définitives;02/01/2020;02:30;2691
Bretagne;Données définitives;02/01/2020;03:00;2546
Bretagne;Données définitives;02/01/2020;03:30;2479
Bretagne;Données définitives;02/01/2020;04:00;2450
Bretagne;Données définitives;02/01/2020;04:30;2459
Bretagne;Données définitives;02/01/2020;05:00;2484
Bretagne;Données définitives;02/01/2020;05:30;2589
Bretagne;Données définitives;02/01/2020;06:00;2637
Bretagne;Données définitives;02/01/2020;06:30;2819
Bretagne;Données définitives;02/01/2020;07:00;2927
Bretagne;Données définitives;02/01/2020;07:30;3056
Bretagne;Données définitives;02/01/2020;08:00;3119
Bretagne;Données définitives;02/01/2020;08:30;3231
Bretagne;Données définitives;02/01/2020;09:00;3291
Bretagne;Données définitives;02/01/2020;09:30;3299
Bretagne;Données définitives;02/01/2020;10:00;3344
Bretagne;Données définitives;02/01/2020;10:30;3365
Bretagne;Données définitives;02/01/2020;11:00;3384
Bretagne;Données définitives;02/01/2020;11:30;3430
Bretagne;Données définitives;02/01/2020;12:00;3475
Bretagne;Données définitives;02/01/2020;12:30;3553
Bretagne;Données définitives;02/01/2020;13:00;3613
Bretagne;Données définitives;02/01/2020;13:30;3426
Bretagne;Données définitives;02/01/2020;14:00;3406
Bretagne;Données définitives;02/01/2020;14:30;3325
Bretagne;Données définitives;02/01/2020;15:00;3231
Bretagne;Données définitives;02/01/2020;15:30;3182
Bretagne;Données définitives;02/01/2020;16:00;3191
Bretagne;Données définitives;02/01/2020;16:30;3175
Bretagne;Données définitives;02/01/2020;17:00;3227
Bretagne;Données définitives;02/01/2020;17:30;3276
Bretagne;Données définitives;02/01/2020;18:00;3474
Bretagne;Données définitives;02/01/2020;18:30;3491
Bretagne;Données définitives;02/01/2020;19:00;3545
Bretagne;Données définitives;02/01/2020;19:30;3483
Bretagne;Données définitives;02/01/2020;20:00;3383
Bretagne;Données définitives;02/01/2020;20:30;3245
Bretagne;Données définitives;02/01/2020;21:00;3120
Bretagne;Données définitives;02/01/2020;21:30;3008
Bretagne;Données définitives;02/01/2020;22:00;3079
Bretagne;Données définitives;02/01/2020;22:30;3065
Bretagne;Données définitives;02/01/2020;23:00;3261
Bretagne;Données définitives;02/01/2020;23:30;3128
Bretagne;Données définitives;03/01/2020;00:00;3371
Bretagne;Données définitives;03/01/2020;00:30;3211
Bretagne;Données définitives;03/01/2020;01:00;2954
Bretagne;Données définitives;03/01/2020;01:30;2862
Bretagne;Données définitives;03/01/2020;02:00;2959
Bretagne;Données définitives;03/01/2020;02:30;2808
Bretagne;Données définitives;03/01/2020;03:00;2651
Bretagne;Données définitives;03/01/2020;03:30;2584
Bretagne;Données définitives;03/01/2020;04:00;2533
Bretagne;Données définitives;03/01/2020;04:30;2523
Bretagne;Données définitives;03/01/2020;05:00;2542
Bretagne;Données définitives;03/01/2020;05:30;2633
Bretagne;Données définitives;03/01/2020;06:00;2682
Bretagne;Données définitives;03/01/2020;06:30;2863
Bretagne;Données définitives;03/01/2020;07:00;2956
Bretagne;Données définitives;03/01/2020;07:30;3101
Bretagne;Données définitives;03/01/2020;08:00;3174
Bretagne;Données définitives;03/01/2020;08:30;3281
Bretagne;Données définitives;03/01/2020;09:00;3325
Bretagne;Données définitives;03/01/2020;09:30;3329
Bretagne;Données définitives;03/01/2020;10:00;3337
Bretagne;Données définitives;03/01/2020;10:30;3364
Bretagne;Données définitives;03/01/2020;11:00;3369
Bretagne;Données définitives;03/01/2020;11:30;3393
Bretagne;Données définitives;03/01/2020;12:00;3437
