Date;Heures;Consommation;Tmin;Tmax;Tmoy;;
01/01/2016;00:00;5130;1.52;10.73;6.12;;
01/01/2016;00:30;5130;1.52;10.73;6.12;;
01/01/2016;01:00;5014;1.52;10.73;6.12;;
01/01/2016;01:30;5056;1.52;10.73;6.12;;
01/01/2016;02:00;5036;1.52;10.73;6.12;;
01/01/2016;02:30;5008;1.52;10.73;6.12;;
01/01/2016;03:00;4892;1.52;10.73;6.12;;
01/01/2016;03:30;4744;1.52;10.73;6.12;;
01/01/2016;04:00;4593;1.52;10.73;6.12;;
01/01/2016;04:30;4495;1.52;10.73;6.12;;
01/01/2016;05:00;4368;1.52;10.73;6.12;;
01/01/2016;05:30;4411;1.52;10.73;6.12;;
01/01/2016;06:00;4378;1.52;10.73;6.12;;
01/01/2016;06:30;4388;1.52;10.73;6.12;;
01/01/2016;07:00;4388;1.52;10.73;6.12;;
01/01/2016;07:30;4430;1.52;10.73;6.12;;
01/01/2016;08:00;4425;1.52;10.73;6.12;;
01/01/2016;08:30;4309;1.52;10.73;6.12;;
01/01/2016;09:00;4247;1.52;10.73;6.12;;
01/01/2016;09:30;4384;1.52;10.73;6.12;;
01/01/2016;10:00;4433;1.52;10.73;6.12;;
01/01/2016;10:30;4445;1.52;10.73;6.12;;
01/01/2016;11:00;4520;1.52;10.73;6.12;;
01/01/2016;11:30;4729;1.52;10.73;6.12;;
01/01/2016;12:00;4788;1.52;10.73;6.12;;
01/01/2016;12:30;4935;1.52;10.73;6.12;;
01/01/2016;13:00;5045;1.52;10.73;6.12;;
01/01/2016;13:30;4819;1.52;10.73;6.12;;
01/01/2016;14:00;4825;1.52;10.73;6.12;;
01/01/2016;14:30;4680;1.52;10.73;6.12;;
01/01/2016;15:00;4701;1.52;10.73;6.12;;
01/01/2016;15:30;4628;1.52;10.73;6.12;;
01/01/2016;16:00;4595;1.52;10.73;6.12;;
01/01/2016;16:30;4720;1.52;10.73;6.12;;
01/01/2016;17:00;4779;1.52;10.73;6.12;;
01/01/2016;17:30;5146;1.52;10.73;6.12;;
01/01/2016;18:00;5189;1.52;10.73;6.12;;
01/01/2016;18:30;5295;1.52;10.73;6.12;;
01/01/2016;19:00;5401;1.52;10.73;6.12;;
01/01/2016;19:30;5382;1.52;10.73;6.12;;
01/01/2016;20:00;5338;1.52;10.73;6.12;;
01/01/2016;20:30;5221;1.52;10.73;6.12;;
01/01/2016;21:00;5227;1.52;10.73;6.12;;
01/01/2016;21:30;5182;1.52;10.73;6.12;;
01/01/2016;22:00;5043;1.52;10.73;6.12;;
01/01/2016;22:30;5064;1.52;10.73;6.12;;
01/01/2016;23:00;5108;1.52;10.73;6.12;;
01/01/2016;23:30;5064;1.52;10.73;6.12;;
02/01/2016;00:00;5042;6.92;11.22;9.07;;
02/01/2016;00:30;4922;6.92;11.22;9.07;;
02/01/2016;01:00;4758;6.92;11.22;9.07;;
02/01/2016;01:30;4737;6.92;11.22;9.07;;
02/01/2016;02:00;4805;6.92;11.22;9.07;;
02/01/2016;02:30;4677;6.92;11.22;9.07;;
02/01/2016;03:00;4534;6.92;11.22;9.07;;
02/01/2016;03:30;4483;6.92;11.22;9.07;;
02/01/2016;04:00;4444;6.92;11.22;9.07;;
02/01/2016;04:30;4416;6.92;11.22;9.07;;
02/01/2016;05:00;4393;6.92;11.22;9.07;;
02/01/2016;05:30;4379;6.92;11.22;9.07;;
02/01/2016;06:00;4503;6.92;11.22;9.07;;
02/01/2016;06:30;4500;6.92;11.22;9.07;;
02/01/2016;07:00;4616;6.92;11.22;9.07;;
02/01/2016;07:30;4690;6.92;11.22;9.07;;
02/01/2016;08:00;4842;6.92;11.22;9.07;;
02/01/2016;08:30;4836;6.92;11.22;9.07;;
02/01/2016;09:00;4876;6.92;11.22;9.07;;
02/01/2016;09:30;5003;6.92;11.22;9.07;;
02/01/2016;10:00;5073;6.92;11.22;9.07;;
02/01/2016;10:30;5096;6.92;11.22;9.07;;
02/01/2016;11:00;5152;6.92;11.22;9.07;;
02/01/2016;11:30;5230;6.92;11.22;9.07;;
02/01/2016;12:00;5384;6.92;11.22;9.07;;
02/01/2016;12:30;5481;6.92;11.22;9.07;;
02/01/2016;13:00;5612;6.92;11.22;9.07;;
02/01/2016;13:30;5402;6.92;11.22;9.07;;
02/01/2016;14:00;5333;6.92;11.22;9.07;;
02/01/2016;14:30;5200;6.92;11.22;9.07;;
02/01/2016;15:00;5163;6.92;11.22;9.07;;
02/01/2016;15:30;5096;6.92;11.22;9.07;;
02/01/2016;16:00;5021;6.92;11.22;9.07;;
02/01/2016;16:30;5033;6.92;11.22;9.07;;
02/01/2016;17:00;5163;6.92;11.22;9.07;;
02/01/2016;17:30;5450;6.92;11.22;9.07;;
02/01/2016;18:00;5620;6.92;11.22;9.07;;
02/01/2016;18:30;5651;6.92;11.22;9.07;;
02/01/2016;19:00;5697;6.92;11.22;9.07;;
02/01/2016;19:30;5658;6.92;11.22;9.07;;
02/01/2016;20:00;5533;6.92;11.22;9.07;;
02/01/2016;20:30;5420;6.92;11.22;9.07;;
02/01/2016;21:00;5338;6.92;11.22;9.07;;
02/01/2016;21:30;5320;6.92;11.22;9.07;;
02/01/2016;22:00;5183;6.92;11.22;9.07;;
02/01/2016;22:30;5217;6.92;11.22;9.07;;
02/01/2016;23:00;5224;6.92;11.22;9.07;;
02/01/2016;23:30;5174;6.92;11.22;9.07;;
03/01/2016;00:00;5184;4.65;8.4;6.52;;
03/01/2016;00:30;5049;4.65;8.4;6.52;;
03/01/2016;01:00;4872;4.65;8.4;6.52;;
03/01/2016;01:30;4847;4.65;8.4;6.52;;
03/01/2016;02:00;4869;4.65;8.4;6.52;;
03/01/2016;02:30;4773;4.65;8.4;6.52;;
03/01/2016;03:00;4646;4.65;8.4;6.52;;
03/01/2016;03:30;4570;4.65;8.4;6.52;;
03/01/2016;04:00;4423;4.65;8.4;6.52;;
03/01/2016;04:30;4292;4.65;8.4;6.52;;
03/01/2016;05:00;4292;4.65;8.4;6.52;;
03/01/2016;05:30;4290;4.65;8.4;6.52;;
03/01/2016;06:00;4310;4.65;8.4;6.52;;
03/01/2016;06:30;4366;4.65;8.4;6.52;;
03/01/2016;07:00;4449;4.65;8.4;6.52;;
03/01/2016;07:30;4503;4.65;8.4;6.52;;
03/01/2016;08:00;4551;4.65;8.4;6.52;;
03/01/2016;08:30;4509;4.65;8.4;6.52;;
03/01/2016;09:00;4569;4.65;8.4;6.52;;
03/01/2016;09:30;4634;4.65;8.4;6.52;;
03/01/2016;10:00;4790;4.65;8.4;6.52;;
03/01/2016;10:30;4966;4.65;8.4;6.52;;
03/01/2016;11:00;4979;4.65;8.4;6.52;;
03/01/2016;11:30;5118;4.65;8.4;6.52;;
03/01/2016;12:00;5282;4.65;8.4;6.52;;
03/01/2016;12:30;5350;4.65;8.4;6.52;;
03/01/2016;13:00;5525;4.65;8.4;6.52;;
03/01/2016;13:30;5250;4.65;8.4;6.52;;
03/01/2016;14:00;5152;4.65;8.4;6.52;;
03/01/2016;14:30;5069;4.65;8.4;6.52;;
03/01/2016;15:00;4997;4.65;8.4;6.52;;
03/01/2016;15:30;4960;4.65;8.4;6.52;;
03/01/2016;16:00;4935;4.65;8.4;6.52;;
03/01/2016;16:30;4907;4.65;8.4;6.52;;
03/01/2016;17:00;5048;4.65;8.4;6.52;;
03/01/2016;17:30;5356;4.65;8.4;6.52;;
03/01/2016;18:00;5556;4.65;8.4;6.52;;
03/01/2016;18:30;5653;4.65;8.4;6.52;;
03/01/2016;19:00;5789;4.65;8.4;6.52;;
03/01/2016;19:30;5810;4.65;8.4;6.52;;
03/01/2016;20:00;5768;4.65;8.4;6.52;;
03/01/2016;20:30;5653;4.65;8.4;6.52;;
03/01/2016;21:00;5558;4.65;8.4;6.52;;
03/01/2016;21:30;5504;4.65;8.4;6.52;;
03/01/2016;22:00;5362;4.65;8.4;6.52;;
03/01/2016;22:30;5418;4.65;8.4;6.52;;
03/01/2016;23:00;5425;4.65;8.4;6.52;;
03/01/2016;23:30;5375;4.65;8.4;6.52;;
04/01/2016;00:00;5288;5.33;10.4;7.87;;
04/01/2016;00:30;5159;5.33;10.4;7.87;;
04/01/2016;01:00;4975;5.33;10.4;7.87;;
04/01/2016;01:30;5031;5.33;10.4;7.87;;
04/01/2016;02:00;5107;5.33;10.4;7.87;;
04/01/2016;02:30;5062;5.33;10.4;7.87;;
04/01/2016;03:00;4830;5.33;10.4;7.87;;
04/01/2016;03:30;4886;5.33;10.4;7.87;;
04/01/2016;04:00;4829;5.33;10.4;7.87;;
04/01/2016;04:30;4749;5.33;10.4;7.87;;
04/01/2016;05:00;4813;5.33;10.4;7.87;;
04/01/2016;05:30;4989;5.33;10.4;7.87;;
04/01/2016;06:00;5237;5.33;10.4;7.87;;
04/01/2016;06:30;5516;5.33;10.4;7.87;;
04/01/2016;07:00;5821;5.33;10.4;7.87;;
04/01/2016;07:30;6101;5.33;10.4;7.87;;
04/01/2016;08:00;6288;5.33;10.4;7.87;;
04/01/2016;08:30;6258;5.33;10.4;7.87;;
04/01/2016;09:00;6287;5.33;10.4;7.87;;
04/01/2016;09:30;6385;5.33;10.4;7.87;;
04/01/2016;10:00;6452;5.33;10.4;7.87;;
04/01/2016;10:30;6345;5.33;10.4;7.87;;
04/01/2016;11:00;6333;5.33;10.4;7.87;;
04/01/2016;11:30;6520;5.33;10.4;7.87;;
04/01/2016;12:00;6590;5.33;10.4;7.87;;
04/01/2016;12:30;6483;5.33;10.4;7.87;;
04/01/2016;13:00;6490;5.33;10.4;7.87;;
04/01/2016;13:30;6336;5.33;10.4;7.87;;
04/01/2016;14:00;6396;5.33;10.4;7.87;;
04/01/2016;14:30;6334;5.33;10.4;7.87;;
04/01/2016;15:00;6269;5.33;10.4;7.87;;
04/01/2016;15:30;6196;5.33;10.4;7.87;;
04/01/2016;16:00;6157;5.33;10.4;7.87;;
04/01/2016;16:30;6110;5.33;10.4;7.87;;
