Date;Heures;Electricite;Gaz;Tmin;Tmax;Tmoy;Taux de Co2
01/01/2016;00:00;5130;2226;1.52;10.73;6.12;31
01/01/2016;00:30;5130;2227;1.52;10.73;6.12;31
01/01/2016;01:00;5014;2205;1.52;10.73;6.12;32
01/01/2016;01:30;5056;2212;1.52;10.73;6.12;32
01/01/2016;02:00;5036;2209;1.52;10.73;6.12;32
01/01/2016;02:30;5008;2231;1.52;10.73;6.12;33
01/01/2016;03:00;4892;2240;1.52;10.73;6.12;34
01/01/2016;03:30;4744;2195;1.52;10.73;6.12;35
01/01/2016;04:00;4593;2219;1.52;10.73;6.12;36
01/01/2016;04:30;4495;2221;1.52;10.73;6.12;35
01/01/2016;05:00;4368;2234;1.52;10.73;6.12;36
01/01/2016;05:30;4411;2200;1.52;10.73;6.12;35
01/01/2016;06:00;4378;2191;1.52;10.73;6.12;35
01/01/2016;06:30;4388;2207;1.52;10.73;6.12;35
01/01/2016;07:00;4388;2220;1.52;10.73;6.12;35
01/01/2016;07:30;4430;2221;1.52;10.73;6.12;35
01/01/2016;08:00;4425;2210;1.52;10.73;6.12;35
01/01/2016;08:30;4309;2218;1.52;10.73;6.12;37
01/01/2016;09:00;4247;2200;1.52;10.73;6.12;36
01/01/2016;09:30;4384;2217;1.52;10.73;6.12;34
01/01/2016;10:00;4433;2190;1.52;10.73;6.12;33
01/01/2016;10:30;4445;2207;1.52;10.73;6.12;32
01/01/2016;11:00;4520;2229;1.52;10.73;6.12;32
01/01/2016;11:30;4729;2232;1.52;10.73;6.12;32
01/01/2016;12:00;4788;2231;1.52;10.73;6.12;31
01/01/2016;12:30;4935;2230;1.52;10.73;6.12;31
01/01/2016;13:00;5045;2229;1.52;10.73;6.12;30
01/01/2016;13:30;4819;2222;1.52;10.73;6.12;30
01/01/2016;14:00;4825;2229;1.52;10.73;6.12;31
01/01/2016;14:30;4680;2234;1.52;10.73;6.12;31
01/01/2016;15:00;4701;2207;1.52;10.73;6.12;32
01/01/2016;15:30;4628;2208;1.52;10.73;6.12;32
01/01/2016;16:00;4595;2231;1.52;10.73;6.12;32
01/01/2016;16:30;4720;2232;1.52;10.73;6.12;32
01/01/2016;17:00;4779;2231;1.52;10.73;6.12;32
