Date;TMin (°C);TMax (°C);TMoy (°C)
01/01/2016;1.13;6.99;4.06
02/01/2016;3.94;8.96;6.45
03/01/2016;3.81;7.37;5.59
04/01/2016;3.47;8.49;5.98
05/01/2016;2.79;7.79;5.29
06/01/2016;4.14;6.91;5.53
07/01/2016;4.11;9.64;6.88
08/01/2016;0.4;7.4;3.9
09/01/2016;2.04;8.81;5.43
10/01/2016;4.53;7.97;6.25
11/01/2016;4.16;8.3;6.23
12/01/2016;3.71;7.79;5.75
13/01/2016;2.61;5.67;4.14
14/01/2016;-1.87;4.9;1.51
15/01/2016;0.41;3.11;1.76
16/01/2016;-0.19;3.23;1.52
17/01/2016;-2.77;2.14;-0.31
18/01/2016;-7.64;-1.53;-4.59
19/01/2016;-5.4;-0.87;-3.14
20/01/2016;-5.44;-0.83;-3.14
21/01/2016;-5.81;1.93;-1.94
22/01/2016;-6.24;4.79;-0.73
23/01/2016;0.46;8.71;4.59
24/01/2016;-0.76;7.13;3.19
25/01/2016;0.56;12.96;6.76
26/01/2016;2.6;12.73;7.66
27/01/2016;5.29;11.57;8.43
28/01/2016;5.53;9.61;7.57
29/01/2016;1.17;9.23;5.2
30/01/2016;3.61;8.64;6.13
31/01/2016;4.76;12.8;8.78
01/02/2016;9.96;11.87;10.91
02/02/2016;8.53;11.46;9.99
03/02/2016;2.49;7.06;4.77
04/02/2016;0.53;7.87;4.2
05/02/2016;5.43;10.53;7.98
06/02/2016;3.23;13.64;8.44
07/02/2016;4.46;9.83;7.14
08/02/2016;3.74;11.37;7.56
09/02/2016;4.89;11.34;8.11
10/02/2016;1.39;6.5;3.94
11/02/2016;0.99;6.2;3.59
12/02/2016;-0.23;5.4;2.59
13/02/2016;1.3;8.33;4.81
14/02/2016;4.0;6.86;5.43
15/02/2016;1.29;3.61;2.45
16/02/2016;-1.17;3.24;1.04
17/02/2016;-2.06;2.23;0.09
18/02/2016;-1.19;5.71;2.26
19/02/2016;1.46;6.73;4.09
20/02/2016;0.56;11.1;5.83
21/02/2016;8.26;12.66;10.46
22/02/2016;7.44;12.11;9.78
23/02/2016;2.36;8.2;5.28
24/02/2016;-1.69;6.21;2.26
25/02/2016;-1.19;6.31;2.56
26/02/2016;-2.33;5.76;1.71
27/02/2016;-2.69;8.39;2.85
28/02/2016;0.04;5.34;2.69
29/02/2016;1.24;5.67;3.46
01/03/2016;-3.31;7.56;2.12
02/03/2016;2.17;8.29;5.23
03/03/2016;0.81;5.97;3.39
04/03/2016;-1.03;6.79;2.88
05/03/2016;2.31;7.07;4.69
06/03/2016;0.63;5.39;3.01
07/03/2016;-0.84;4.17;1.66
08/03/2016;-1.26;4.64;1.69
09/03/2016;-2.09;6.43;2.17
10/03/2016;0.76;9.13;4.94
11/03/2016;-1.41;9.43;4.01
12/03/2016;-0.73;10.46;4.86
13/03/2016;-0.27;10.0;4.86
14/03/2016;1.24;9.24;5.24
15/03/2016;-2.36;10.69;4.16
16/03/2016;1.01;7.61;4.31
17/03/2016;-2.17;12.57;5.2
18/03/2016;-2.39;14.44;6.03
19/03/2016;-0.09;7.99;3.95
20/03/2016;0.56;9.24;4.9
21/03/2016;0.1;10.29;5.19
22/03/2016;2.44;12.26;7.35
23/03/2016;2.79;10.3;6.54
24/03/2016;2.11;10.5;6.31
25/03/2016;4.8;9.61;7.21
26/03/2016;3.53;15.87;9.7
27/03/2016;6.24;12.46;9.35
28/03/2016;4.41;14.89;9.65
29/03/2016;5.14;14.26;9.7
30/03/2016;7.59;13.21;10.4
31/03/2016;6.47;13.63;10.05
01/04/2016;4.29;8.07;6.18
02/04/2016;4.71;13.1;8.91
03/04/2016;8.67;17.27;12.97
04/04/2016;9.61;16.77;13.19
05/04/2016;9.29;13.83;11.56
06/04/2016;5.74;15.99;10.86
07/04/2016;5.49;11.76;8.62
08/04/2016;0.73;12.6;6.67
09/04/2016;0.77;14.1;7.43
10/04/2016;3.41;17.87;10.64
11/04/2016;5.39;18.36;11.87
12/04/2016;5.34;17.96;11.65
13/04/2016;6.74;15.06;10.9
14/04/2016;5.97;16.71;11.34
15/04/2016;8.66;15.57;12.11
16/04/2016;8.9;14.53;11.71
17/04/2016;5.69;10.09;7.89
18/04/2016;2.37;12.17;7.27
19/04/2016;0.29;15.34;7.81
20/04/2016;3.06;18.51;10.79
21/04/2016;4.16;21.27;12.71
22/04/2016;7.7;20.29;13.99
23/04/2016;6.03;10.53;8.28
24/04/2016;0.36;8.6;4.48
25/04/2016;0.27;8.01;4.14
26/04/2016;1.87;8.14;5.01
27/04/2016;0.47;9.81;5.14
28/04/2016;0.43;11.27;5.85
29/04/2016;0.57;14.4;7.49
30/04/2016;3.59;12.74;8.16
01/05/2016;4.29;13.1;8.69
02/05/2016;3.43;18.69;11.06
