Périmètre;Nature;Date;Heures;Consommation
Grand-Est;Données définitives;01/01/2017;00:00;6394
Grand-Est;Données définitives;01/01/2017;00:30;6301
Grand-Est;Données définitives;01/01/2017;01:00;6112
Grand-Est;Données définitives;01/01/2017;01:30;6169
Grand-Est;Données définitives;01/01/2017;02:00;6254
Grand-Est;Données définitives;01/01/2017;02:30;6206
Grand-Est;Données définitives;01/01/2017;03:00;6061
Grand-Est;Données définitives;01/01/2017;03:30;5920
Grand-Est;Données définitives;01/01/2017;04:00;5826
Grand-Est;Données définitives;01/01/2017;04:30;5684
Grand-Est;Données définitives;01/01/2017;05:00;5594
Grand-Est;Données définitives;01/01/2017;05:30;5545
Grand-Est;Données définitives;01/01/2017;06:00;5506
Grand-Est;Données définitives;01/01/2017;06:30;5502
Grand-Est;Données définitives;01/01/2017;07:00;5495
Grand-Est;Données définitives;01/01/2017;07:30;5505
Grand-Est;Données définitives;01/01/2017;08:00;5569
Grand-Est;Données définitives;01/01/2017;08:30;5474
Grand-Est;Données définitives;01/01/2017;09:00;5472
Grand-Est;Données définitives;01/01/2017;09:30;5662
Grand-Est;Données définitives;01/01/2017;10:00;5658
Grand-Est;Données définitives;01/01/2017;10:30;5748
Grand-Est;Données définitives;01/01/2017;11:00;5856
Grand-Est;Données définitives;01/01/2017;11:30;5945
Grand-Est;Données définitives;01/01/2017;12:00;6089
Grand-Est;Données définitives;01/01/2017;12:30;6208
Grand-Est;Données définitives;01/01/2017;13:00;6388
Grand-Est;Données définitives;01/01/2017;13:30;6170
Grand-Est;Données définitives;01/01/2017;14:00;6083
Grand-Est;Données définitives;01/01/2017;14:30;5919
Grand-Est;Données définitives;01/01/2017;15:00;5868
Grand-Est;Données définitives;01/01/2017;15:30;5797
Grand-Est;Données définitives;01/01/2017;16:00;5751
Grand-Est;Données définitives;01/01/2017;16:30;5789
Grand-Est;Données définitives;01/01/2017;17:00;5880
Grand-Est;Données définitives;01/01/2017;17:30;6161
Grand-Est;Données définitives;01/01/2017;18:00;6291
Grand-Est;Données définitives;01/01/2017;18:30;6419
Grand-Est;Données définitives;01/01/2017;19:00;6525
Grand-Est;Données définitives;01/01/2017;19:30;6532
Grand-Est;Données définitives;01/01/2017;20:00;6468
Grand-Est;Données définitives;01/01/2017;20:30;6361
Grand-Est;Données définitives;01/01/2017;21:00;6270
Grand-Est;Données définitives;01/01/2017;21:30;6176
Grand-Est;Données définitives;01/01/2017;22:00;6082
Grand-Est;Données définitives;01/01/2017;22:30;6172
Grand-Est;Données définitives;01/01/2017;23:00;6129
Grand-Est;Données définitives;01/01/2017;23:30;6084
Grand-Est;Données définitives;02/01/2017;00:00;5989
Grand-Est;Données définitives;02/01/2017;00:30;5852
Grand-Est;Données définitives;02/01/2017;01:00;5672
Grand-Est;Données définitives;02/01/2017;01:30;5688
Grand-Est;Données définitives;02/01/2017;02:00;5761
Grand-Est;Données définitives;02/01/2017;02:30;5760
Grand-Est;Données définitives;02/01/2017;03:00;5621
Grand-Est;Données définitives;02/01/2017;03:30;5567
Grand-Est;Données définitives;02/01/2017;04:00;5420
Grand-Est;Données définitives;02/01/2017;04:30;5404
Grand-Est;Données définitives;02/01/2017;05:00;5453
Grand-Est;Données définitives;02/01/2017;05:30;5553
Grand-Est;Données définitives;02/01/2017;06:00;5737
Grand-Est;Données définitives;02/01/2017;06:30;5973
Grand-Est;Données définitives;02/01/2017;07:00;6192
Grand-Est;Données définitives;02/01/2017;07:30;6365
Grand-Est;Données définitives;02/01/2017;08:00;6526
Grand-Est;Données définitives;02/01/2017;08:30;6513
Grand-Est;Données définitives;02/01/2017;09:00;6628
Grand-Est;Données définitives;02/01/2017;09:30;6737
Grand-Est;Données définitives;02/01/2017;10:00;6801
