Date;Heures;Consommation;Tmin;Tmax;Tmoy;;
01/01/2016;00:00;5969;1.72;7.72;4.72;;
01/01/2016;00:30;5970;1.72;7.72;4.72;;
01/01/2016;01:00;5755;1.72;7.72;4.72;;
01/01/2016;01:30;5793;1.72;7.72;4.72;;
01/01/2016;02:00;5695;1.72;7.72;4.72;;
01/01/2016;02:30;5539;1.72;7.72;4.72;;
01/01/2016;03:00;5322;1.72;7.72;4.72;;
01/01/2016;03:30;5153;1.72;7.72;4.72;;
01/01/2016;04:00;5031;1.72;7.72;4.72;;
01/01/2016;04:30;4976;1.72;7.72;4.72;;
01/01/2016;05:00;4903;1.72;7.72;4.72;;
01/01/2016;05:30;4880;1.72;7.72;4.72;;
01/01/2016;06:00;4899;1.72;7.72;4.72;;
01/01/2016;06:30;4937;1.72;7.72;4.72;;
01/01/2016;07:00;4949;1.72;7.72;4.72;;
01/01/2016;07:30;4997;1.72;7.72;4.72;;
01/01/2016;08:00;5131;1.72;7.72;4.72;;
01/01/2016;08:30;5109;1.72;7.72;4.72;;
01/01/2016;09:00;5035;1.72;7.72;4.72;;
01/01/2016;09:30;5113;1.72;7.72;4.72;;
01/01/2016;10:00;5163;1.72;7.72;4.72;;
01/01/2016;10:30;5266;1.72;7.72;4.72;;
01/01/2016;11:00;5384;1.72;7.72;4.72;;
01/01/2016;11:30;5468;1.72;7.72;4.72;;
01/01/2016;12:00;5579;1.72;7.72;4.72;;
01/01/2016;12:30;5629;1.72;7.72;4.72;;
01/01/2016;13:00;5891;1.72;7.72;4.72;;
01/01/2016;13:30;5801;1.72;7.72;4.72;;
01/01/2016;14:00;5643;1.72;7.72;4.72;;
01/01/2016;14:30;5518;1.72;7.72;4.72;;
01/01/2016;15:00;5372;1.72;7.72;4.72;;
01/01/2016;15:30;5327;1.72;7.72;4.72;;
01/01/2016;16:00;5354;1.72;7.72;4.72;;
01/01/2016;16:30;5363;1.72;7.72;4.72;;
01/01/2016;17:00;5367;1.72;7.72;4.72;;
01/01/2016;17:30;5683;1.72;7.72;4.72;;
01/01/2016;18:00;5800;1.72;7.72;4.72;;
01/01/2016;18:30;5968;1.72;7.72;4.72;;
01/01/2016;19:00;6010;1.72;7.72;4.72;;
01/01/2016;19:30;6065;1.72;7.72;4.72;;
01/01/2016;20:00;6017;1.72;7.72;4.72;;
01/01/2016;20:30;6000;1.72;7.72;4.72;;
01/01/2016;21:00;5856;1.72;7.72;4.72;;
01/01/2016;21:30;5762;1.72;7.72;4.72;;
01/01/2016;22:00;5746;1.72;7.72;4.72;;
01/01/2016;22:30;5629;1.72;7.72;4.72;;
01/01/2016;23:00;5632;1.72;7.72;4.72;;
01/01/2016;23:30;5642;1.72;7.72;4.72;;
02/01/2016;00:00;5941;6.26;10.76;8.51;;
02/01/2016;00:30;5856;6.26;10.76;8.51;;
02/01/2016;01:00;5598;6.26;10.76;8.51;;
02/01/2016;01:30;5604;6.26;10.76;8.51;;
02/01/2016;02:00;5473;6.26;10.76;8.51;;
02/01/2016;02:30;5325;6.26;10.76;8.51;;
02/01/2016;03:00;5079;6.26;10.76;8.51;;
02/01/2016;03:30;5044;6.26;10.76;8.51;;
02/01/2016;04:00;4892;6.26;10.76;8.51;;
02/01/2016;04:30;4816;6.26;10.76;8.51;;
02/01/2016;05:00;4813;6.26;10.76;8.51;;
02/01/2016;05:30;4881;6.26;10.76;8.51;;
02/01/2016;06:00;4981;6.26;10.76;8.51;;
02/01/2016;06:30;5138;6.26;10.76;8.51;;
02/01/2016;07:00;5232;6.26;10.76;8.51;;
02/01/2016;07:30;5363;6.26;10.76;8.51;;
02/01/2016;08:00;5512;6.26;10.76;8.51;;
