Date;TMin (°C);TMax (°C);TMoy (°C)
01/01/2016;1.72;7.72;4.72
02/01/2016;6.26;10.76;8.51
03/01/2016;5.44;7.96;6.7
04/01/2016;5.8;9.6;7.7
05/01/2016;4.92;8.94;6.93
06/01/2016;6.24;8.92;7.58
07/01/2016;5.42;10.6;8.01
08/01/2016;1.54;8.1;4.82
09/01/2016;3.28;10.04;6.66
10/01/2016;4.54;8.58;6.56
11/01/2016;2.9;8.04;5.47
12/01/2016;4.94;7.92;6.43
13/01/2016;3.66;7.4;5.53
14/01/2016;2.44;6.94;4.69
15/01/2016;1.74;4.98;3.36
16/01/2016;0.36;6.16;3.26
17/01/2016;-0.02;4.2;2.09
18/01/2016;-2.78;0.08;-1.35
19/01/2016;-5.42;1.28;-2.07
20/01/2016;-5.5;1.86;-1.82
21/01/2016;-4.3;3.96;-0.17
22/01/2016;-0.96;7.5;3.27
23/01/2016;4.38;8.3;6.34
24/01/2016;4.86;10.22;7.54
25/01/2016;5.34;12.94;9.14
26/01/2016;7.44;11.26;9.35
27/01/2016;9.5;11.68;10.59
28/01/2016;4.1;8.46;6.28
29/01/2016;2.9;9.82;6.36
30/01/2016;5.64;9.34;7.49
31/01/2016;4.94;11.84;8.39
01/02/2016;10.5;11.64;11.07
02/02/2016;7.38;10.52;8.95
03/02/2016;3.72;7.74;5.73
04/02/2016;4.33;10.57;7.45
05/02/2016;8.53;10.37;9.45
06/02/2016;7.78;12.24;10.01
07/02/2016;5.82;10.3;8.06
08/02/2016;5.76;9.68;7.72
09/02/2016;4.0;8.92;6.46
10/02/2016;2.76;7.48;5.12
11/02/2016;1.96;7.36;4.66
12/02/2016;1.26;5.6;3.43
13/02/2016;0.44;5.5;2.97
14/02/2016;2.74;6.16;4.45
15/02/2016;1.32;6.26;3.79
16/02/2016;-1.94;6.0;2.03
17/02/2016;-4.18;4.08;-0.05
18/02/2016;-1.42;3.56;1.07
19/02/2016;-0.68;8.94;4.13
20/02/2016;4.92;11.38;8.15
21/02/2016;9.96;11.84;10.9
22/02/2016;7.48;10.9;9.19
23/02/2016;3.56;8.52;6.04
24/02/2016;-0.52;7.74;3.61
25/02/2016;-0.42;6.94;3.26
26/02/2016;0.58;6.9;3.74
27/02/2016;0.08;6.44;3.26
28/02/2016;0.62;6.52;3.57
29/02/2016;0.66;7.12;3.89
01/03/2016;-1.0;9.4;4.2
02/03/2016;2.28;9.54;5.91
03/03/2016;2.5;8.02;5.26
04/03/2016;2.56;8.2;5.38
05/03/2016;1.08;7.62;4.35
06/03/2016;2.42;6.98;4.7
07/03/2016;0.58;6.04;3.31
08/03/2016;0.32;8.22;4.27
09/03/2016;4.32;6.42;5.37
10/03/2016;2.64;9.8;6.22
11/03/2016;0.22;10.36;5.29
12/03/2016;0.84;10.8;5.82
13/03/2016;0.18;9.32;4.75
14/03/2016;0.44;8.48;4.46
15/03/2016;-0.12;11.3;5.59
16/03/2016;3.02;8.7;5.86
17/03/2016;0.6;11.06;5.83
18/03/2016;1.7;8.1;4.9
19/03/2016;4.5;7.8;6.15
20/03/2016;4.78;7.7;6.24
21/03/2016;3.48;10.08;6.78
22/03/2016;3.42;12.26;7.84
23/03/2016;3.94;10.24;7.09
24/03/2016;5.58;9.96;7.77
25/03/2016;6.56;12.28;9.42
26/03/2016;2.98;14.48;8.73
27/03/2016;5.74;13.08;9.41
28/03/2016;6.86;12.08;9.47
29/03/2016;5.14;12.5;8.82
30/03/2016;6.86;11.16;9.01
31/03/2016;5.9;9.42;7.66
01/04/2016;2.06;11.98;7.02
02/04/2016;2.66;11.3;6.98
03/04/2016;8.8;19.84;14.32
04/04/2016;9.54;15.46;12.5
05/04/2016;7.5;13.12;10.31
06/04/2016;6.14;12.02;9.08
07/04/2016;4.5;10.82;7.66
08/04/2016;5.3;11.87;8.58
09/04/2016;4.33;11.5;7.92
10/04/2016;1.3;15.36;8.33
11/04/2016;8.72;15.02;11.87
12/04/2016;5.22;15.42;10.32
13/04/2016;7.58;13.94;10.76
14/04/2016;4.0;16.5;10.25
15/04/2016;8.54;15.94;12.24
16/04/2016;7.16;11.7;9.43
17/04/2016;1.94;10.98;6.46
18/04/2016;1.14;12.42;6.78
19/04/2016;4.44;14.34;9.39
20/04/2016;3.9;16.36;10.13
21/04/2016;6.84;18.64;12.74
22/04/2016;8.38;14.52;11.45
23/04/2016;6.34;10.5;8.42
24/04/2016;0.98;8.48;4.73
25/04/2016;3.06;9.84;6.45
26/04/2016;2.7;8.94;5.82
27/04/2016;1.86;10.04;5.95
28/04/2016;0.22;10.84;5.53
29/04/2016;4.38;10.66;7.52
30/04/2016;4.96;11.42;8.19
01/05/2016;1.82;13.8;7.81
02/05/2016;2.02;15.62;8.82
03/05/2016;6.02;14.2;10.11
04/05/2016;2.78;16.68;9.73
05/05/2016;5.5;19.56;12.53
06/05/2016;7.94;22.94;15.44
07/05/2016;11.0;22.84;16.92
08/05/2016;12.06;25.5;18.78
09/05/2016;14.72;22.56;18.64
10/05/2016;14.38;19.94;17.16
11/05/2016;13.88;20.54;17.21
12/05/2016;12.83;20.27;16.55
13/05/2016;11.36;20.96;16.16
14/05/2016;8.48;12.46;10.47
15/05/2016;3.46;13.7;8.58
16/05/2016;7.38;15.18;11.28
17/05/2016;6.22;17.16;11.69
18/05/2016;9.84;16.18;13.01
19/05/2016;7.92;16.3;12.11
20/05/2016;9.8;17.94;13.87
21/05/2016;12.04;22.8;17.42
22/05/2016;12.0;15.5;13.75
23/05/2016;10.6;15.54;13.07
24/05/2016;8.28;15.14;11.71
25/05/2016;6.26;16.82;11.54
26/05/2016;7.66;20.8;14.23
27/05/2016;12.48;22.16;17.32
28/05/2016;11.46;21.94;16.7
29/05/2016;12.68;18.62;15.65
30/05/2016;12.02;13.4;12.71
31/05/2016;12.04;15.14;13.59
01/06/2016;12.62;14.92;13.77
02/06/2016;11.44;12.62;12.03
03/06/2016;10.4;13.36;11.88
04/06/2016;11.42;15.62;13.52
05/06/2016;12.7;21.04;16.87
06/06/2016;12.18;25.04;18.61
07/06/2016;13.8;24.42;19.11
08/06/2016;12.96;22.58;17.77
09/06/2016;11.16;21.14;16.15
10/06/2016;10.26;22.04;16.15
11/06/2016;14.86;22.28;18.57
