Périmètre;Nature;Date;Heures;Consommation
Hauts-de-France;Données définitives;01/01/2019;00:00;6095
Hauts-de-France;Données définitives;01/01/2019;00:30;6082
Hauts-de-France;Données définitives;01/01/2019;01:00;5852
Hauts-de-France;Données définitives;01/01/2019;01:30;5975
Hauts-de-France;Données définitives;01/01/2019;02:00;5824
Hauts-de-France;Données définitives;01/01/2019;02:30;5680
Hauts-de-France;Données définitives;01/01/2019;03:00;5478
Hauts-de-France;Données définitives;01/01/2019;03:30;5288
Hauts-de-France;Données définitives;01/01/2019;04:00;5155
Hauts-de-France;Données définitives;01/01/2019;04:30;5111
Hauts-de-France;Données définitives;01/01/2019;05:00;5034
Hauts-de-France;Données définitives;01/01/2019;05:30;5042
Hauts-de-France;Données définitives;01/01/2019;06:00;5030
Hauts-de-France;Données définitives;01/01/2019;06:30;5128
Hauts-de-France;Données définitives;01/01/2019;07:00;5138
Hauts-de-France;Données définitives;01/01/2019;07:30;5122
Hauts-de-France;Données définitives;01/01/2019;08:00;5160
Hauts-de-France;Données définitives;01/01/2019;08:30;5201
Hauts-de-France;Données définitives;01/01/2019;09:00;5151
Hauts-de-France;Données définitives;01/01/2019;09:30;5235
Hauts-de-France;Données définitives;01/01/2019;10:00;5233
Hauts-de-France;Données définitives;01/01/2019;10:30;5372
Hauts-de-France;Données définitives;01/01/2019;11:00;5494
Hauts-de-France;Données définitives;01/01/2019;11:30;5561
Hauts-de-France;Données définitives;01/01/2019;12:00;5743
Hauts-de-France;Données définitives;01/01/2019;12:30;5798
Hauts-de-France;Données définitives;01/01/2019;13:00;6005
Hauts-de-France;Données définitives;01/01/2019;13:30;5903
Hauts-de-France;Données définitives;01/01/2019;14:00;5763
Hauts-de-France;Données définitives;01/01/2019;14:30;5659
Hauts-de-France;Données définitives;01/01/2019;15:00;5569
Hauts-de-France;Données définitives;01/01/2019;15:30;5535
Hauts-de-France;Données définitives;01/01/2019;16:00;5501
Hauts-de-France;Données définitives;01/01/2019;16:30;5471
Hauts-de-France;Données définitives;01/01/2019;17:00;5650
Hauts-de-France;Données définitives;01/01/2019;17:30;5853
Hauts-de-France;Données définitives;01/01/2019;18:00;5922
Hauts-de-France;Données définitives;01/01/2019;18:30;6091
Hauts-de-France;Données définitives;01/01/2019;19:00;6156
Hauts-de-France;Données définitives;01/01/2019;19:30;6135
Hauts-de-France;Données définitives;01/01/2019;20:00;6182
Hauts-de-France;Données définitives;01/01/2019;20:30;6057
Hauts-de-France;Données définitives;01/01/2019;21:00;5958
Hauts-de-France;Données définitives;01/01/2019;21:30;5855
Hauts-de-France;Données définitives;01/01/2019;22:00;5844
Hauts-de-France;Données définitives;01/01/2019;22:30;5825
Hauts-de-France;Données définitives;01/01/2019;23:00;5871
Hauts-de-France;Données définitives;01/01/2019;23:30;5878
Hauts-de-France;Données définitives;02/01/2019;00:00;6119
Hauts-de-France;Données définitives;02/01/2019;00:30;5998
Hauts-de-France;Données définitives;02/01/2019;01:00;5791
Hauts-de-France;Données définitives;02/01/2019;01:30;5826
Hauts-de-France;Données définitives;02/01/2019;02:00;5630
Hauts-de-France;Données définitives;02/01/2019;02:30;5475
Hauts-de-France;Données définitives;02/01/2019;03:00;5408
Hauts-de-France;Données définitives;02/01/2019;03:30;5298
Hauts-de-France;Données définitives;02/01/2019;04:00;5274
Hauts-de-France;Données définitives;02/01/2019;04:30;5267
Hauts-de-France;Données définitives;02/01/2019;05:00;5331
Hauts-de-France;Données définitives;02/01/2019;05:30;5506
Hauts-de-France;Données définitives;02/01/2019;06:00;5677
