Date;Heures;Electricite;Gaz;Tmin;Tmax;Tmoy;Taux de Co2
01/01/2016;00:00;8885;2226;3.3;8.76;6.03;31
01/01/2016;00:30;8709;2227;3.3;8.76;6.03;31
01/01/2016;01:00;8343;2205;3.3;8.76;6.03;32
01/01/2016;01:30;8041;2212;3.3;8.76;6.03;32
01/01/2016;02:00;7758;2209;3.3;8.76;6.03;32
01/01/2016;02:30;7715;2231;3.3;8.76;6.03;33
01/01/2016;03:00;7474;2240;3.3;8.76;6.03;34
01/01/2016;03:30;7252;2195;3.3;8.76;6.03;35
01/01/2016;04:00;7174;2219;3.3;8.76;6.03;36
01/01/2016;04:30;7150;2221;3.3;8.76;6.03;35
01/01/2016;05:00;7137;2234;3.3;8.76;6.03;36
01/01/2016;05:30;7235;2200;3.3;8.76;6.03;35
01/01/2016;06:00;7233;2191;3.3;8.76;6.03;35
01/01/2016;06:30;7300;2207;3.3;8.76;6.03;35
01/01/2016;07:00;7348;2220;3.3;8.76;6.03;35
01/01/2016;07:30;7433;2221;3.3;8.76;6.03;35
01/01/2016;08:00;7452;2210;3.3;8.76;6.03;35
01/01/2016;08:30;7543;2218;3.3;8.76;6.03;37
01/01/2016;09:00;7479;2200;3.3;8.76;6.03;36
01/01/2016;09:30;7585;2217;3.3;8.76;6.03;34
01/01/2016;10:00;7746;2190;3.3;8.76;6.03;33
01/01/2016;10:30;8011;2207;3.3;8.76;6.03;32
01/01/2016;11:00;8197;2229;3.3;8.76;6.03;32
01/01/2016;11:30;8424;2232;3.3;8.76;6.03;32
01/01/2016;12:00;8578;2231;3.3;8.76;6.03;31
01/01/2016;12:30;8798;2230;3.3;8.76;6.03;31
01/01/2016;13:00;8856;2229;3.3;8.76;6.03;30
01/01/2016;13:30;8847;2222;3.3;8.76;6.03;30
01/01/2016;14:00;8652;2229;3.3;8.76;6.03;31
01/01/2016;14:30;8766;2234;3.3;8.76;6.03;31
01/01/2016;15:00;8608;2207;3.3;8.76;6.03;32
01/01/2016;15:30;8541;2208;3.3;8.76;6.03;32
01/01/2016;16:00;8474;2231;3.3;8.76;6.03;32
01/01/2016;16:30;8480;2232;3.3;8.76;6.03;32
01/01/2016;17:00;8640;2231;3.3;8.76;6.03;32
01/01/2016;17:30;8989;2244;3.3;8.76;6.03;31
01/01/2016;18:00;9201;2252;3.3;8.76;6.03;30
01/01/2016;18:30;9336;2252;3.3;8.76;6.03;29
01/01/2016;19:00;9499;2254;3.3;8.76;6.03;28
01/01/2016;19:30;9572;2262;3.3;8.76;6.03;28
01/01/2016;20:00;9535;2233;3.3;8.76;6.03;28
01/01/2016;20:30;9337;2245;3.3;8.76;6.03;29
01/01/2016;21:00;9162;2255;3.3;8.76;6.03;30
01/01/2016;21:30;8819;2255;3.3;8.76;6.03;30
01/01/2016;22:00;8625;2242;3.3;8.76;6.03;30
01/01/2016;22:30;8813;2241;3.3;8.76;6.03;30
01/01/2016;23:00;9327;2252;3.3;8.76;6.03;29
01/01/2016;23:30;9105;2251;3.3;8.76;6.03;31
02/01/2016;00:00;8843;2243;6.6;10.86;8.73;30
02/01/2016;00:30;8628;2231;6.6;10.86;8.73;31
02/01/2016;01:00;8036;2233;6.6;10.86;8.73;33
02/01/2016;01:30;7724;2239;6.6;10.86;8.73;34
02/01/2016;02:00;7333;2232;6.6;10.86;8.73;34
02/01/2016;02:30;7246;2221;6.6;10.86;8.73;34
02/01/2016;03:00;7051;2229;6.6;10.86;8.73;35
02/01/2016;03:30;6885;2233;6.6;10.86;8.73;35
02/01/2016;04:00;6751;2227;6.6;10.86;8.73;36
02/01/2016;04:30;6721;2226;6.6;10.86;8.73;36
02/01/2016;05:00;6743;2242;6.6;10.86;8.73;36
02/01/2016;05:30;6924;2253;6.6;10.86;8.73;36
02/01/2016;06:00;6928;2231;6.6;10.86;8.73;35
02/01/2016;06:30;7057;2234;6.6;10.86;8.73;34
02/01/2016;07:00;7138;2216;6.6;10.86;8.73;34
02/01/2016;07:30;7405;2254;6.6;10.86;8.73;34
02/01/2016;08:00;7553;2243;6.6;10.86;8.73;33
02/01/2016;08:30;7735;2198;6.6;10.86;8.73;32
02/01/2016;09:00;7780;2242;6.6;10.86;8.73;31
02/01/2016;09:30;8102;2256;6.6;10.86;8.73;30
02/01/2016;10:00;8350;2219;6.6;10.86;8.73;29
02/01/2016;10:30;8580;2247;6.6;10.86;8.73;29
02/01/2016;11:00;8716;2249;6.6;10.86;8.73;29
02/01/2016;11:30;8826;2175;6.6;10.86;8.73;28
02/01/2016;12:00;8977;2186;6.6;10.86;8.73;28
02/01/2016;12:30;9060;2190;6.6;10.86;8.73;28
02/01/2016;13:00;9083;2205;6.6;10.86;8.73;27
02/01/2016;13:30;9036;2202;6.6;10.86;8.73;28
02/01/2016;14:00;8883;2228;6.6;10.86;8.73;29
02/01/2016;14:30;9039;2246;6.6;10.86;8.73;28
02/01/2016;15:00;8887;2254;6.6;10.86;8.73;29
02/01/2016;15:30;8858;2255;6.6;10.86;8.73;29
02/01/2016;16:00;8827;2241;6.6;10.86;8.73;29
02/01/2016;16:30;8926;2287;6.6;10.86;8.73;29
02/01/2016;17:00;8975;2296;6.6;10.86;8.73;29
02/01/2016;17:30;9392;2404;6.6;10.86;8.73;28
02/01/2016;18:00;9542;2419;6.6;10.86;8.73;28
02/01/2016;18:30;9715;2431;6.6;10.86;8.73;27
02/01/2016;19:00;9876;2406;6.6;10.86;8.73;27
02/01/2016;19:30;9849;2419;6.6;10.86;8.73;27
02/01/2016;20:00;9819;2408;6.6;10.86;8.73;28
02/01/2016;20:30;9587;2407;6.6;10.86;8.73;28
02/01/2016;21:00;9326;2431;6.6;10.86;8.73;29
02/01/2016;21:30;9004;2424;6.6;10.86;8.73;29
02/01/2016;22:00;8739;2428;6.6;10.86;8.73;30
02/01/2016;22:30;8872;2387;6.6;10.86;8.73;30
02/01/2016;23:00;9509;2329;6.6;10.86;8.73;28
02/01/2016;23:30;9316;2372;6.6;10.86;8.73;29
03/01/2016;00:00;9020;2370;5.3;8.08;6.69;29
03/01/2016;00:30;8830;2415;5.3;8.08;6.69;31
03/01/2016;01:00;8264;2299;5.3;8.08;6.69;31
03/01/2016;01:30;7918;2276;5.3;8.08;6.69;32
03/01/2016;02:00;7639;2276;5.3;8.08;6.69;33
03/01/2016;02:30;7617;2288;5.3;8.08;6.69;34
03/01/2016;03:00;7211;2298;5.3;8.08;6.69;36
03/01/2016;03:30;7097;2293;5.3;8.08;6.69;37
03/01/2016;04:00;6903;2296;5.3;8.08;6.69;38
03/01/2016;04:30;6947;2293;5.3;8.08;6.69;37
03/01/2016;05:00;6981;2301;5.3;8.08;6.69;38
03/01/2016;05:30;7033;2277;5.3;8.08;6.69;39
03/01/2016;06:00;7103;2295;5.3;8.08;6.69;38
03/01/2016;06:30;7246;2273;5.3;8.08;6.69;37
03/01/2016;07:00;7176;2284;5.3;8.08;6.69;37
03/01/2016;07:30;7391;2287;5.3;8.08;6.69;36
03/01/2016;08:00;7528;2277;5.3;8.08;6.69;36
