Date;Région;TMin (°C);TMax (°C);TMoy (°C)
01/01/2016;Ile-de-France;3.3;8.76;6.03
02/01/2016;Ile-de-France;6.6;10.86;8.73
03/01/2016;Ile-de-France;5.3;8.08;6.69
04/01/2016;Ile-de-France;5.46;9.76;7.61
05/01/2016;Ile-de-France;5.12;9.0;7.06
06/01/2016;Ile-de-France;6.66;9.54;8.1
07/01/2016;Ile-de-France;6.14;11.72;8.93
08/01/2016;Ile-de-France;2.16;8.0;5.08
09/01/2016;Ile-de-France;3.14;11.28;7.21
10/01/2016;Ile-de-France;4.44;8.14;6.29
11/01/2016;Ile-de-France;3.64;8.8;6.22
12/01/2016;Ile-de-France;4.78;7.82;6.3
13/01/2016;Ile-de-France;2.76;6.7;4.73
14/01/2016;Ile-de-France;2.34;7.88;5.11
15/01/2016;Ile-de-France;0.86;5.52;3.19
16/01/2016;Ile-de-France;-1.3;5.48;2.09
17/01/2016;Ile-de-France;0.08;3.86;1.97
18/01/2016;Ile-de-France;-1.92;0.4;-0.76
19/01/2016;Ile-de-France;-3.2;0.58;-1.31
20/01/2016;Ile-de-France;-5.18;-0.66;-2.92
21/01/2016;Ile-de-France;-5.56;4.32;-0.62
22/01/2016;Ile-de-France;-1.82;7.34;2.76
23/01/2016;Ile-de-France;4.9;7.08;5.99
24/01/2016;Ile-de-France;4.82;10.88;7.85
25/01/2016;Ile-de-France;3.84;13.58;8.71
26/01/2016;Ile-de-France;6.1;11.6;8.85
27/01/2016;Ile-de-France;9.34;12.32;10.83
28/01/2016;Ile-de-France;5.94;9.24;7.59
29/01/2016;Ile-de-France;1.74;9.26;5.5
30/01/2016;Ile-de-France;6.62;9.4;8.01
31/01/2016;Ile-de-France;6.08;13.44;9.76
01/02/2016;Ile-de-France;10.8;12.62;11.71
02/02/2016;Ile-de-France;7.92;11.98;9.95
03/02/2016;Ile-de-France;4.66;8.3;6.48
04/02/2016;Ile-de-France;3.65;11.1;7.38
05/02/2016;Ile-de-France;9.25;10.95;10.1
06/02/2016;Ile-de-France;6.56;14.06;10.31
07/02/2016;Ile-de-France;6.62;11.48;9.05
08/02/2016;Ile-de-France;6.1;11.52;8.81
09/02/2016;Ile-de-France;3.9;12.42;8.16
10/02/2016;Ile-de-France;2.2;8.16;5.18
11/02/2016;Ile-de-France;2.42;8.64;5.53
12/02/2016;Ile-de-France;1.7;4.32;3.01
13/02/2016;Ile-de-France;3.0;9.16;6.08
14/02/2016;Ile-de-France;4.28;8.1;6.19
15/02/2016;Ile-de-France;2.3;7.08;4.69
16/02/2016;Ile-de-France;-0.98;5.9;2.46
17/02/2016;Ile-de-France;-3.94;4.42;0.24
18/02/2016;Ile-de-France;-2.44;4.0;0.78
19/02/2016;Ile-de-France;-0.56;9.32;4.38
20/02/2016;Ile-de-France;4.9;12.2;8.55
21/02/2016;Ile-de-France;9.98;12.52;11.25
22/02/2016;Ile-de-France;9.18;11.92;10.55
23/02/2016;Ile-de-France;4.44;9.44;6.94
24/02/2016;Ile-de-France;-0.48;6.96;3.24
25/02/2016;Ile-de-France;-0.4;7.46;3.53
26/02/2016;Ile-de-France;-1.84;6.92;2.54
27/02/2016;Ile-de-France;-0.24;7.76;3.76
28/02/2016;Ile-de-France;0.0;6.52;3.26
29/02/2016;Ile-de-France;-0.1;7.9;3.9
01/03/2016;Ile-de-France;-0.84;9.72;4.44
02/03/2016;Ile-de-France;1.3;10.64;5.97
03/03/2016;Ile-de-France;3.76;8.62;6.19
04/03/2016;Ile-de-France;3.42;8.46;5.94
05/03/2016;Ile-de-France;1.02;7.26;4.14
06/03/2016;Ile-de-France;1.46;8.08;4.77
07/03/2016;Ile-de-France;0.98;6.3;3.64
08/03/2016;Ile-de-France;0.38;8.92;4.65
09/03/2016;Ile-de-France;4.04;9.08;6.56
10/03/2016;Ile-de-France;3.66;9.22;6.44
11/03/2016;Ile-de-France;3.34;11.14;7.24
12/03/2016;Ile-de-France;1.08;11.48;6.28
13/03/2016;Ile-de-France;0.64;11.04;5.84
14/03/2016;Ile-de-France;2.04;8.88;5.46
15/03/2016;Ile-de-France;0.64;12.66;6.65
16/03/2016;Ile-de-France;2.82;7.74;5.28
17/03/2016;Ile-de-France;1.24;12.82;7.03
18/03/2016;Ile-de-France;0.74;11.14;5.94
19/03/2016;Ile-de-France;3.38;6.7;5.04
20/03/2016;Ile-de-France;4.4;6.7;5.55
21/03/2016;Ile-de-France;3.64;10.36;7.0
22/03/2016;Ile-de-France;4.7;12.82;8.76
23/03/2016;Ile-de-France;3.54;10.3;6.92
24/03/2016;Ile-de-France;5.8;10.94;8.37
25/03/2016;Ile-de-France;6.7;14.3;10.5
26/03/2016;Ile-de-France;5.32;15.22;10.27
27/03/2016;Ile-de-France;6.38;14.04;10.21
28/03/2016;Ile-de-France;6.94;14.44;10.69
29/03/2016;Ile-de-France;5.56;14.32;9.94
30/03/2016;Ile-de-France;7.2;9.86;8.53
31/03/2016;Ile-de-France;5.62;6.96;6.29
01/04/2016;Ile-de-France;3.6;12.0;7.8
02/04/2016;Ile-de-France;1.98;10.88;6.43
03/04/2016;Ile-de-France;9.28;20.66;14.97
04/04/2016;Ile-de-France;9.32;17.12;13.22
05/04/2016;Ile-de-France;8.78;16.22;12.5
06/04/2016;Ile-de-France;6.42;14.58;10.5
07/04/2016;Ile-de-France;4.8;11.7;8.25
08/04/2016;Ile-de-France;5.9;13.75;9.82
09/04/2016;Ile-de-France;3.6;13.8;8.7
10/04/2016;Ile-de-France;1.78;17.48;9.63
11/04/2016;Ile-de-France;9.48;14.94;12.21
