Date;Heures;Electricite;Gaz;Tmin;Tmoy;Tmax;Taux de Co2
01/01/2016;00:00;3582;2226;2.78;9.4;6.09;31
01/01/2016;00:30;3551;2227;2.78;9.4;6.09;31
01/01/2016;01:00;3456;2205;2.78;9.4;6.09;32
01/01/2016;01:30;3466;2212;2.78;9.4;6.09;32
01/01/2016;02:00;3461;2209;2.78;9.4;6.09;32
01/01/2016;02:30;3342;2231;2.78;9.4;6.09;33
01/01/2016;03:00;3229;2240;2.78;9.4;6.09;34
01/01/2016;03:30;3097;2195;2.78;9.4;6.09;35
01/01/2016;04:00;3044;2219;2.78;9.4;6.09;36
01/01/2016;04:30;2980;2221;2.78;9.4;6.09;35
01/01/2016;05:00;3005;2234;2.78;9.4;6.09;36
01/01/2016;05:30;3027;2200;2.78;9.4;6.09;35
01/01/2016;06:00;2971;2191;2.78;9.4;6.09;35
01/01/2016;06:30;3053;2207;2.78;9.4;6.09;35
01/01/2016;07:00;3048;2220;2.78;9.4;6.09;35
01/01/2016;07:30;3061;2221;2.78;9.4;6.09;35
01/01/2016;08:00;3021;2210;2.78;9.4;6.09;35
01/01/2016;08:30;3060;2218;2.78;9.4;6.09;37
01/01/2016;09:00;2978;2200;2.78;9.4;6.09;36
01/01/2016;09:30;2985;2217;2.78;9.4;6.09;34
01/01/2016;10:00;3026;2190;2.78;9.4;6.09;33
01/01/2016;10:30;3065;2207;2.78;9.4;6.09;32
01/01/2016;11:00;3100;2229;2.78;9.4;6.09;32
01/01/2016;11:30;3169;2232;2.78;9.4;6.09;32
01/01/2016;12:00;3242;2231;2.78;9.4;6.09;31
01/01/2016;12:30;3327;2230;2.78;9.4;6.09;31
01/01/2016;13:00;3355;2229;2.78;9.4;6.09;30
01/01/2016;13:30;3264;2222;2.78;9.4;6.09;30
01/01/2016;14:00;3186;2229;2.78;9.4;6.09;31
01/01/2016;14:30;3054;2234;2.78;9.4;6.09;31
01/01/2016;15:00;2994;2207;2.78;9.4;6.09;32
01/01/2016;15:30;2989;2208;2.78;9.4;6.09;32
01/01/2016;16:00;2905;2231;2.78;9.4;6.09;32
01/01/2016;16:30;2975;2232;2.78;9.4;6.09;32
