Date;Heures;Consommation;Tmin;Tmoy;Tmax
01/01/2016;00:00;3582;2.78;9.4;6.09
01/01/2016;00:30;3551;2.78;9.4;6.09
01/01/2016;01:00;3456;2.78;9.4;6.09
01/01/2016;01:30;3466;2.78;9.4;6.09
01/01/2016;02:00;3461;2.78;9.4;6.09
01/01/2016;02:30;3342;2.78;9.4;6.09
01/01/2016;03:00;3229;2.78;9.4;6.09
01/01/2016;03:30;3097;2.78;9.4;6.09
01/01/2016;04:00;3044;2.78;9.4;6.09
01/01/2016;04:30;2980;2.78;9.4;6.09
01/01/2016;05:00;3005;2.78;9.4;6.09
01/01/2016;05:30;3027;2.78;9.4;6.09
01/01/2016;06:00;2971;2.78;9.4;6.09
01/01/2016;06:30;3053;2.78;9.4;6.09
01/01/2016;07:00;3048;2.78;9.4;6.09
01/01/2016;07:30;3061;2.78;9.4;6.09
01/01/2016;08:00;3021;2.78;9.4;6.09
01/01/2016;08:30;3060;2.78;9.4;6.09
01/01/2016;09:00;2978;2.78;9.4;6.09
01/01/2016;09:30;2985;2.78;9.4;6.09
01/01/2016;10:00;3026;2.78;9.4;6.09
01/01/2016;10:30;3065;2.78;9.4;6.09
01/01/2016;11:00;3100;2.78;9.4;6.09
01/01/2016;11:30;3169;2.78;9.4;6.09
01/01/2016;12:00;3242;2.78;9.4;6.09
01/01/2016;12:30;3327;2.78;9.4;6.09
01/01/2016;13:00;3355;2.78;9.4;6.09
01/01/2016;13:30;3264;2.78;9.4;6.09
01/01/2016;14:00;3186;2.78;9.4;6.09
01/01/2016;14:30;3054;2.78;9.4;6.09
01/01/2016;15:00;2994;2.78;9.4;6.09
01/01/2016;15:30;2989;2.78;9.4;6.09
01/01/2016;16:00;2905;2.78;9.4;6.09
01/01/2016;16:30;2975;2.78;9.4;6.09
01/01/2016;17:00;3055;2.78;9.4;6.09
01/01/2016;17:30;3228;2.78;9.4;6.09
01/01/2016;18:00;3329;2.78;9.4;6.09
01/01/2016;18:30;3387;2.78;9.4;6.09
01/01/2016;19:00;3462;2.78;9.4;6.09
01/01/2016;19:30;3493;2.78;9.4;6.09
01/01/2016;20:00;3458;2.78;9.4;6.09
01/01/2016;20:30;3409;2.78;9.4;6.09
01/01/2016;21:00;3356;2.78;9.4;6.09
01/01/2016;21:30;3455;2.78;9.4;6.09
01/01/2016;22:00;3486;2.78;9.4;6.09
