Périmètre;Nature;Date;Heures;Consommation
Normandie;Données définitives;01/01/2020;00:00;4275
Normandie;Données définitives;01/01/2020;00:30;4196
Normandie;Données définitives;01/01/2020;01:00;4054
Normandie;Données définitives;01/01/2020;01:30;4117
Normandie;Données définitives;01/01/2020;02:00;4110
Normandie;Données définitives;01/01/2020;02:30;3974
Normandie;Données définitives;01/01/2020;03:00;3858
Normandie;Données définitives;01/01/2020;03:30;3759
Normandie;Données définitives;01/01/2020;04:00;3678
Normandie;Données définitives;01/01/2020;04:30;3646
Normandie;Données définitives;01/01/2020;05:00;3612
Normandie;Données définitives;01/01/2020;05:30;3632
Normandie;Données définitives;01/01/2020;06:00;3616
Normandie;Données définitives;01/01/2020;06:30;3653
Normandie;Données définitives;01/01/2020;07:00;3646
Normandie;Données définitives;01/01/2020;07:30;3658
Normandie;Données définitives;01/01/2020;08:00;3654
Normandie;Données définitives;01/01/2020;08:30;3649
Normandie;Données définitives;01/01/2020;09:00;3615
Normandie;Données définitives;01/01/2020;09:30;3621
Normandie;Données définitives;01/01/2020;10:00;3658
Normandie;Données définitives;01/01/2020;10:30;3702
Normandie;Données définitives;01/01/2020;11:00;3737
Normandie;Données définitives;01/01/2020;11:30;3789
Normandie;Données définitives;01/01/2020;12:00;3850
Normandie;Données définitives;01/01/2020;12:30;3949
Normandie;Données définitives;01/01/2020;13:00;3991
Normandie;Données définitives;01/01/2020;13:30;3880
Normandie;Données définitives;01/01/2020;14:00;3785
Normandie;Données définitives;01/01/2020;14:30;3678
Normandie;Données définitives;01/01/2020;15:00;3601
Normandie;Données définitives;01/01/2020;15:30;3538
Normandie;Données définitives;01/01/2020;16:00;3476
Normandie;Données définitives;01/01/2020;16:30;3515
Normandie;Données définitives;01/01/2020;17:00;3550
Normandie;Données définitives;01/01/2020;17:30;3692
Normandie;Données définitives;01/01/2020;18:00;3791
Normandie;Données définitives;01/01/2020;18:30;3888
Normandie;Données définitives;01/01/2020;19:00;3940
Normandie;Données définitives;01/01/2020;19:30;3955
Normandie;Données définitives;01/01/2020;20:00;3905
Normandie;Données définitives;01/01/2020;20:30;3862
Normandie;Données définitives;01/01/2020;21:00;3809
Normandie;Données définitives;01/01/2020;21:30;3881
Normandie;Données définitives;01/01/2020;22:00;3834
Normandie;Données définitives;01/01/2020;22:30;3946
Normandie;Données définitives;01/01/2020;23:00;4017
Normandie;Données définitives;01/01/2020;23:30;3847
Normandie;Données définitives;02/01/2020;00:00;3834
Normandie;Données définitives;02/01/2020;00:30;3728
Normandie;Données définitives;02/01/2020;01:00;3598
Normandie;Données définitives;02/01/2020;01:30;3588
Normandie;Données définitives;02/01/2020;02:00;3564
Normandie;Données définitives;02/01/2020;02:30;3446
Normandie;Données définitives;02/01/2020;03:00;3360
Normandie;Données définitives;02/01/2020;03:30;3307
Normandie;Données définitives;02/01/2020;04:00;3270
Normandie;Données définitives;02/01/2020;04:30;3263
Normandie;Données définitives;02/01/2020;05:00;3278
Normandie;Données définitives;02/01/2020;05:30;3377
Normandie;Données définitives;02/01/2020;06:00;3464
Normandie;Données définitives;02/01/2020;06:30;3580
Normandie;Données définitives;02/01/2020;07:00;3670
Normandie;Données définitives;02/01/2020;07:30;3781
Normandie;Données définitives;02/01/2020;08:00;3853
Normandie;Données définitives;02/01/2020;08:30;3947
Normandie;Données définitives;02/01/2020;09:00;3958
Normandie;Données définitives;02/01/2020;09:30;3983
Normandie;Données définitives;02/01/2020;10:00;4001
Normandie;Données définitives;02/01/2020;10:30;4035
Normandie;Données définitives;02/01/2020;11:00;4056
Normandie;Données définitives;02/01/2020;11:30;4097
Normandie;Données définitives;02/01/2020;12:00;4149
Normandie;Données définitives;02/01/2020;12:30;4192
Normandie;Données définitives;02/01/2020;13:00;4195
Normandie;Données définitives;02/01/2020;13:30;4069
Normandie;Données définitives;02/01/2020;14:00;3999
Normandie;Données définitives;02/01/2020;14:30;3951
Normandie;Données définitives;02/01/2020;15:00;3892
Normandie;Données définitives;02/01/2020;15:30;3847
Normandie;Données définitives;02/01/2020;16:00;3828
Normandie;Données définitives;02/01/2020;16:30;3842
Normandie;Données définitives;02/01/2020;17:00;3835
Normandie;Données définitives;02/01/2020;17:30;3947
Normandie;Données définitives;02/01/2020;18:00;4046
Normandie;Données définitives;02/01/2020;18:30;4131
Normandie;Données définitives;02/01/2020;19:00;4175
Normandie;Données définitives;02/01/2020;19:30;4153
Normandie;Données définitives;02/01/2020;20:00;4050
Normandie;Données définitives;02/01/2020;20:30;3925
Normandie;Données définitives;02/01/2020;21:00;3831
Normandie;Données définitives;02/01/2020;21:30;3878
Normandie;Données définitives;02/01/2020;22:00;3837
Normandie;Données définitives;02/01/2020;22:30;3966
Normandie;Données définitives;02/01/2020;23:00;4044
Normandie;Données définitives;02/01/2020;23:30;3880
Normandie;Données définitives;03/01/2020;00:00;3870
Normandie;Données définitives;03/01/2020;00:30;3738
Normandie;Données définitives;03/01/2020;01:00;3573
Normandie;Données définitives;03/01/2020;01:30;3596
