Date;Heures;Consommation;Tmin;Tmoy;Tmax;Gaz;Taux de Co2
01/01/2016;00:00;5570;3.32;13.58;8.45;2226;31
01/01/2016;00:30;5663;3.32;13.58;8.45;2227;31
01/01/2016;01:00;5595;3.32;13.58;8.45;2205;32
01/01/2016;01:30;5636;3.32;13.58;8.45;2212;32
01/01/2016;02:00;5492;3.32;13.58;8.45;2209;32
01/01/2016;02:30;5547;3.32;13.58;8.45;2231;33
01/01/2016;03:00;5249;3.32;13.58;8.45;2240;34
01/01/2016;03:30;5082;3.32;13.58;8.45;2195;35
01/01/2016;04:00;4832;3.32;13.58;8.45;2219;36
01/01/2016;04:30;4775;3.32;13.58;8.45;2221;35
01/01/2016;05:00;4730;3.32;13.58;8.45;2234;36
01/01/2016;05:30;4741;3.32;13.58;8.45;2200;35
01/01/2016;06:00;4778;3.32;13.58;8.45;2191;35
01/01/2016;06:30;4838;3.32;13.58;8.45;2207;35
01/01/2016;07:00;4843;3.32;13.58;8.45;2220;35
01/01/2016;07:30;4843;3.32;13.58;8.45;2221;35
01/01/2016;08:00;4918;3.32;13.58;8.45;2210;35
01/01/2016;08:30;4821;3.32;13.58;8.45;2218;37
01/01/2016;09:00;4797;3.32;13.58;8.45;2200;36
01/01/2016;09:30;4751;3.32;13.58;8.45;2217;34
01/01/2016;10:00;4798;3.32;13.58;8.45;2190;33
01/01/2016;10:30;4961;3.32;13.58;8.45;2207;32
01/01/2016;11:00;4960;3.32;13.58;8.45;2229;32
01/01/2016;11:30;4998;3.32;13.58;8.45;2232;32
01/01/2016;12:00;5020;3.32;13.58;8.45;2231;31
01/01/2016;12:30;5065;3.32;13.58;8.45;2230;31
01/01/2016;13:00;5279;3.32;13.58;8.45;2229;30
01/01/2016;13:30;5075;3.32;13.58;8.45;2222;30
01/01/2016;14:00;5044;3.32;13.58;8.45;2229;31
01/01/2016;14:30;4956;3.32;13.58;8.45;2234;31
01/01/2016;15:00;4602;3.32;13.58;8.45;2207;32
01/01/2016;15:30;4650;3.32;13.58;8.45;2208;32
01/01/2016;16:00;4464;3.32;13.58;8.45;2231;32
01/01/2016;16:30;4436;3.32;13.58;8.45;2232;32
01/01/2016;17:00;4562;3.32;13.58;8.45;2231;32
01/01/2016;17:30;4680;3.32;13.58;8.45;2244;31
01/01/2016;18:00;4934;3.32;13.58;8.45;2252;30
01/01/2016;18:30;5094;3.32;13.58;8.45;2252;29
01/01/2016;19:00;5219;3.32;13.58;8.45;2254;28
01/01/2016;19:30;5165;3.32;13.58;8.45;2262;28
01/01/2016;20:00;5161;3.32;13.58;8.45;2233;28
01/01/2016;20:30;5126;3.32;13.58;8.45;2245;29
01/01/2016;21:00;4941;3.32;13.58;8.45;2255;30
01/01/2016;21:30;4778;3.32;13.58;8.45;2255;30
01/01/2016;22:00;4727;3.32;13.58;8.45;2242;30
01/01/2016;22:30;4780;3.32;13.58;8.45;2241;30
01/01/2016;23:00;5156;3.32;13.58;8.45;2252;29
01/01/2016;23:30;4959;3.32;13.58;8.45;2251;31
02/01/2016;00:00;4892;7.63;11.82;9.73;2243;30
02/01/2016;00:30;4966;7.63;11.82;9.73;2231;31
02/01/2016;01:00;4768;7.63;11.82;9.73;2233;33
02/01/2016;01:30;4967;7.63;11.82;9.73;2239;34
02/01/2016;02:00;4767;7.63;11.82;9.73;2232;34
02/01/2016;02:30;4625;7.63;11.82;9.73;2221;34
02/01/2016;03:00;4409;7.63;11.82;9.73;2229;35
02/01/2016;03:30;4388;7.63;11.82;9.73;2233;35
02/01/2016;04:00;4216;7.63;11.82;9.73;2227;36
02/01/2016;04:30;4099;7.63;11.82;9.73;2226;36
02/01/2016;05:00;4144;7.63;11.82;9.73;2242;36
02/01/2016;05:30;4198;7.63;11.82;9.73;2253;36
02/01/2016;06:00;4269;7.63;11.82;9.73;2231;35
02/01/2016;06:30;4478;7.63;11.82;9.73;2234;34
02/01/2016;07:00;4475;7.63;11.82;9.73;2216;34
02/01/2016;07:30;4621;7.63;11.82;9.73;2254;34
02/01/2016;08:00;4714;7.63;11.82;9.73;2243;33
02/01/2016;08:30;4739;7.63;11.82;9.73;2198;32
02/01/2016;09:00;4779;7.63;11.82;9.73;2242;31
02/01/2016;09:30;5065;7.63;11.82;9.73;2256;30
02/01/2016;10:00;5061;7.63;11.82;9.73;2219;29
02/01/2016;10:30;5245;7.63;11.82;9.73;2247;29
02/01/2016;11:00;5268;7.63;11.82;9.73;2249;29
02/01/2016;11:30;5308;7.63;11.82;9.73;2175;28
02/01/2016;12:00;5396;7.63;11.82;9.73;2186;28
02/01/2016;12:30;5333;7.63;11.82;9.73;2190;28
02/01/2016;13:00;5652;7.63;11.82;9.73;2205;27
02/01/2016;13:30;5545;7.63;11.82;9.73;2202;28
02/01/2016;14:00;5468;7.63;11.82;9.73;2228;29
02/01/2016;14:30;5437;7.63;11.82;9.73;2246;28
02/01/2016;15:00;5064;7.63;11.82;9.73;2254;29
02/01/2016;15:30;5071;7.63;11.82;9.73;2255;29
