Date;Heures;Consommation;Tmin;Tmoy;Tmax
01/01/2016;00:00;5570;3.32;13.58;8.45
01/01/2016;00:30;5663;3.32;13.58;8.45
01/01/2016;01:00;5595;3.32;13.58;8.45
01/01/2016;01:30;5636;3.32;13.58;8.45
01/01/2016;02:00;5492;3.32;13.58;8.45
01/01/2016;02:30;5547;3.32;13.58;8.45
01/01/2016;03:00;5249;3.32;13.58;8.45
01/01/2016;03:30;5082;3.32;13.58;8.45
01/01/2016;04:00;4832;3.32;13.58;8.45
01/01/2016;04:30;4775;3.32;13.58;8.45
01/01/2016;05:00;4730;3.32;13.58;8.45
01/01/2016;05:30;4741;3.32;13.58;8.45
01/01/2016;06:00;4778;3.32;13.58;8.45
01/01/2016;06:30;4838;3.32;13.58;8.45
01/01/2016;07:00;4843;3.32;13.58;8.45
01/01/2016;07:30;4843;3.32;13.58;8.45
01/01/2016;08:00;4918;3.32;13.58;8.45
01/01/2016;08:30;4821;3.32;13.58;8.45
01/01/2016;09:00;4797;3.32;13.58;8.45
01/01/2016;09:30;4751;3.32;13.58;8.45
01/01/2016;10:00;4798;3.32;13.58;8.45
01/01/2016;10:30;4961;3.32;13.58;8.45
01/01/2016;11:00;4960;3.32;13.58;8.45
01/01/2016;11:30;4998;3.32;13.58;8.45
01/01/2016;12:00;5020;3.32;13.58;8.45
01/01/2016;12:30;5065;3.32;13.58;8.45
01/01/2016;13:00;5279;3.32;13.58;8.45
01/01/2016;13:30;5075;3.32;13.58;8.45
01/01/2016;14:00;5044;3.32;13.58;8.45
01/01/2016;14:30;4956;3.32;13.58;8.45
01/01/2016;15:00;4602;3.32;13.58;8.45
01/01/2016;15:30;4650;3.32;13.58;8.45
01/01/2016;16:00;4464;3.32;13.58;8.45
01/01/2016;16:30;4436;3.32;13.58;8.45
01/01/2016;17:00;4562;3.32;13.58;8.45
01/01/2016;17:30;4680;3.32;13.58;8.45
01/01/2016;18:00;4934;3.32;13.58;8.45
01/01/2016;18:30;5094;3.32;13.58;8.45
01/01/2016;19:00;5219;3.32;13.58;8.45
01/01/2016;19:30;5165;3.32;13.58;8.45
01/01/2016;20:00;5161;3.32;13.58;8.45
01/01/2016;20:30;5126;3.32;13.58;8.45
01/01/2016;21:00;4941;3.32;13.58;8.45
01/01/2016;21:30;4778;3.32;13.58;8.45
01/01/2016;22:00;4727;3.32;13.58;8.45
01/01/2016;22:30;4780;3.32;13.58;8.45
01/01/2016;23:00;5156;3.32;13.58;8.45
01/01/2016;23:30;4959;3.32;13.58;8.45
02/01/2016;00:00;4892;7.63;11.82;9.73
02/01/2016;00:30;4966;7.63;11.82;9.73
02/01/2016;01:00;4768;7.63;11.82;9.73
02/01/2016;01:30;4967;7.63;11.82;9.73
02/01/2016;02:00;4767;7.63;11.82;9.73
02/01/2016;02:30;4625;7.63;11.82;9.73
02/01/2016;03:00;4409;7.63;11.82;9.73
02/01/2016;03:30;4388;7.63;11.82;9.73
02/01/2016;04:00;4216;7.63;11.82;9.73
02/01/2016;04:30;4099;7.63;11.82;9.73
02/01/2016;05:00;4144;7.63;11.82;9.73
02/01/2016;05:30;4198;7.63;11.82;9.73
02/01/2016;06:00;4269;7.63;11.82;9.73
02/01/2016;06:30;4478;7.63;11.82;9.73
02/01/2016;07:00;4475;7.63;11.82;9.73
02/01/2016;07:30;4621;7.63;11.82;9.73
02/01/2016;08:00;4714;7.63;11.82;9.73
02/01/2016;08:30;4739;7.63;11.82;9.73
02/01/2016;09:00;4779;7.63;11.82;9.73
02/01/2016;09:30;5065;7.63;11.82;9.73
02/01/2016;10:00;5061;7.63;11.82;9.73
02/01/2016;10:30;5245;7.63;11.82;9.73
02/01/2016;11:00;5268;7.63;11.82;9.73
02/01/2016;11:30;5308;7.63;11.82;9.73
02/01/2016;12:00;5396;7.63;11.82;9.73
02/01/2016;12:30;5333;7.63;11.82;9.73
02/01/2016;13:00;5652;7.63;11.82;9.73
02/01/2016;13:30;5545;7.63;11.82;9.73
02/01/2016;14:00;5468;7.63;11.82;9.73
02/01/2016;14:30;5437;7.63;11.82;9.73
02/01/2016;15:00;5064;7.63;11.82;9.73
02/01/2016;15:30;5071;7.63;11.82;9.73
02/01/2016;16:00;4934;7.63;11.82;9.73
02/01/2016;16:30;4904;7.63;11.82;9.73
02/01/2016;17:00;4880;7.63;11.82;9.73
02/01/2016;17:30;5054;7.63;11.82;9.73
02/01/2016;18:00;5424;7.63;11.82;9.73
02/01/2016;18:30;5670;7.63;11.82;9.73
02/01/2016;19:00;5736;7.63;11.82;9.73
02/01/2016;19:30;5702;7.63;11.82;9.73
02/01/2016;20:00;5687;7.63;11.82;9.73
02/01/2016;20:30;5609;7.63;11.82;9.73
02/01/2016;21:00;5448;7.63;11.82;9.73
02/01/2016;21:30;5286;7.63;11.82;9.73
02/01/2016;22:00;5185;7.63;11.82;9.73
02/01/2016;22:30;5246;7.63;11.82;9.73
02/01/2016;23:00;5552;7.63;11.82;9.73
02/01/2016;23:30;5520;7.63;11.82;9.73
03/01/2016;00:00;5431;5.44;11.67;8.56
03/01/2016;00:30;5458;5.44;11.67;8.56
03/01/2016;01:00;5170;5.44;11.67;8.56
03/01/2016;01:30;5448;5.44;11.67;8.56
03/01/2016;02:00;5207;5.44;11.67;8.56
03/01/2016;02:30;5115;5.44;11.67;8.56
03/01/2016;03:00;4887;5.44;11.67;8.56
03/01/2016;03:30;4658;5.44;11.67;8.56
03/01/2016;04:00;4604;5.44;11.67;8.56
03/01/2016;04:30;4402;5.44;11.67;8.56
03/01/2016;05:00;4394;5.44;11.67;8.56
03/01/2016;05:30;4414;5.44;11.67;8.56
03/01/2016;06:00;4396;5.44;11.67;8.56
03/01/2016;06:30;4527;5.44;11.67;8.56
03/01/2016;07:00;4659;5.44;11.67;8.56
03/01/2016;07:30;4668;5.44;11.67;8.56
