Périmètre;Nature;Date;Heures;Consommation
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:00;6877
Nouvelle-Aquitaine;Données définitives;01/01/2017;00:30;7019
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:00;6801
Nouvelle-Aquitaine;Données définitives;01/01/2017;01:30;7028
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:00;6819
Nouvelle-Aquitaine;Données définitives;01/01/2017;02:30;6806
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:00;6629
Nouvelle-Aquitaine;Données définitives;01/01/2017;03:30;6357
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:00;6117
Nouvelle-Aquitaine;Données définitives;01/01/2017;04:30;6034
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:00;5962
Nouvelle-Aquitaine;Données définitives;01/01/2017;05:30;6002
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:00;5970
Nouvelle-Aquitaine;Données définitives;01/01/2017;06:30;6053
Nouvelle-Aquitaine;Données définitives;01/01/2017;07:00;6029
Nouvelle-Aquitaine;Données définitives;01/01/2017;07:30;6019
Nouvelle-Aquitaine;Données définitives;01/01/2017;08:00;6097
Nouvelle-Aquitaine;Données définitives;01/01/2017;08:30;6100
Nouvelle-Aquitaine;Données définitives;01/01/2017;09:00;6086
Nouvelle-Aquitaine;Données définitives;01/01/2017;09:30;6171
Nouvelle-Aquitaine;Données définitives;01/01/2017;10:00;6301
Nouvelle-Aquitaine;Données définitives;01/01/2017;10:30;6361
Nouvelle-Aquitaine;Données définitives;01/01/2017;11:00;6479
Nouvelle-Aquitaine;Données définitives;01/01/2017;11:30;6478
Nouvelle-Aquitaine;Données définitives;01/01/2017;12:00;6507
Nouvelle-Aquitaine;Données définitives;01/01/2017;12:30;6552
Nouvelle-Aquitaine;Données définitives;01/01/2017;13:00;6705
Nouvelle-Aquitaine;Données définitives;01/01/2017;13:30;6572
Nouvelle-Aquitaine;Données définitives;01/01/2017;14:00;6573
Nouvelle-Aquitaine;Données définitives;01/01/2017;14:30;6445
Nouvelle-Aquitaine;Données définitives;01/01/2017;15:00;6241
Nouvelle-Aquitaine;Données définitives;01/01/2017;15:30;6200
Nouvelle-Aquitaine;Données définitives;01/01/2017;16:00;6085
Nouvelle-Aquitaine;Données définitives;01/01/2017;16:30;5982
Nouvelle-Aquitaine;Données définitives;01/01/2017;17:00;5986
Nouvelle-Aquitaine;Données définitives;01/01/2017;17:30;6089
Nouvelle-Aquitaine;Données définitives;01/01/2017;18:00;6410
Nouvelle-Aquitaine;Données définitives;01/01/2017;18:30;6663
Nouvelle-Aquitaine;Données définitives;01/01/2017;19:00;6750
Nouvelle-Aquitaine;Données définitives;01/01/2017;19:30;6825
Nouvelle-Aquitaine;Données définitives;01/01/2017;20:00;6779
Nouvelle-Aquitaine;Données définitives;01/01/2017;20:30;6687
Nouvelle-Aquitaine;Données définitives;01/01/2017;21:00;6568
Nouvelle-Aquitaine;Données définitives;01/01/2017;21:30;6437
Nouvelle-Aquitaine;Données définitives;01/01/2017;22:00;6347
Nouvelle-Aquitaine;Données définitives;01/01/2017;22:30;6399
Nouvelle-Aquitaine;Données définitives;01/01/2017;23:00;6738
Nouvelle-Aquitaine;Données définitives;01/01/2017;23:30;6449
Nouvelle-Aquitaine;Données définitives;02/01/2017;00:00;6467
Nouvelle-Aquitaine;Données définitives;02/01/2017;00:30;6476
Nouvelle-Aquitaine;Données définitives;02/01/2017;01:00;6249
Nouvelle-Aquitaine;Données définitives;02/01/2017;01:30;6438
Nouvelle-Aquitaine;Données définitives;02/01/2017;02:00;6221
Nouvelle-Aquitaine;Données définitives;02/01/2017;02:30;6315
Nouvelle-Aquitaine;Données définitives;02/01/2017;03:00;6115
Nouvelle-Aquitaine;Données définitives;02/01/2017;03:30;5905
Nouvelle-Aquitaine;Données définitives;02/01/2017;04:00;5820
Nouvelle-Aquitaine;Données définitives;02/01/2017;04:30;5812
Nouvelle-Aquitaine;Données définitives;02/01/2017;05:00;5849
Nouvelle-Aquitaine;Données définitives;02/01/2017;05:30;6041
Nouvelle-Aquitaine;Données définitives;02/01/2017;06:00;6162
Nouvelle-Aquitaine;Données définitives;02/01/2017;06:30;6451
Nouvelle-Aquitaine;Données définitives;02/01/2017;07:00;6616
Nouvelle-Aquitaine;Données définitives;02/01/2017;07:30;6789
Nouvelle-Aquitaine;Données définitives;02/01/2017;08:00;7038
Nouvelle-Aquitaine;Données définitives;02/01/2017;08:30;7100
Nouvelle-Aquitaine;Données définitives;02/01/2017;09:00;7194
Nouvelle-Aquitaine;Données définitives;02/01/2017;09:30;7312
Nouvelle-Aquitaine;Données définitives;02/01/2017;10:00;7370
Nouvelle-Aquitaine;Données définitives;02/01/2017;10:30;7402
Nouvelle-Aquitaine;Données définitives;02/01/2017;11:00;7532
Nouvelle-Aquitaine;Données définitives;02/01/2017;11:30;7556
Nouvelle-Aquitaine;Données définitives;02/01/2017;12:00;7636
Nouvelle-Aquitaine;Données définitives;02/01/2017;12:30;7634
Nouvelle-Aquitaine;Données définitives;02/01/2017;13:00;7756
Nouvelle-Aquitaine;Données définitives;02/01/2017;13:30;7513
Nouvelle-Aquitaine;Données définitives;02/01/2017;14:00;7500
Nouvelle-Aquitaine;Données définitives;02/01/2017;14:30;7462
Nouvelle-Aquitaine;Données définitives;02/01/2017;15:00;7263
Nouvelle-Aquitaine;Données définitives;02/01/2017;15:30;7153
Nouvelle-Aquitaine;Données définitives;02/01/2017;16:00;7054
Nouvelle-Aquitaine;Données définitives;02/01/2017;16:30;6985
Nouvelle-Aquitaine;Données définitives;02/01/2017;17:00;6912
Nouvelle-Aquitaine;Données définitives;02/01/2017;17:30;7049
Nouvelle-Aquitaine;Données définitives;02/01/2017;18:00;7452
Nouvelle-Aquitaine;Données définitives;02/01/2017;18:30;7658
Nouvelle-Aquitaine;Données définitives;02/01/2017;19:00;7827
Nouvelle-Aquitaine;Données définitives;02/01/2017;19:30;7789
Nouvelle-Aquitaine;Données définitives;02/01/2017;20:00;7578
Nouvelle-Aquitaine;Données définitives;02/01/2017;20:30;7316
Nouvelle-Aquitaine;Données définitives;02/01/2017;21:00;7177
Nouvelle-Aquitaine;Données définitives;02/01/2017;21:30;7010
Nouvelle-Aquitaine;Données définitives;02/01/2017;22:00;6878
Nouvelle-Aquitaine;Données définitives;02/01/2017;22:30;6914
Nouvelle-Aquitaine;Données définitives;02/01/2017;23:00;7275
Nouvelle-Aquitaine;Données définitives;02/01/2017;23:30;6980
Nouvelle-Aquitaine;Données définitives;03/01/2017;00:00;6989
Nouvelle-Aquitaine;Données définitives;03/01/2017;00:30;6981
Nouvelle-Aquitaine;Données définitives;03/01/2017;01:00;6782
Nouvelle-Aquitaine;Données définitives;03/01/2017;01:30;6967
Nouvelle-Aquitaine;Données définitives;03/01/2017;02:00;6759
Nouvelle-Aquitaine;Données définitives;03/01/2017;02:30;6826
Nouvelle-Aquitaine;Données définitives;03/01/2017;03:00;6595
Nouvelle-Aquitaine;Données définitives;03/01/2017;03:30;6480
Nouvelle-Aquitaine;Données définitives;03/01/2017;04:00;6370
Nouvelle-Aquitaine;Données définitives;03/01/2017;04:30;6313
Nouvelle-Aquitaine;Données définitives;03/01/2017;05:00;6326
Nouvelle-Aquitaine;Données définitives;03/01/2017;05:30;6466
Nouvelle-Aquitaine;Données définitives;03/01/2017;06:00;6645
Nouvelle-Aquitaine;Données définitives;03/01/2017;06:30;7120
Nouvelle-Aquitaine;Données définitives;03/01/2017;07:00;7358
Nouvelle-Aquitaine;Données définitives;03/01/2017;07:30;7676
Nouvelle-Aquitaine;Données définitives;03/01/2017;08:00;7944
Nouvelle-Aquitaine;Données définitives;03/01/2017;08:30;8013
Nouvelle-Aquitaine;Données définitives;03/01/2017;09:00;8020
Nouvelle-Aquitaine;Données définitives;03/01/2017;09:30;8041
Nouvelle-Aquitaine;Données définitives;03/01/2017;10:00;8060
Nouvelle-Aquitaine;Données définitives;03/01/2017;10:30;8023
Nouvelle-Aquitaine;Données définitives;03/01/2017;11:00;7985
Nouvelle-Aquitaine;Données définitives;03/01/2017;11:30;7944
Nouvelle-Aquitaine;Données définitives;03/01/2017;12:00;7863
Nouvelle-Aquitaine;Données définitives;03/01/2017;12:30;7696
Nouvelle-Aquitaine;Données définitives;03/01/2017;13:00;7773
Nouvelle-Aquitaine;Données définitives;03/01/2017;13:30;7525
Nouvelle-Aquitaine;Données définitives;03/01/2017;14:00;7559
Nouvelle-Aquitaine;Données définitives;03/01/2017;14:30;7541
Nouvelle-Aquitaine;Données définitives;03/01/2017;15:00;7226
Nouvelle-Aquitaine;Données définitives;03/01/2017;15:30;7170
Nouvelle-Aquitaine;Données définitives;03/01/2017;16:00;7028
Nouvelle-Aquitaine;Données définitives;03/01/2017;16:30;7005
Nouvelle-Aquitaine;Données définitives;03/01/2017;17:00;7029
Nouvelle-Aquitaine;Données définitives;03/01/2017;17:30;7211
Nouvelle-Aquitaine;Données définitives;03/01/2017;18:00;7720
Nouvelle-Aquitaine;Données définitives;03/01/2017;18:30;7990
Nouvelle-Aquitaine;Données définitives;03/01/2017;19:00;8231
Nouvelle-Aquitaine;Données définitives;03/01/2017;19:30;8163
Nouvelle-Aquitaine;Données définitives;03/01/2017;20:00;7974
Nouvelle-Aquitaine;Données définitives;03/01/2017;20:30;7722
Nouvelle-Aquitaine;Données définitives;03/01/2017;21:00;7489
Nouvelle-Aquitaine;Données définitives;03/01/2017;21:30;7275
Nouvelle-Aquitaine;Données définitives;03/01/2017;22:00;7142
Nouvelle-Aquitaine;Données définitives;03/01/2017;22:30;7182
Nouvelle-Aquitaine;Données définitives;03/01/2017;23:00;7570
Nouvelle-Aquitaine;Données définitives;03/01/2017;23:30;7299
Nouvelle-Aquitaine;Données définitives;04/01/2017;00:00;7391
Nouvelle-Aquitaine;Données définitives;04/01/2017;00:30;7356
Nouvelle-Aquitaine;Données définitives;04/01/2017;01:00;7128
Nouvelle-Aquitaine;Données définitives;04/01/2017;01:30;7486
Nouvelle-Aquitaine;Données définitives;04/01/2017;02:00;7314
Nouvelle-Aquitaine;Données définitives;04/01/2017;02:30;7363
Nouvelle-Aquitaine;Données définitives;04/01/2017;03:00;7228
Nouvelle-Aquitaine;Données définitives;04/01/2017;03:30;6990
Nouvelle-Aquitaine;Données définitives;04/01/2017;04:00;6894
Nouvelle-Aquitaine;Données définitives;04/01/2017;04:30;6899
Nouvelle-Aquitaine;Données définitives;04/01/2017;05:00;6933
Nouvelle-Aquitaine;Données définitives;04/01/2017;05:30;7157
Nouvelle-Aquitaine;Données définitives;04/01/2017;06:00;7330
Nouvelle-Aquitaine;Données définitives;04/01/2017;06:30;7680
Nouvelle-Aquitaine;Données définitives;04/01/2017;07:00;8028
Nouvelle-Aquitaine;Données définitives;04/01/2017;07:30;8300
Nouvelle-Aquitaine;Données définitives;04/01/2017;08:00;8596
Nouvelle-Aquitaine;Données définitives;04/01/2017;08:30;8686
Nouvelle-Aquitaine;Données définitives;04/01/2017;09:00;8710
Nouvelle-Aquitaine;Données définitives;04/01/2017;09:30;8717
Nouvelle-Aquitaine;Données définitives;04/01/2017;10:00;8777
Nouvelle-Aquitaine;Données définitives;04/01/2017;10:30;8766
Nouvelle-Aquitaine;Données définitives;04/01/2017;11:00;8756
Nouvelle-Aquitaine;Données définitives;04/01/2017;11:30;8725
Nouvelle-Aquitaine;Données définitives;04/01/2017;12:00;8681
Nouvelle-Aquitaine;Données définitives;04/01/2017;12:30;8555
Nouvelle-Aquitaine;Données définitives;04/01/2017;13:00;8642
Nouvelle-Aquitaine;Données définitives;04/01/2017;13:30;8396
Nouvelle-Aquitaine;Données définitives;04/01/2017;14:00;8467
Nouvelle-Aquitaine;Données définitives;04/01/2017;14:30;8366
Nouvelle-Aquitaine;Données définitives;04/01/2017;15:00;8042
Nouvelle-Aquitaine;Données définitives;04/01/2017;15:30;7939
Nouvelle-Aquitaine;Données définitives;04/01/2017;16:00;7798
Nouvelle-Aquitaine;Données définitives;04/01/2017;16:30;7726
Nouvelle-Aquitaine;Données définitives;04/01/2017;17:00;7719
Nouvelle-Aquitaine;Données définitives;04/01/2017;17:30;7834
Nouvelle-Aquitaine;Données définitives;04/01/2017;18:00;8283
Nouvelle-Aquitaine;Données définitives;04/01/2017;18:30;8522
Nouvelle-Aquitaine;Données définitives;04/01/2017;19:00;8664
Nouvelle-Aquitaine;Données définitives;04/01/2017;19:30;8529
Nouvelle-Aquitaine;Données définitives;04/01/2017;20:00;8316
Nouvelle-Aquitaine;Données définitives;04/01/2017;20:30;8017
Nouvelle-Aquitaine;Données définitives;04/01/2017;21:00;7767
Nouvelle-Aquitaine;Données définitives;04/01/2017;21:30;7610
Nouvelle-Aquitaine;Données définitives;04/01/2017;22:00;7437
Nouvelle-Aquitaine;Données définitives;04/01/2017;22:30;7421
Nouvelle-Aquitaine;Données définitives;04/01/2017;23:00;7811
Nouvelle-Aquitaine;Données définitives;04/01/2017;23:30;7592
Nouvelle-Aquitaine;Données définitives;05/01/2017;00:00;7537
Nouvelle-Aquitaine;Données définitives;05/01/2017;00:30;7583
Nouvelle-Aquitaine;Données définitives;05/01/2017;01:00;7398
Nouvelle-Aquitaine;Données définitives;05/01/2017;01:30;7504
Nouvelle-Aquitaine;Données définitives;05/01/2017;02:00;7334
Nouvelle-Aquitaine;Données définitives;05/01/2017;02:30;7339
Nouvelle-Aquitaine;Données définitives;05/01/2017;03:00;7159
Nouvelle-Aquitaine;Données définitives;05/01/2017;03:30;7003
