Date;Heures;Consommation;Gaz;Taux de Co2;Tmin;Tmoy;Tmax
01/01/2016;00:00;5228;2226;31;4.54;13.34;8.94
01/01/2016;00:30;4999;2227;31;4.54;13.34;8.94
01/01/2016;01:00;4649;2205;32;4.54;13.34;8.94
01/01/2016;01:30;4639;2212;32;4.54;13.34;8.94
01/01/2016;02:00;4587;2209;32;4.54;13.34;8.94
01/01/2016;02:30;4506;2231;33;4.54;13.34;8.94
01/01/2016;03:00;4332;2240;34;4.54;13.34;8.94
01/01/2016;03:30;4227;2195;35;4.54;13.34;8.94
01/01/2016;04:00;4153;2219;36;4.54;13.34;8.94
01/01/2016;04:30;4063;2221;35;4.54;13.34;8.94
01/01/2016;05:00;3945;2234;36;4.54;13.34;8.94
01/01/2016;05:30;3940;2200;35;4.54;13.34;8.94
01/01/2016;06:00;3993;2191;35;4.54;13.34;8.94
01/01/2016;06:30;4026;2207;35;4.54;13.34;8.94
01/01/2016;07:00;3963;2220;35;4.54;13.34;8.94
01/01/2016;07:30;3976;2221;35;4.54;13.34;8.94
01/01/2016;08:00;3962;2210;35;4.54;13.34;8.94
01/01/2016;08:30;3868;2218;37;4.54;13.34;8.94
01/01/2016;09:00;3947;2200;36;4.54;13.34;8.94
01/01/2016;09:30;4046;2217;34;4.54;13.34;8.94
01/01/2016;10:00;4179;2190;33;4.54;13.34;8.94
01/01/2016;10:30;4198;2207;32;4.54;13.34;8.94
01/01/2016;11:00;4330;2229;32;4.54;13.34;8.94
01/01/2016;11:30;4443;2232;32;4.54;13.34;8.94
01/01/2016;12:00;4493;2231;31;4.54;13.34;8.94
01/01/2016;12:30;4685;2230;31;4.54;13.34;8.94
01/01/2016;13:00;4756;2229;30;4.54;13.34;8.94
01/01/2016;13:30;4627;2222;30;4.54;13.34;8.94
01/01/2016;14:00;4493;2229;31;4.54;13.34;8.94
01/01/2016;14:30;4399;2234;31;4.54;13.34;8.94
01/01/2016;15:00;4194;2207;32;4.54;13.34;8.94
01/01/2016;15:30;4231;2208;32;4.54;13.34;8.94
01/01/2016;16:00;4193;2231;32;4.54;13.34;8.94
01/01/2016;16:30;4105;2232;32;4.54;13.34;8.94
01/01/2016;17:00;4082;2231;32;4.54;13.34;8.94
01/01/2016;17:30;4304;2244;31;4.54;13.34;8.94
01/01/2016;18:00;4637;2252;30;4.54;13.34;8.94
01/01/2016;18:30;4722;2252;29;4.54;13.34;8.94
01/01/2016;19:00;4880;2254;28;4.54;13.34;8.94
