Date;Heures;Consommation;Tmin;Tmoy;Tmax
01/01/2017;00:00;6337;-0.87;6.91;3.02
01/01/2017;00:30;6032;-0.87;6.91;3.02
01/01/2017;01:00;5887;-0.87;6.91;3.02
01/01/2017;01:30;5704;-0.87;6.91;3.02
01/01/2017;02:00;5668;-0.87;6.91;3.02
01/01/2017;02:30;5654;-0.87;6.91;3.02
01/01/2017;03:00;5428;-0.87;6.91;3.02
01/01/2017;03:30;5317;-0.87;6.91;3.02
01/01/2017;04:00;5273;-0.87;6.91;3.02
01/01/2017;04:30;5129;-0.87;6.91;3.02
01/01/2017;05:00;5034;-0.87;6.91;3.02
01/01/2017;05:30;5054;-0.87;6.91;3.02
01/01/2017;06:00;5031;-0.87;6.91;3.02
01/01/2017;06:30;5078;-0.87;6.91;3.02
01/01/2017;07:00;5074;-0.87;6.91;3.02
01/01/2017;07:30;5100;-0.87;6.91;3.02
01/01/2017;08:00;5108;-0.87;6.91;3.02
01/01/2017;08:30;5065;-0.87;6.91;3.02
01/01/2017;09:00;5177;-0.87;6.91;3.02
01/01/2017;09:30;5258;-0.87;6.91;3.02
01/01/2017;10:00;5354;-0.87;6.91;3.02
01/01/2017;10:30;5403;-0.87;6.91;3.02
01/01/2017;11:00;5429;-0.87;6.91;3.02
01/01/2017;11:30;5473;-0.87;6.91;3.02
01/01/2017;12:00;5533;-0.87;6.91;3.02
01/01/2017;12:30;5637;-0.87;6.91;3.02
01/01/2017;13:00;5772;-0.87;6.91;3.02
01/01/2017;13:30;5564;-0.87;6.91;3.02
01/01/2017;14:00;5434;-0.87;6.91;3.02
01/01/2017;14:30;5265;-0.87;6.91;3.02
01/01/2017;15:00;5093;-0.87;6.91;3.02
01/01/2017;15:30;5122;-0.87;6.91;3.02
01/01/2017;16:00;5004;-0.87;6.91;3.02
01/01/2017;16:30;5050;-0.87;6.91;3.02
01/01/2017;17:00;5108;-0.87;6.91;3.02
01/01/2017;17:30;5320;-0.87;6.91;3.02
01/01/2017;18:00;5759;-0.87;6.91;3.02
01/01/2017;18:30;5955;-0.87;6.91;3.02
01/01/2017;19:00;6102;-0.87;6.91;3.02
01/01/2017;19:30;6144;-0.87;6.91;3.02
01/01/2017;20:00;6103;-0.87;6.91;3.02
01/01/2017;20:30;6041;-0.87;6.91;3.02
01/01/2017;21:00;5958;-0.87;6.91;3.02
01/01/2017;21:30;5841;-0.87;6.91;3.02
01/01/2017;22:00;5677;-0.87;6.91;3.02
01/01/2017;22:30;5683;-0.87;6.91;3.02
01/01/2017;23:00;6216;-0.87;6.91;3.02
01/01/2017;23:30;5939;-0.87;6.91;3.02
02/01/2017;00:00;6085;-1.0;6.78;2.89
02/01/2017;00:30;5789;-1.0;6.78;2.89
02/01/2017;01:00;5531;-1.0;6.78;2.89
02/01/2017;01:30;5431;-1.0;6.78;2.89
02/01/2017;02:00;5396;-1.0;6.78;2.89
02/01/2017;02:30;5370;-1.0;6.78;2.89
02/01/2017;03:00;5268;-1.0;6.78;2.89
02/01/2017;03:30;5211;-1.0;6.78;2.89
02/01/2017;04:00;5138;-1.0;6.78;2.89
02/01/2017;04:30;5095;-1.0;6.78;2.89
02/01/2017;05:00;5085;-1.0;6.78;2.89
02/01/2017;05:30;5165;-1.0;6.78;2.89
02/01/2017;06:00;5267;-1.0;6.78;2.89
02/01/2017;06:30;5488;-1.0;6.78;2.89
02/01/2017;07:00;5617;-1.0;6.78;2.89
02/01/2017;07:30;5840;-1.0;6.78;2.89
02/01/2017;08:00;5911;-1.0;6.78;2.89
02/01/2017;08:30;5990;-1.0;6.78;2.89
02/01/2017;09:00;6116;-1.0;6.78;2.89
02/01/2017;09:30;6212;-1.0;6.78;2.89
02/01/2017;10:00;6404;-1.0;6.78;2.89
02/01/2017;10:30;6424;-1.0;6.78;2.89
02/01/2017;11:00;6346;-1.0;6.78;2.89
02/01/2017;11:30;6391;-1.0;6.78;2.89
02/01/2017;12:00;6440;-1.0;6.78;2.89
02/01/2017;12:30;6421;-1.0;6.78;2.89
02/01/2017;13:00;6505;-1.0;6.78;2.89
02/01/2017;13:30;6375;-1.0;6.78;2.89
02/01/2017;14:00;6345;-1.0;6.78;2.89
02/01/2017;14:30;6248;-1.0;6.78;2.89
