Date;Heures;Electricite;Gaz;Tmin;Tmax;Tmoy;Taux de Co2
01/01/2016;00:00;5858;2226;5.3;12.77;9.03;31
01/01/2016;00:30;5477;2227;5.3;12.77;9.03;31
01/01/2016;01:00;5278;2205;5.3;12.77;9.03;32
01/01/2016;01:30;5262;2212;5.3;12.77;9.03;32
01/01/2016;02:00;5154;2209;5.3;12.77;9.03;32
01/01/2016;02:30;5294;2231;5.3;12.77;9.03;33
01/01/2016;03:00;4983;2240;5.3;12.77;9.03;34
01/01/2016;03:30;4790;2195;5.3;12.77;9.03;35
01/01/2016;04:00;4634;2219;5.3;12.77;9.03;36
01/01/2016;04:30;4533;2221;5.3;12.77;9.03;35
01/01/2016;05:00;4450;2234;5.3;12.77;9.03;36
01/01/2016;05:30;4444;2200;5.3;12.77;9.03;35
01/01/2016;06:00;4396;2191;5.3;12.77;9.03;35
01/01/2016;06:30;4378;2207;5.3;12.77;9.03;35
01/01/2016;07:00;4401;2220;5.3;12.77;9.03;35
01/01/2016;07:30;4370;2221;5.3;12.77;9.03;35
01/01/2016;08:00;4365;2210;5.3;12.77;9.03;35
01/01/2016;08:30;4318;2218;5.3;12.77;9.03;37
01/01/2016;09:00;4422;2200;5.3;12.77;9.03;36
01/01/2016;09:30;4522;2217;5.3;12.77;9.03;34
01/01/2016;10:00;4607;2190;5.3;12.77;9.03;33
01/01/2016;10:30;4671;2207;5.3;12.77;9.03;32
01/01/2016;11:00;4739;2229;5.3;12.77;9.03;32
01/01/2016;11:30;4849;2232;5.3;12.77;9.03;32
01/01/2016;12:00;4966;2231;5.3;12.77;9.03;31
01/01/2016;12:30;5091;2230;5.3;12.77;9.03;31
01/01/2016;13:00;5064;2229;5.3;12.77;9.03;30
01/01/2016;13:30;5190;2222;5.3;12.77;9.03;30
01/01/2016;14:00;5072;2229;5.3;12.77;9.03;31
01/01/2016;14:30;5096;2234;5.3;12.77;9.03;31
01/01/2016;15:00;4993;2207;5.3;12.77;9.03;32
