Date;Heures;Consommation;Gaz;Taux de Co2;Tmin;Tmax;Tmoy
01/01/2016;00:00;5858;2226;31;5.3;12.77;9.03
01/01/2016;00:30;5477;2227;31;5.3;12.77;9.03
01/01/2016;01:00;5278;2205;32;5.3;12.77;9.03
01/01/2016;01:30;5262;2212;32;5.3;12.77;9.03
01/01/2016;02:00;5154;2209;32;5.3;12.77;9.03
01/01/2016;02:30;5294;2231;33;5.3;12.77;9.03
01/01/2016;03:00;4983;2240;34;5.3;12.77;9.03
01/01/2016;03:30;4790;2195;35;5.3;12.77;9.03
01/01/2016;04:00;4634;2219;36;5.3;12.77;9.03
01/01/2016;04:30;4533;2221;35;5.3;12.77;9.03
01/01/2016;05:00;4450;2234;36;5.3;12.77;9.03
01/01/2016;05:30;4444;2200;35;5.3;12.77;9.03
01/01/2016;06:00;4396;2191;35;5.3;12.77;9.03
01/01/2016;06:30;4378;2207;35;5.3;12.77;9.03
01/01/2016;07:00;4401;2220;35;5.3;12.77;9.03
01/01/2016;07:30;4370;2221;35;5.3;12.77;9.03
01/01/2016;08:00;4365;2210;35;5.3;12.77;9.03
01/01/2016;08:30;4318;2218;37;5.3;12.77;9.03
01/01/2016;09:00;4422;2200;36;5.3;12.77;9.03
01/01/2016;09:30;4522;2217;34;5.3;12.77;9.03
01/01/2016;10:00;4607;2190;33;5.3;12.77;9.03
01/01/2016;10:30;4671;2207;32;5.3;12.77;9.03
01/01/2016;11:00;4739;2229;32;5.3;12.77;9.03
01/01/2016;11:30;4849;2232;32;5.3;12.77;9.03
01/01/2016;12:00;4966;2231;31;5.3;12.77;9.03
01/01/2016;12:30;5091;2230;31;5.3;12.77;9.03
01/01/2016;13:00;5064;2229;30;5.3;12.77;9.03
01/01/2016;13:30;5190;2222;30;5.3;12.77;9.03
01/01/2016;14:00;5072;2229;31;5.3;12.77;9.03
01/01/2016;14:30;5096;2234;31;5.3;12.77;9.03
01/01/2016;15:00;4993;2207;32;5.3;12.77;9.03
01/01/2016;15:30;4960;2208;32;5.3;12.77;9.03
01/01/2016;16:00;4900;2231;32;5.3;12.77;9.03
01/01/2016;16:30;4875;2232;32;5.3;12.77;9.03
01/01/2016;17:00;4973;2231;32;5.3;12.77;9.03
01/01/2016;17:30;5167;2244;31;5.3;12.77;9.03
01/01/2016;18:00;5281;2252;30;5.3;12.77;9.03
01/01/2016;18:30;5342;2252;29;5.3;12.77;9.03
01/01/2016;19:00;5509;2254;28;5.3;12.77;9.03
01/01/2016;19:30;5557;2262;28;5.3;12.77;9.03
01/01/2016;20:00;5504;2233;28;5.3;12.77;9.03
01/01/2016;20:30;5451;2245;29;5.3;12.77;9.03
01/01/2016;21:00;5306;2255;30;5.3;12.77;9.03
01/01/2016;21:30;5134;2255;30;5.3;12.77;9.03
01/01/2016;22:00;5044;2242;30;5.3;12.77;9.03
01/01/2016;22:30;5146;2241;30;5.3;12.77;9.03
01/01/2016;23:00;5219;2252;29;5.3;12.77;9.03
01/01/2016;23:30;5808;2251;31;5.3;12.77;9.03
02/01/2016;00:00;5450;2243;30;7.78;11.22;9.5
02/01/2016;00:30;5131;2231;31;7.78;11.22;9.5
02/01/2016;01:00;4880;2233;33;7.78;11.22;9.5
02/01/2016;01:30;4895;2239;34;7.78;11.22;9.5
02/01/2016;02:00;4791;2232;34;7.78;11.22;9.5
02/01/2016;02:30;4954;2221;34;7.78;11.22;9.5
02/01/2016;03:00;4649;2229;35;7.78;11.22;9.5
02/01/2016;03:30;4526;2233;35;7.78;11.22;9.5
02/01/2016;04:00;4427;2227;36;7.78;11.22;9.5
02/01/2016;04:30;4380;2226;36;7.78;11.22;9.5
02/01/2016;05:00;4361;2242;36;7.78;11.22;9.5
02/01/2016;05:30;4391;2253;36;7.78;11.22;9.5
02/01/2016;06:00;4379;2231;35;7.78;11.22;9.5
02/01/2016;06:30;4434;2234;34;7.78;11.22;9.5
02/01/2016;07:00;4493;2216;34;7.78;11.22;9.5
02/01/2016;07:30;4479;2254;34;7.78;11.22;9.5
02/01/2016;08:00;4557;2243;33;7.78;11.22;9.5
02/01/2016;08:30;4616;2198;32;7.78;11.22;9.5
02/01/2016;09:00;4779;2242;31;7.78;11.22;9.5
02/01/2016;09:30;4946;2256;30;7.78;11.22;9.5
02/01/2016;10:00;5071;2219;29;7.78;11.22;9.5
02/01/2016;10:30;5180;2247;29;7.78;11.22;9.5
02/01/2016;11:00;5251;2249;29;7.78;11.22;9.5
02/01/2016;11:30;5320;2175;28;7.78;11.22;9.5
