Date;Heures;Consommation;Tmin;Tmax;Tmoy;;
01/01/2016;00:00;5858;5.3;12.77;9.03;;
01/01/2016;00:30;5477;5.3;12.77;9.03;;
01/01/2016;01:00;5278;5.3;12.77;9.03;;
01/01/2016;01:30;5262;5.3;12.77;9.03;;
01/01/2016;02:00;5154;5.3;12.77;9.03;;
01/01/2016;02:30;5294;5.3;12.77;9.03;;
01/01/2016;03:00;4983;5.3;12.77;9.03;;
01/01/2016;03:30;4790;5.3;12.77;9.03;; 
01/01/2016;04:00;4634;5.3;12.77;9.03;;
01/01/2016;04:30;4533;5.3;12.77;9.03;;
01/01/2016;05:00;4450;5.3;12.77;9.03;;
01/01/2016;05:30;4444;5.3;12.77;9.03;;
01/01/2016;06:00;4396;5.3;12.77;9.03;;
01/01/2016;06:30;4378;5.3;12.77;9.03;;
01/01/2016;07:00;4401;5.3;12.77;9.03;;
01/01/2016;07:30;4370;5.3;12.77;9.03;;
01/01/2016;08:00;4365;5.3;12.77;9.03;;
01/01/2016;08:30;4318;5.3;12.77;9.03;;
01/01/2016;09:00;4422;5.3;12.77;9.03;;
01/01/2016;09:30;4522;5.3;12.77;9.03;;
01/01/2016;10:00;4607;5.3;12.77;9.03;;
01/01/2016;10:30;4671;5.3;12.77;9.03;;
01/01/2016;11:00;4739;5.3;12.77;9.03;;
01/01/2016;11:30;4849;5.3;12.77;9.03;;
01/01/2016;12:00;4966;5.3;12.77;9.03;;
01/01/2016;12:30;5091;5.3;12.77;9.03;;
01/01/2016;13:00;5064;5.3;12.77;9.03;;
01/01/2016;13:30;5190;5.3;12.77;9.03;;
01/01/2016;14:00;5072;5.3;12.77;9.03;;
01/01/2016;14:30;5096;5.3;12.77;9.03;;
01/01/2016;15:00;4993;5.3;12.77;9.03;;
01/01/2016;15:30;4960;5.3;12.77;9.03;;
01/01/2016;16:00;4900;5.3;12.77;9.03;;
01/01/2016;16:30;4875;5.3;12.77;9.03;;
01/01/2016;17:00;4973;5.3;12.77;9.03;;
01/01/2016;17:30;5167;5.3;12.77;9.03;;
01/01/2016;18:00;5281;5.3;12.77;9.03;;
01/01/2016;18:30;5342;5.3;12.77;9.03;;
01/01/2016;19:00;5509;5.3;12.77;9.03;;
01/01/2016;19:30;5557;5.3;12.77;9.03;;
01/01/2016;20:00;5504;5.3;12.77;9.03;;
01/01/2016;20:30;5451;5.3;12.77;9.03;;
01/01/2016;21:00;5306;5.3;12.77;9.03;;
01/01/2016;21:30;5134;5.3;12.77;9.03;;
01/01/2016;22:00;5044;5.3;12.77;9.03;;
01/01/2016;22:30;5146;5.3;12.77;9.03;;
01/01/2016;23:00;5219;5.3;12.77;9.03;;
01/01/2016;23:30;5808;5.3;12.77;9.03;;
02/01/2016;00:00;5450;7.78;11.22;9.5;;
