Date;Heures;Consommation;Tmin;Tmax;Tmoy
01/01/2017;00:00;6399;0.78;12.45;6.62
01/01/2017;00:30;6177;0.78;12.45;6.62
01/01/2017;01:00;5980;0.78;12.45;6.62
01/01/2017;01:30;5971;0.78;12.45;6.62
01/01/2017;02:00;5884;0.78;12.45;6.62
01/01/2017;02:30;6197;0.78;12.45;6.62
01/01/2017;03:00;6001;0.78;12.45;6.62
01/01/2017;03:30;5844;0.78;12.45;6.62
01/01/2017;04:00;5676;0.78;12.45;6.62
01/01/2017;04:30;5493;0.78;12.45;6.62
01/01/2017;05:00;5228;0.78;12.45;6.62
01/01/2017;05:30;5247;0.78;12.45;6.62
01/01/2017;06:00;5196;0.78;12.45;6.62
01/01/2017;06:30;5141;0.78;12.45;6.62
01/01/2017;07:00;5147;0.78;12.45;6.62
01/01/2017;07:30;5096;0.78;12.45;6.62
01/01/2017;08:00;5072;0.78;12.45;6.62
01/01/2017;08:30;5085;0.78;12.45;6.62
01/01/2017;09:00;5170;0.78;12.45;6.62
01/01/2017;09:30;5260;0.78;12.45;6.62
01/01/2017;10:00;5335;0.78;12.45;6.62
01/01/2017;10:30;5395;0.78;12.45;6.62
01/01/2017;11:00;5426;0.78;12.45;6.62
01/01/2017;11:30;5446;0.78;12.45;6.62
01/01/2017;12:00;5475;0.78;12.45;6.62
01/01/2017;12:30;5535;0.78;12.45;6.62
01/01/2017;13:00;5461;0.78;12.45;6.62
01/01/2017;13:30;5549;0.78;12.45;6.62
01/01/2017;14:00;5379;0.78;12.45;6.62
01/01/2017;14:30;5376;0.78;12.45;6.62
01/01/2017;15:00;5283;0.78;12.45;6.62
01/01/2017;15:30;5165;0.78;12.45;6.62
01/01/2017;16:00;5089;0.78;12.45;6.62
01/01/2017;16:30;4925;0.78;12.45;6.62
01/01/2017;17:00;4993;0.78;12.45;6.62
01/01/2017;17:30;5234;0.78;12.45;6.62
01/01/2017;18:00;5619;0.78;12.45;6.62
01/01/2017;18:30;5914;0.78;12.45;6.62
01/01/2017;19:00;6022;0.78;12.45;6.62
01/01/2017;19:30;6111;0.78;12.45;6.62
01/01/2017;20:00;6106;0.78;12.45;6.62
01/01/2017;20:30;6101;0.78;12.45;6.62
01/01/2017;21:00;6017;0.78;12.45;6.62
01/01/2017;21:30;5611;0.78;12.45;6.62
01/01/2017;22:00;5523;0.78;12.45;6.62
01/01/2017;22:30;5727;0.78;12.45;6.62
01/01/2017;23:00;5734;0.78;12.45;6.62
01/01/2017;23:30;6289;0.78;12.45;6.62
02/01/2017;00:00;6034;2.02;12.33;7.18
02/01/2017;00:30;5759;2.02;12.33;7.18
02/01/2017;01:00;5598;2.02;12.33;7.18
02/01/2017;01:30;5511;2.02;12.33;7.18
02/01/2017;02:00;5374;2.02;12.33;7.18
02/01/2017;02:30;5593;2.02;12.33;7.18
02/01/2017;03:00;5275;2.02;12.33;7.18
02/01/2017;03:30;5209;2.02;12.33;7.18
02/01/2017;04:00;5126;2.02;12.33;7.18
02/01/2017;04:30;5226;2.02;12.33;7.18
02/01/2017;05:00;5201;2.02;12.33;7.18
02/01/2017;05:30;4945;2.02;12.33;7.18
02/01/2017;06:00;5054;2.02;12.33;7.18
02/01/2017;06:30;5415;2.02;12.33;7.18
02/01/2017;07:00;5475;2.02;12.33;7.18
02/01/2017;07:30;5512;2.02;12.33;7.18
02/01/2017;08:00;5626;2.02;12.33;7.18
02/01/2017;08:30;5723;2.02;12.33;7.18
02/01/2017;09:00;5886;2.02;12.33;7.18
02/01/2017;09:30;5950;2.02;12.33;7.18
02/01/2017;10:00;5972;2.02;12.33;7.18
02/01/2017;10:30;5941;2.02;12.33;7.18
02/01/2017;11:00;5908;2.02;12.33;7.18
02/01/2017;11:30;5938;2.02;12.33;7.18
02/01/2017;12:00;6015;2.02;12.33;7.18
02/01/2017;12:30;6033;2.02;12.33;7.18
02/01/2017;13:00;5915;2.02;12.33;7.18
02/01/2017;13:30;5991;2.02;12.33;7.18
02/01/2017;14:00;5831;2.02;12.33;7.18
02/01/2017;14:30;5865;2.02;12.33;7.18
02/01/2017;15:00;5743;2.02;12.33;7.18
02/01/2017;15:30;5725;2.02;12.33;7.18
02/01/2017;16:00;5635;2.02;12.33;7.18
02/01/2017;16:30;5560;2.02;12.33;7.18
02/01/2017;17:00;5719;2.02;12.33;7.18
02/01/2017;17:30;6036;2.02;12.33;7.18
02/01/2017;18:00;6240;2.02;12.33;7.18
02/01/2017;18:30;6406;2.02;12.33;7.18
02/01/2017;19:00;6488;2.02;12.33;7.18
02/01/2017;19:30;6481;2.02;12.33;7.18
02/01/2017;20:00;6453;2.02;12.33;7.18
02/01/2017;20:30;6287;2.02;12.33;7.18
02/01/2017;21:00;6117;2.02;12.33;7.18
02/01/2017;21:30;5845;2.02;12.33;7.18
02/01/2017;22:00;5730;2.02;12.33;7.18
02/01/2017;22:30;5805;2.02;12.33;7.18
02/01/2017;23:00;5880;2.02;12.33;7.18
02/01/2017;23:30;6440;2.02;12.33;7.18
03/01/2017;00:00;6192;1.77;9.55;5.66
03/01/2017;00:30;5858;1.77;9.55;5.66
03/01/2017;01:00;5674;1.77;9.55;5.66
03/01/2017;01:30;5701;1.77;9.55;5.66
03/01/2017;02:00;5633;1.77;9.55;5.66
03/01/2017;02:30;5807;1.77;9.55;5.66
03/01/2017;03:00;5562;1.77;9.55;5.66
03/01/2017;03:30;5441;1.77;9.55;5.66
03/01/2017;04:00;5337;1.77;9.55;5.66
03/01/2017;04:30;5287;1.77;9.55;5.66
03/01/2017;05:00;5281;1.77;9.55;5.66
03/01/2017;05:30;5415;1.77;9.55;5.66
03/01/2017;06:00;5439;1.77;9.55;5.66
03/01/2017;06:30;5765;1.77;9.55;5.66
03/01/2017;07:00;6128;1.77;9.55;5.66
03/01/2017;07:30;6259;1.77;9.55;5.66
03/01/2017;08:00;6382;1.77;9.55;5.66
03/01/2017;08:30;6381;1.77;9.55;5.66
03/01/2017;09:00;6424;1.77;9.55;5.66
03/01/2017;09:30;6445;1.77;9.55;5.66
03/01/2017;10:00;6371;1.77;9.55;5.66
03/01/2017;10:30;6350;1.77;9.55;5.66
03/01/2017;11:00;6226;1.77;9.55;5.66
03/01/2017;11:30;6219;1.77;9.55;5.66
03/01/2017;12:00;6252;1.77;9.55;5.66
03/01/2017;12:30;6263;1.77;9.55;5.66
03/01/2017;13:00;6149;1.77;9.55;5.66
03/01/2017;13:30;6257;1.77;9.55;5.66
03/01/2017;14:00;6115;1.77;9.55;5.66
03/01/2017;14:30;6096;1.77;9.55;5.66
03/01/2017;15:00;6009;1.77;9.55;5.66
03/01/2017;15:30;5969;1.77;9.55;5.66
03/01/2017;16:00;5920;1.77;9.55;5.66
03/01/2017;16:30;5867;1.77;9.55;5.66
03/01/2017;17:00;5976;1.77;9.55;5.66
03/01/2017;17:30;6294;1.77;9.55;5.66
03/01/2017;18:00;6558;1.77;9.55;5.66
03/01/2017;18:30;6803;1.77;9.55;5.66
03/01/2017;19:00;7005;1.77;9.55;5.66
03/01/2017;19:30;7018;1.77;9.55;5.66
03/01/2017;20:00;6914;1.77;9.55;5.66
03/01/2017;20:30;6724;1.77;9.55;5.66
03/01/2017;21:00;6471;1.77;9.55;5.66
03/01/2017;21:30;6185;1.77;9.55;5.66
03/01/2017;22:00;6049;1.77;9.55;5.66
03/01/2017;22:30;6179;1.77;9.55;5.66
03/01/2017;23:00;6215;1.77;9.55;5.66
03/01/2017;23:30;6669;1.77;9.55;5.66
04/01/2017;00:00;6395;0.32;11.62;5.97
04/01/2017;00:30;6145;0.32;11.62;5.97
04/01/2017;01:00;5937;0.32;11.62;5.97
04/01/2017;01:30;5987;0.32;11.62;5.97
04/01/2017;02:00;5926;0.32;11.62;5.97
