Date;Heures;Consommation;Tmin;Tmoy;Tmax
01/01/2018;00:00;6067;6.12;12.77;9.44
01/01/2018;00:30;5806;6.12;12.77;9.44
01/01/2018;01:00;5598;6.12;12.77;9.44
01/01/2018;01:30;5647;6.12;12.77;9.44
01/01/2018;02:00;5528;6.12;12.77;9.44
01/01/2018;02:30;5660;6.12;12.77;9.44
01/01/2018;03:00;5358;6.12;12.77;9.44
01/01/2018;03:30;5227;6.12;12.77;9.44
01/01/2018;04:00;5052;6.12;12.77;9.44
01/01/2018;04:30;4969;6.12;12.77;9.44
01/01/2018;05:00;4889;6.12;12.77;9.44
01/01/2018;05:30;4845;6.12;12.77;9.44
01/01/2018;06:00;4810;6.12;12.77;9.44
01/01/2018;06:30;4817;6.12;12.77;9.44
01/01/2018;07:00;4831;6.12;12.77;9.44
01/01/2018;07:30;4773;6.12;12.77;9.44
01/01/2018;08:00;4781;6.12;12.77;9.44
01/01/2018;08:30;4758;6.12;12.77;9.44
01/01/2018;09:00;4831;6.12;12.77;9.44
01/01/2018;09:30;4904;6.12;12.77;9.44
01/01/2018;10:00;4926;6.12;12.77;9.44
01/01/2018;10:30;4975;6.12;12.77;9.44
01/01/2018;11:00;5028;6.12;12.77;9.44
01/01/2018;11:30;5097;6.12;12.77;9.44
01/01/2018;12:00;5170;6.12;12.77;9.44
01/01/2018;12:30;5271;6.12;12.77;9.44
01/01/2018;13:00;5212;6.12;12.77;9.44
01/01/2018;13:30;5277;6.12;12.77;9.44
01/01/2018;14:00;5136;6.12;12.77;9.44
01/01/2018;14:30;5147;6.12;12.77;9.44
01/01/2018;15:00;5073;6.12;12.77;9.44
01/01/2018;15:30;5033;6.12;12.77;9.44
01/01/2018;16:00;4985;6.12;12.77;9.44
01/01/2018;16:30;4978;6.12;12.77;9.44
01/01/2018;17:00;5102;6.12;12.77;9.44
01/01/2018;17:30;5384;6.12;12.77;9.44
01/01/2018;18:00;5581;6.12;12.77;9.44
01/01/2018;18:30;5690;6.12;12.77;9.44
01/01/2018;19:00;5835;6.12;12.77;9.44
01/01/2018;19:30;5873;6.12;12.77;9.44
01/01/2018;20:00;5846;6.12;12.77;9.44
01/01/2018;20:30;5776;6.12;12.77;9.44
01/01/2018;21:00;5669;6.12;12.77;9.44
01/01/2018;21:30;5486;6.12;12.77;9.44
01/01/2018;22:00;5399;6.12;12.77;9.44
01/01/2018;22:30;5458;6.12;12.77;9.44
01/01/2018;23:00;5555;6.12;12.77;9.44
01/01/2018;23:30;6156;6.12;12.77;9.44
02/01/2018;00:00;5850;5.33;11.77;8.55
02/01/2018;00:30;5581;5.33;11.77;8.55
02/01/2018;01:00;5333;5.33;11.77;8.55
02/01/2018;01:30;5377;5.33;11.77;8.55
02/01/2018;02:00;5288;5.33;11.77;8.55
02/01/2018;02:30;5432;5.33;11.77;8.55
02/01/2018;03:00;5173;5.33;11.77;8.55
02/01/2018;03:30;5061;5.33;11.77;8.55
02/01/2018;04:00;4973;5.33;11.77;8.55
02/01/2018;04:30;4933;5.33;11.77;8.55
02/01/2018;05:00;4956;5.33;11.77;8.55
02/01/2018;05:30;5037;5.33;11.77;8.55
02/01/2018;06:00;5089;5.33;11.77;8.55
02/01/2018;06:30;5272;5.33;11.77;8.55
02/01/2018;07:00;5424;5.33;11.77;8.55
02/01/2018;07:30;5468;5.33;11.77;8.55
02/01/2018;08:00;5585;5.33;11.77;8.55
02/01/2018;08:30;5660;5.33;11.77;8.55
02/01/2018;09:00;5730;5.33;11.77;8.55
02/01/2018;09:30;5799;5.33;11.77;8.55
02/01/2018;10:00;5824;5.33;11.77;8.55
02/01/2018;10:30;5821;5.33;11.77;8.55
02/01/2018;11:00;5815;5.33;11.77;8.55
02/01/2018;11:30;5839;5.33;11.77;8.55
02/01/2018;12:00;5925;5.33;11.77;8.55
02/01/2018;12:30;6001;5.33;11.77;8.55
02/01/2018;13:00;5859;5.33;11.77;8.55
02/01/2018;13:30;5969;5.33;11.77;8.55
02/01/2018;14:00;5832;5.33;11.77;8.55
02/01/2018;14:30;5893;5.33;11.77;8.55
02/01/2018;15:00;5737;5.33;11.77;8.55
02/01/2018;15:30;5772;5.33;11.77;8.55
02/01/2018;16:00;5668;5.33;11.77;8.55
02/01/2018;16:30;5601;5.33;11.77;8.55
02/01/2018;17:00;5699;5.33;11.77;8.55
02/01/2018;17:30;5960;5.33;11.77;8.55
02/01/2018;18:00;6145;5.33;11.77;8.55
02/01/2018;18:30;6237;5.33;11.77;8.55
02/01/2018;19:00;6486;5.33;11.77;8.55
02/01/2018;19:30;6394;5.33;11.77;8.55
02/01/2018;20:00;6287;5.33;11.77;8.55
02/01/2018;20:30;6199;5.33;11.77;8.55
02/01/2018;21:00;5970;5.33;11.77;8.55
02/01/2018;21:30;5778;5.33;11.77;8.55
02/01/2018;22:00;5607;5.33;11.77;8.55
02/01/2018;22:30;5618;5.33;11.77;8.55
02/01/2018;23:00;5740;5.33;11.77;8.55
02/01/2018;23:30;6296;5.33;11.77;8.55
03/01/2018;00:00;6036;4.27;15.73;10.0
03/01/2018;00:30;5796;4.27;15.73;10.0
03/01/2018;01:00;5512;4.27;15.73;10.0
03/01/2018;01:30;5503;4.27;15.73;10.0
03/01/2018;02:00;5407;4.27;15.73;10.0
03/01/2018;02:30;5575;4.27;15.73;10.0
03/01/2018;03:00;5358;4.27;15.73;10.0
03/01/2018;03:30;5220;4.27;15.73;10.0
03/01/2018;04:00;5118;4.27;15.73;10.0
03/01/2018;04:30;5031;4.27;15.73;10.0
03/01/2018;05:00;5032;4.27;15.73;10.0
03/01/2018;05:30;5126;4.27;15.73;10.0
03/01/2018;06:00;5198;4.27;15.73;10.0
03/01/2018;06:30;5320;4.27;15.73;10.0
03/01/2018;07:00;5545;4.27;15.73;10.0
03/01/2018;07:30;5561;4.27;15.73;10.0
03/01/2018;08:00;5674;4.27;15.73;10.0
