Date;Heures;Electricite;Gaz;Tmin;Tmax;Tmoy;Taux de Co2
01/01/2016;00:00;3583;2226;5.35;10.95;8.15;31
01/01/2016;00:30;3460;2227;5.35;10.95;8.15;31
01/01/2016;01:00;3258;2205;5.35;10.95;8.15;32
01/01/2016;01:30;3191;2212;5.35;10.95;8.15;32
01/01/2016;02:00;3285;2209;5.35;10.95;8.15;32
01/01/2016;02:30;3074;2231;5.35;10.95;8.15;33
01/01/2016;03:00;2881;2240;5.35;10.95;8.15;34
01/01/2016;03:30;2729;2195;5.35;10.95;8.15;35
01/01/2016;04:00;2619;2219;5.35;10.95;8.15;36
01/01/2016;04:30;2638;2221;5.35;10.95;8.15;35
01/01/2016;05:00;2588;2234;5.35;10.95;8.15;36
01/01/2016;05:30;2609;2200;5.35;10.95;8.15;35
01/01/2016;06:00;2617;2191;5.35;10.95;8.15;35
01/01/2016;06:30;2663;2207;5.35;10.95;8.15;35
01/01/2016;07:00;2655;2220;5.35;10.95;8.15;35
01/01/2016;07:30;2667;2221;5.35;10.95;8.15;35
01/01/2016;08:00;2673;2210;5.35;10.95;8.15;35
01/01/2016;08:30;2676;2218;5.35;10.95;8.15;37
01/01/2016;09:00;2641;2200;5.35;10.95;8.15;36
01/01/2016;09:30;2651;2217;5.35;10.95;8.15;34
01/01/2016;10:00;2685;2190;5.35;10.95;8.15;33
01/01/2016;10:30;2740;2207;5.35;10.95;8.15;32
01/01/2016;11:00;2817;2229;5.35;10.95;8.15;32
01/01/2016;11:30;2879;2232;5.35;10.95;8.15;32
01/01/2016;12:00;2879;2231;5.35;10.95;8.15;31
01/01/2016;12:30;2983;2230;5.35;10.95;8.15;31
01/01/2016;13:00;3129;2229;5.35;10.95;8.15;30
01/01/2016;13:30;2968;2222;5.35;10.95;8.15;30
01/01/2016;14:00;2816;2229;5.35;10.95;8.15;31
01/01/2016;14:30;2736;2234;5.35;10.95;8.15;31
01/01/2016;15:00;2645;2207;5.35;10.95;8.15;32
01/01/2016;15:30;2763;2208;5.35;10.95;8.15;32
01/01/2016;16:00;2743;2231;5.35;10.95;8.15;32
01/01/2016;16:30;2735;2232;5.35;10.95;8.15;32
01/01/2016;17:00;2740;2231;5.35;10.95;8.15;32
01/01/2016;17:30;2851;2244;5.35;10.95;8.15;31
01/01/2016;18:00;3071;2252;5.35;10.95;8.15;30
01/01/2016;18:30;3157;2252;5.35;10.95;8.15;29
01/01/2016;19:00;3198;2254;5.35;10.95;8.15;28
01/01/2016;19:30;3208;2262;5.35;10.95;8.15;28
01/01/2016;20:00;3181;2233;5.35;10.95;8.15;28
01/01/2016;20:30;3078;2245;5.35;10.95;8.15;29
01/01/2016;21:00;2995;2255;5.35;10.95;8.15;30
