Date;Heures;Consommation;Tmin;Tmoy;Tmax
01/01/2017;00:00;5098;-4.35;3.65;-0.35
01/01/2017;00:30;5022;-4.35;3.65;-0.35
01/01/2017;01:00;4855;-4.35;3.65;-0.35
01/01/2017;01:30;4821;-4.35;3.65;-0.35
01/01/2017;02:00;4904;-4.35;3.65;-0.35
01/01/2017;02:30;4721;-4.35;3.65;-0.35
01/01/2017;03:00;4522;-4.35;3.65;-0.35
01/01/2017;03:30;4392;-4.35;3.65;-0.35
01/01/2017;04:00;4262;-4.35;3.65;-0.35
01/01/2017;04:30;4188;-4.35;3.65;-0.35
01/01/2017;05:00;4124;-4.35;3.65;-0.35
01/01/2017;05:30;4126;-4.35;3.65;-0.35
01/01/2017;06:00;4123;-4.35;3.65;-0.35
01/01/2017;06:30;4176;-4.35;3.65;-0.35
01/01/2017;07:00;4152;-4.35;3.65;-0.35
01/01/2017;07:30;4162;-4.35;3.65;-0.35
01/01/2017;08:00;4176;-4.35;3.65;-0.35
01/01/2017;08:30;4185;-4.35;3.65;-0.35
01/01/2017;09:00;4142;-4.35;3.65;-0.35
01/01/2017;09:30;4156;-4.35;3.65;-0.35
01/01/2017;10:00;4222;-4.35;3.65;-0.35
01/01/2017;10:30;4238;-4.35;3.65;-0.35
01/01/2017;11:00;4302;-4.35;3.65;-0.35
01/01/2017;11:30;4322;-4.35;3.65;-0.35
01/01/2017;12:00;4388;-4.35;3.65;-0.35
01/01/2017;12:30;4422;-4.35;3.65;-0.35
01/01/2017;13:00;4587;-4.35;3.65;-0.35
01/01/2017;13:30;4423;-4.35;3.65;-0.35
01/01/2017;14:00;4303;-4.35;3.65;-0.35
01/01/2017;14:30;4152;-4.35;3.65;-0.35
01/01/2017;15:00;4054;-4.35;3.65;-0.35
01/01/2017;15:30;4104;-4.35;3.65;-0.35
01/01/2017;16:00;4042;-4.35;3.65;-0.35
01/01/2017;16:30;4014;-4.35;3.65;-0.35
01/01/2017;17:00;4026;-4.35;3.65;-0.35
01/01/2017;17:30;4080;-4.35;3.65;-0.35
01/01/2017;18:00;4310;-4.35;3.65;-0.35
01/01/2017;18:30;4390;-4.35;3.65;-0.35
01/01/2017;19:00;4430;-4.35;3.65;-0.35
01/01/2017;19:30;4419;-4.35;3.65;-0.35
01/01/2017;20:00;4389;-4.35;3.65;-0.35
01/01/2017;20:30;4290;-4.35;3.65;-0.35
01/01/2017;21:00;4168;-4.35;3.65;-0.35
01/01/2017;21:30;4045;-4.35;3.65;-0.35
01/01/2017;22:00;3949;-4.35;3.65;-0.35
01/01/2017;22:30;3969;-4.35;3.65;-0.35
01/01/2017;23:00;4480;-4.35;3.65;-0.35
01/01/2017;23:30;4242;-4.35;3.65;-0.35
02/01/2017;00:00;4305;1.95;4.8;3.38
02/01/2017;00:30;4215;1.95;4.8;3.38
02/01/2017;01:00;4005;1.95;4.8;3.38
02/01/2017;01:30;3952;1.95;4.8;3.38
02/01/2017;02:00;4028;1.95;4.8;3.38
02/01/2017;02:30;3827;1.95;4.8;3.38
02/01/2017;03:00;3676;1.95;4.8;3.38
02/01/2017;03:30;3594;1.95;4.8;3.38
02/01/2017;04:00;3531;1.95;4.8;3.38
02/01/2017;04:30;3545;1.95;4.8;3.38
02/01/2017;05:00;3574;1.95;4.8;3.38
02/01/2017;05:30;3698;1.95;4.8;3.38
02/01/2017;06:00;3805;1.95;4.8;3.38
02/01/2017;06:30;4029;1.95;4.8;3.38
02/01/2017;07:00;4117;1.95;4.8;3.38
02/01/2017;07:30;4281;1.95;4.8;3.38
02/01/2017;08:00;4394;1.95;4.8;3.38
02/01/2017;08:30;4506;1.95;4.8;3.38
02/01/2017;09:00;4485;1.95;4.8;3.38
02/01/2017;09:30;4559;1.95;4.8;3.38
02/01/2017;10:00;4616;1.95;4.8;3.38
02/01/2017;10:30;4652;1.95;4.8;3.38
02/01/2017;11:00;4697;1.95;4.8;3.38
02/01/2017;11:30;4766;1.95;4.8;3.38
02/01/2017;12:00;4829;1.95;4.8;3.38
02/01/2017;12:30;4821;1.95;4.8;3.38
02/01/2017;13:00;4927;1.95;4.8;3.38
02/01/2017;13:30;4773;1.95;4.8;3.38
02/01/2017;14:00;4684;1.95;4.8;3.38
02/01/2017;14:30;4578;1.95;4.8;3.38
02/01/2017;15:00;4501;1.95;4.8;3.38
02/01/2017;15:30;4539;1.95;4.8;3.38
02/01/2017;16:00;4499;1.95;4.8;3.38
02/01/2017;16:30;4509;1.95;4.8;3.38
02/01/2017;17:00;4540;1.95;4.8;3.38
02/01/2017;17:30;4611;1.95;4.8;3.38
02/01/2017;18:00;4801;1.95;4.8;3.38
02/01/2017;18:30;4888;1.95;4.8;3.38
02/01/2017;19:00;4977;1.95;4.8;3.38
02/01/2017;19:30;4877;1.95;4.8;3.38
02/01/2017;20:00;4732;1.95;4.8;3.38
02/01/2017;20:30;4583;1.95;4.8;3.38
02/01/2017;21:00;4426;1.95;4.8;3.38
02/01/2017;21:30;4261;1.95;4.8;3.38
02/01/2017;22:00;4122;1.95;4.8;3.38
02/01/2017;22:30;4212;1.95;4.8;3.38
02/01/2017;23:00;4766;1.95;4.8;3.38
02/01/2017;23:30;4535;1.95;4.8;3.38
03/01/2017;00:00;4661;-0.05;2.35;1.15
03/01/2017;00:30;4583;-0.05;2.35;1.15
03/01/2017;01:00;4391;-0.05;2.35;1.15
03/01/2017;01:30;4363;-0.05;2.35;1.15
03/01/2017;02:00;4422;-0.05;2.35;1.15
03/01/2017;02:30;4253;-0.05;2.35;1.15
03/01/2017;03:00;4118;-0.05;2.35;1.15
03/01/2017;03:30;4024;-0.05;2.35;1.15
03/01/2017;04:00;3957;-0.05;2.35;1.15
03/01/2017;04:30;3997;-0.05;2.35;1.15
03/01/2017;05:00;4036;-0.05;2.35;1.15
03/01/2017;05:30;4191;-0.05;2.35;1.15
03/01/2017;06:00;4385;-0.05;2.35;1.15
03/01/2017;06:30;4680;-0.05;2.35;1.15
03/01/2017;07:00;4890;-0.05;2.35;1.15
03/01/2017;07:30;5176;-0.05;2.35;1.15
03/01/2017;08:00;5313;-0.05;2.35;1.15
03/01/2017;08:30;5410;-0.05;2.35;1.15
03/01/2017;09:00;5374;-0.05;2.35;1.15
03/01/2017;09:30;5380;-0.05;2.35;1.15
03/01/2017;10:00;5420;-0.05;2.35;1.15
03/01/2017;10:30;5420;-0.05;2.35;1.15
03/01/2017;11:00;5404;-0.05;2.35;1.15
03/01/2017;11:30;5356;-0.05;2.35;1.15
03/01/2017;12:00;5304;-0.05;2.35;1.15
03/01/2017;12:30;5220;-0.05;2.35;1.15
03/01/2017;13:00;5229;-0.05;2.35;1.15
03/01/2017;13:30;5063;-0.05;2.35;1.15
03/01/2017;14:00;4984;-0.05;2.35;1.15
03/01/2017;14:30;4872;-0.05;2.35;1.15
03/01/2017;15:00;4778;-0.05;2.35;1.15
03/01/2017;15:30;4834;-0.05;2.35;1.15
03/01/2017;16:00;4802;-0.05;2.35;1.15
03/01/2017;16:30;4814;-0.05;2.35;1.15
03/01/2017;17:00;4847;-0.05;2.35;1.15
03/01/2017;17:30;4977;-0.05;2.35;1.15
03/01/2017;18:00;5273;-0.05;2.35;1.15
03/01/2017;18:30;5415;-0.05;2.35;1.15
03/01/2017;19:00;5499;-0.05;2.35;1.15
03/01/2017;19:30;5396;-0.05;2.35;1.15
03/01/2017;20:00;5256;-0.05;2.35;1.15
03/01/2017;20:30;5054;-0.05;2.35;1.15
03/01/2017;21:00;4915;-0.05;2.35;1.15
03/01/2017;21:30;4726;-0.05;2.35;1.15
03/01/2017;22:00;4608;-0.05;2.35;1.15
03/01/2017;22:30;4630;-0.05;2.35;1.15
03/01/2017;23:00;5197;-0.05;2.35;1.15
03/01/2017;23:30;4959;-0.05;2.35;1.15
04/01/2017;00:00;5077;-2.35;5.2;1.42
04/01/2017;00:30;4991;-2.35;5.2;1.42
04/01/2017;01:00;4791;-2.35;5.2;1.42
04/01/2017;01:30;4783;-2.35;5.2;1.42
04/01/2017;02:00;4852;-2.35;5.2;1.42
04/01/2017;02:30;4671;-2.35;5.2;1.42
04/01/2017;03:00;4483;-2.35;5.2;1.42
04/01/2017;03:30;4424;-2.35;5.2;1.42
04/01/2017;04:00;4368;-2.35;5.2;1.42
04/01/2017;04:30;4364;-2.35;5.2;1.42
04/01/2017;05:00;4438;-2.35;5.2;1.42
04/01/2017;05:30;4611;-2.35;5.2;1.42
04/01/2017;06:00;4753;-2.35;5.2;1.42
04/01/2017;06:30;5069;-2.35;5.2;1.42
04/01/2017;07:00;5270;-2.35;5.2;1.42
04/01/2017;07:30;5515;-2.35;5.2;1.42
04/01/2017;08:00;5661;-2.35;5.2;1.42
04/01/2017;08:30;5766;-2.35;5.2;1.42
04/01/2017;09:00;5707;-2.35;5.2;1.42
04/01/2017;09:30;5703;-2.35;5.2;1.42
04/01/2017;10:00;5700;-2.35;5.2;1.42
04/01/2017;10:30;5655;-2.35;5.2;1.42
04/01/2017;11:00;5648;-2.35;5.2;1.42
04/01/2017;11:30;5627;-2.35;5.2;1.42
04/01/2017;12:00;5612;-2.35;5.2;1.42
04/01/2017;12:30;5509;-2.35;5.2;1.42
04/01/2017;13:00;5531;-2.35;5.2;1.42
04/01/2017;13:30;5358;-2.35;5.2;1.42
04/01/2017;14:00;5278;-2.35;5.2;1.42
04/01/2017;14:30;5149;-2.35;5.2;1.42
04/01/2017;15:00;5028;-2.35;5.2;1.42
04/01/2017;15:30;5096;-2.35;5.2;1.42
04/01/2017;16:00;5030;-2.35;5.2;1.42
04/01/2017;16:30;5052;-2.35;5.2;1.42
04/01/2017;17:00;5035;-2.35;5.2;1.42
04/01/2017;17:30;5086;-2.35;5.2;1.42
04/01/2017;18:00;5243;-2.35;5.2;1.42
04/01/2017;18:30;5335;-2.35;5.2;1.42
04/01/2017;19:00;5431;-2.35;5.2;1.42
04/01/2017;19:30;5269;-2.35;5.2;1.42
04/01/2017;20:00;5072;-2.35;5.2;1.42
04/01/2017;20:30;4868;-2.35;5.2;1.42
04/01/2017;21:00;4667;-2.35;5.2;1.42
04/01/2017;21:30;4483;-2.35;5.2;1.42
04/01/2017;22:00;4339;-2.35;5.2;1.42
04/01/2017;22:30;4351;-2.35;5.2;1.42
04/01/2017;23:00;4895;-2.35;5.2;1.42
04/01/2017;23:30;4644;-2.35;5.2;1.42
05/01/2017;00:00;4750;-1.25;7.35;3.05
05/01/2017;00:30;4664;-1.25;7.35;3.05
05/01/2017;01:00;4443;-1.25;7.35;3.05
05/01/2017;01:30;4443;-1.25;7.35;3.05
05/01/2017;02:00;4527;-1.25;7.35;3.05
05/01/2017;02:30;4304;-1.25;7.35;3.05
05/01/2017;03:00;4145;-1.25;7.35;3.05
05/01/2017;03:30;4061;-1.25;7.35;3.05
05/01/2017;04:00;3990;-1.25;7.35;3.05
05/01/2017;04:30;3993;-1.25;7.35;3.05
05/01/2017;05:00;4023;-1.25;7.35;3.05
05/01/2017;05:30;4222;-1.25;7.35;3.05
05/01/2017;06:00;4351;-1.25;7.35;3.05
05/01/2017;06:30;4687;-1.25;7.35;3.05
05/01/2017;07:00;4915;-1.25;7.35;3.05
05/01/2017;07:30;5178;-1.25;7.35;3.05
05/01/2017;08:00;5318;-1.25;7.35;3.05
05/01/2017;08:30;5395;-1.25;7.35;3.05
05/01/2017;09:00;5316;-1.25;7.35;3.05
05/01/2017;09:30;5250;-1.25;7.35;3.05
05/01/2017;10:00;5250;-1.25;7.35;3.05
05/01/2017;10:30;5191;-1.25;7.35;3.05
05/01/2017;11:00;5180;-1.25;7.35;3.05
05/01/2017;11:30;5090;-1.25;7.35;3.05
05/01/2017;12:00;5052;-1.25;7.35;3.05
05/01/2017;12:30;4919;-1.25;7.35;3.05
05/01/2017;13:00;4899;-1.25;7.35;3.05
05/01/2017;13:30;4700;-1.25;7.35;3.05
05/01/2017;14:00;4582;-1.25;7.35;3.05
05/01/2017;14:30;4481;-1.25;7.35;3.05
05/01/2017;15:00;4376;-1.25;7.35;3.05
05/01/2017;15:30;4425;-1.25;7.35;3.05
05/01/2017;16:00;4363;-1.25;7.35;3.05
05/01/2017;16:30;4385;-1.25;7.35;3.05
05/01/2017;17:00;4425;-1.25;7.35;3.05
05/01/2017;17:30;4537;-1.25;7.35;3.05
05/01/2017;18:00;4860;-1.25;7.35;3.05
05/01/2017;18:30;5056;-1.25;7.35;3.05
05/01/2017;19:00;5223;-1.25;7.35;3.05
05/01/2017;19:30;5146;-1.25;7.35;3.05
05/01/2017;20:00;4974;-1.25;7.35;3.05
05/01/2017;20:30;4855;-1.25;7.35;3.05
