Date ;Heure;Consommation brute de gaz en France hors Corse
31/12/2020;23:00;74294
31/12/2020;22:00;78254
31/12/2020;21:00;83057
31/12/2020;20:00;85954
31/12/2020;19:00;88620
31/12/2020;18:00;91183
31/12/2020;17:00;91661
31/12/2020;16:00;89741
31/12/2020;15:00;87647
31/12/2020;14:00;87995
31/12/2020;13:00;89106
31/12/2020;12:00;92416
31/12/2020;11:00;95441
31/12/2020;10:00;97024
31/12/2020;09:00;95983
31/12/2020;08:00;93733
31/12/2020;07:00;92782
31/12/2020;06:00;92208
31/12/2020;05:00;79670
31/12/2020;04:00;72472
31/12/2020;03:00;69597
31/12/2020;02:00;68687
31/12/2020;01:00;68032
31/12/2020;00:00;68296
30/12/2020;23:00;71046
30/12/2020;22:00;78435
30/12/2020;21:00;85070
30/12/2020;20:00;88254
30/12/2020;19:00;90419
30/12/2020;18:00;91829
30/12/2020;17:00;92225
30/12/2020;16:00;90283
30/12/2020;15:00;87458
30/12/2020;14:00;86680
30/12/2020;13:00;88187
30/12/2020;12:00;91851
30/12/2020;11:00;95321
30/12/2020;10:00;97249
30/12/2020;09:00;98270
30/12/2020;08:00;97669
30/12/2020;07:00;97043
30/12/2020;06:00;95544
30/12/2020;05:00;81648
30/12/2020;04:00;73551
30/12/2020;03:00;70029
30/12/2020;02:00;68482
30/12/2020;01:00;67176
30/12/2020;00:00;67164
29/12/2020;23:00;69539
29/12/2020;22:00;75243
29/12/2020;21:00;82648
29/12/2020;20:00;87348
29/12/2020;19:00;89681
29/12/2020;18:00;91033
29/12/2020;17:00;91206
29/12/2020;16:00;89434
29/12/2020;15:00;86998
29/12/2020;14:00;87787
29/12/2020;13:00;89035
29/12/2020;12:00;91919
29/12/2020;11:00;94637
29/12/2020;10:00;96511
29/12/2020;09:00;97878
29/12/2020;08:00;96691
29/12/2020;07:00;95869
29/12/2020;06:00;95010
29/12/2020;05:00;82055
29/12/2020;04:00;74322
29/12/2020;03:00;71243
29/12/2020;02:00;70013
29/12/2020;01:00;69115
29/12/2020;00:00;68957
28/12/2020;23:00;70129
28/12/2020;22:00;75735
28/12/2020;21:00;83893
28/12/2020;20:00;87631
28/12/2020;19:00;89738
28/12/2020;18:00;91194
28/12/2020;17:00;91186
28/12/2020;16:00;89487
28/12/2020;15:00;87158
28/12/2020;14:00;86441
28/12/2020;13:00;86109
28/12/2020;12:00;89258
28/12/2020;11:00;91182
28/12/2020;10:00;91964
28/12/2020;09:00;91657
28/12/2020;08:00;90623
28/12/2020;07:00;90350
28/12/2020;06:00;89927
28/12/2020;05:00;77733
28/12/2020;04:00;69846
28/12/2020;03:00;66317
28/12/2020;02:00;64605
28/12/2020;01:00;63736
28/12/2020;00:00;63835
27/12/2020;23:00;64364
27/12/2020;22:00;69268
27/12/2020;21:00;74756
27/12/2020;20:00;77337
27/12/2020;19:00;79126
27/12/2020;18:00;79833
27/12/2020;17:00;79167
27/12/2020;16:00;78044
27/12/2020;15:00;77652
27/12/2020;14:00;78036
27/12/2020;13:00;79842
27/12/2020;12:00;82547
27/12/2020;11:00;84887
27/12/2020;10:00;85958
27/12/2020;09:00;85957
27/12/2020;08:00;85521
27/12/2020;07:00;85214
27/12/2020;06:00;84101
27/12/2020;05:00;74446
27/12/2020;04:00;69723
27/12/2020;03:00;67505
27/12/2020;02:00;66571
27/12/2020;01:00;65751
27/12/2020;00:00;65218
26/12/2020;23:00;66181
26/12/2020;22:00;71505
26/12/2020;21:00;77106
26/12/2020;20:00;79750
26/12/2020;19:00;81144
26/12/2020;18:00;81708
26/12/2020;17:00;81031
26/12/2020;16:00;78432
26/12/2020;15:00;76414
26/12/2020;14:00;76348
26/12/2020;13:00;77433
26/12/2020;12:00;80512
26/12/2020;11:00;84099
26/12/2020;10:00;86878
26/12/2020;09:00;88960
26/12/2020;08:00;89063
26/12/2020;07:00;88150
26/12/2020;06:00;86567
26/12/2020;05:00;76159
26/12/2020;04:00;70469
26/12/2020;03:00;67442
26/12/2020;02:00;65908
26/12/2020;01:00;64931
26/12/2020;00:00;64217
25/12/2020;23:00;64414
25/12/2020;22:00;69255
25/12/2020;21:00;74721
25/12/2020;20:00;77154
25/12/2020;19:00;77928
25/12/2020;18:00;78336
25/12/2020;17:00;78095
25/12/2020;16:00;75750
25/12/2020;15:00;72826
25/12/2020;14:00;71706
25/12/2020;13:00;72535
25/12/2020;12:00;75698
25/12/2020;11:00;78936
25/12/2020;10:00;80229
25/12/2020;09:00;80187
25/12/2020;08:00;79288
25/12/2020;07:00;80119
25/12/2020;06:00;81483
25/12/2020;05:00;69956
25/12/2020;04:00;63057
25/12/2020;03:00;60400
25/12/2020;02:00;58896
25/12/2020;01:00;57937
25/12/2020;00:00;57441
24/12/2020;23:00;57783
24/12/2020;22:00;61063
24/12/2020;21:00;64852
24/12/2020;20:00;66365
24/12/2020;19:00;68515
24/12/2020;18:00;71220
24/12/2020;17:00;72109
24/12/2020;16:00;70085
24/12/2020;15:00;67299
24/12/2020;14:00;66934
24/12/2020;13:00;67495
24/12/2020;12:00;69052
24/12/2020;11:00;70832
24/12/2020;10:00;71646
24/12/2020;09:00;72055
24/12/2020;08:00;71937
24/12/2020;07:00;72276
24/12/2020;06:00;73052
