Date;Heures;Gaz;Taux de Co2
01/01/2016;00:00;2226;31
01/01/2016;00:30;2227;31
01/01/2016;01:00;2205;32
01/01/2016;01:30;2212;32
01/01/2016;02:00;2209;32
01/01/2016;02:30;2231;33
01/01/2016;03:00;2240;34
01/01/2016;03:30;2195;35
01/01/2016;04:00;2219;36
01/01/2016;04:30;2221;35
01/01/2016;05:00;2234;36
01/01/2016;05:30;2200;35
01/01/2016;06:00;2191;35
01/01/2016;06:30;2207;35
01/01/2016;07:00;2220;35
01/01/2016;07:30;2221;35
01/01/2016;08:00;2210;35
01/01/2016;08:30;2218;37
01/01/2016;09:00;2200;36
01/01/2016;09:30;2217;34
01/01/2016;10:00;2190;33
01/01/2016;10:30;2207;32
01/01/2016;11:00;2229;32
01/01/2016;11:30;2232;32
01/01/2016;12:00;2231;31
01/01/2016;12:30;2230;31
01/01/2016;13:00;2229;30
01/01/2016;13:30;2222;30
01/01/2016;14:00;2229;31
01/01/2016;14:30;2234;31
01/01/2016;15:00;2207;32
01/01/2016;15:30;2208;32
01/01/2016;16:00;2231;32
01/01/2016;16:30;2232;32
01/01/2016;17:00;2231;32
01/01/2016;17:30;2244;31
01/01/2016;18:00;2252;30
01/01/2016;18:30;2252;29
01/01/2016;19:00;2254;28
01/01/2016;19:30;2262;28
01/01/2016;20:00;2233;28
01/01/2016;20:30;2245;29
01/01/2016;21:00;2255;30
01/01/2016;21:30;2255;30
01/01/2016;22:00;2242;30
01/01/2016;22:30;2241;30
01/01/2016;23:00;2252;29
01/01/2016;23:30;2251;31
02/01/2016;00:00;2243;30
02/01/2016;00:30;2231;31
02/01/2016;01:00;2233;33
02/01/2016;01:30;2239;34
02/01/2016;02:00;2232;34
02/01/2016;02:30;2221;34
02/01/2016;03:00;2229;35
02/01/2016;03:30;2233;35
02/01/2016;04:00;2227;36
02/01/2016;04:30;2226;36
02/01/2016;05:00;2242;36
02/01/2016;05:30;2253;36
02/01/2016;06:00;2231;35
02/01/2016;06:30;2234;34
02/01/2016;07:00;2216;34
02/01/2016;07:30;2254;34
02/01/2016;08:00;2243;33
02/01/2016;08:30;2198;32
02/01/2016;09:00;2242;31
02/01/2016;09:30;2256;30
02/01/2016;10:00;2219;29
02/01/2016;10:30;2247;29
02/01/2016;11:00;2249;29
02/01/2016;11:30;2175;28
02/01/2016;12:00;2186;28
02/01/2016;12:30;2190;28
02/01/2016;13:00;2205;27
02/01/2016;13:30;2202;28
02/01/2016;14:00;2228;29
02/01/2016;14:30;2246;28
02/01/2016;15:00;2254;29
02/01/2016;15:30;2255;29
02/01/2016;16:00;2241;29
02/01/2016;16:30;2287;29
02/01/2016;17:00;2296;29
02/01/2016;17:30;2404;28
02/01/2016;18:00;2419;28
02/01/2016;18:30;2431;27
02/01/2016;19:00;2406;27
02/01/2016;19:30;2419;27
02/01/2016;20:00;2408;28
02/01/2016;20:30;2407;28
02/01/2016;21:00;2431;29
02/01/2016;21:30;2424;29
02/01/2016;22:00;2428;30
02/01/2016;22:30;2387;30
02/01/2016;23:00;2329;28
02/01/2016;23:30;2372;29
03/01/2016;00:00;2370;29
03/01/2016;00:30;2415;31
03/01/2016;01:00;2299;31
03/01/2016;01:30;2276;32
03/01/2016;02:00;2276;33
03/01/2016;02:30;2288;34
03/01/2016;03:00;2298;36
03/01/2016;03:30;2293;37
03/01/2016;04:00;2296;38
03/01/2016;04:30;2293;37
03/01/2016;05:00;2301;38
03/01/2016;05:30;2277;39
03/01/2016;06:00;2295;38
03/01/2016;06:30;2273;37
03/01/2016;07:00;2284;37
03/01/2016;07:30;2287;36
03/01/2016;08:00;2277;36
03/01/2016;08:30;2267;35
03/01/2016;09:00;2287;34
03/01/2016;09:30;2284;33
03/01/2016;10:00;2279;32
03/01/2016;10:30;2290;31
03/01/2016;11:00;2291;31
03/01/2016;11:30;2296;30
03/01/2016;12:00;2293;29
03/01/2016;12:30;2295;29
03/01/2016;13:00;2296;29
03/01/2016;13:30;2294;29
03/01/2016;14:00;2284;30
03/01/2016;14:30;2277;29
03/01/2016;15:00;2270;30
03/01/2016;15:30;2282;30
03/01/2016;16:00;2288;30
03/01/2016;16:30;2239;30
03/01/2016;17:00;2195;29
03/01/2016;17:30;2182;28
03/01/2016;18:00;2139;27
