Date;Heures;Taux de Co2
01/01/2020;00:00;40
01/01/2020;01:00;37
01/01/2020;02:00;33
01/01/2020;03:00;26
01/01/2020;04:00;23
01/01/2020;05:00;23
01/01/2020;06:00;24
01/01/2020;07:00;24
01/01/2020;08:00;24
01/01/2020;09:00;26
01/01/2020;10:00;26
01/01/2020;11:00;26
01/01/2020;12:00;26
01/01/2020;13:00;25
01/01/2020;14:00;26
01/01/2020;15:00;28
01/01/2020;16:00;30
01/01/2020;16:30;33
01/01/2020;17:00;35
01/01/2020;18:00;37
01/01/2020;19:00;40
01/01/2020;20:00;41
01/01/2020;21:00;41
01/01/2020;22:00;40
01/01/2020;23:00;40
02/01/2020;00:00;37
02/01/2020;01:00;36
02/01/2020;02:00;36
02/01/2020;03:00;36
02/01/2020;04:00;36
02/01/2020;05:00;36
02/01/2020;06:00;37
02/01/2020;07:00;43
02/01/2020;08:00;44
02/01/2020;09:00;45
02/01/2020;10:00;45
02/01/2020;11:00;44
02/01/2020;12:00;44
02/01/2020;13:00;43
02/01/2020;14:00;43
02/01/2020;15:00;43
02/01/2020;16:00;42
02/01/2020;16:30;43
02/01/2020;17:00;43
02/01/2020;18:00;42
02/01/2020;19:00;43
02/01/2020;20:00;42
02/01/2020;21:00;41
02/01/2020;22:00;38
02/01/2020;23:00;38
03/01/2020;00:00;35
03/01/2020;01:00;26
03/01/2020;02:00;27
03/01/2020;03:00;27
03/01/2020;04:00;27
03/01/2020;05:00;27
03/01/2020;06:00;28
03/01/2020;07:00;31
03/01/2020;08:00;38
03/01/2020;09:00;41
03/01/2020;10:00;40
03/01/2020;11:00;39
03/01/2020;12:00;37
03/01/2020;13:00;39
03/01/2020;14:00;39
03/01/2020;15:00;42
03/01/2020;16:00;44
03/01/2020;16:30;44
03/01/2020;17:00;44
03/01/2020;18:00;44
03/01/2020;19:00;44
03/01/2020;20:00;43
03/01/2020;21:00;44
03/01/2020;22:00;42
03/01/2020;23:00;41
04/01/2020;00:00;37
04/01/2020;01:00;35
04/01/2020;02:00;36
04/01/2020;03:00;33
04/01/2020;04:00;33
04/01/2020;05:00;32
04/01/2020;06:00;34
04/01/2020;07:00;34
04/01/2020;08:00;37
04/01/2020;09:00;38
04/01/2020;10:00;38
04/01/2020;11:00;38
04/01/2020;12:00;39
04/01/2020;13:00;39
04/01/2020;14:00;39
04/01/2020;15:00;39
04/01/2020;16:00;41
04/01/2020;16:30;43
04/01/2020;17:00;42
04/01/2020;18:00;43
04/01/2020;19:00;42
04/01/2020;20:00;42
04/01/2020;21:00;42
04/01/2020;22:00;40
04/01/2020;23:00;43
05/01/2020;00:00;43
05/01/2020;01:00;42
05/01/2020;02:00;42
05/01/2020;03:00;42
05/01/2020;04:00;43
05/01/2020;05:00;42
05/01/2020;06:00;44
05/01/2020;07:00;43
05/01/2020;08:00;44
05/01/2020;09:00;42
05/01/2020;10:00;40
05/01/2020;11:00;40
05/01/2020;12:00;42
05/01/2020;13:00;42
05/01/2020;14:00;41
05/01/2020;15:00;42
05/01/2020;16:00;44
05/01/2020;16:30;44
05/01/2020;17:00;44
05/01/2020;18:00;44
05/01/2020;19:00;43
05/01/2020;20:00;44
05/01/2020;21:00;45
05/01/2020;22:00;44
05/01/2020;23:00;46
06/01/2020;00:00;45
06/01/2020;01:00;35
06/01/2020;02:00;34
06/01/2020;03:00;33
06/01/2020;04:00;31
06/01/2020;05:00;31
06/01/2020;06:00;36
06/01/2020;07:00;43
06/01/2020;08:00;42
06/01/2020;09:00;49
06/01/2020;10:00;50
06/01/2020;11:00;52
